#time	SIM_5/
0.60	196.30
1.20	196.30
1.80	191.00
2.40	202.80
3.00	193.10
3.60	191.60
4.20	191.60
4.80	188.80
5.40	194.00
6.00	192.70
6.60	194.70
7.20	199.40
7.80	196.00
8.40	189.60
9.00	188.20
9.60	183.80
10.20	190.10
10.80	176.40
11.40	177.70
12.00	173.60
12.60	170.20
13.20	166.60
13.80	163.30
14.40	158.60
15.00	164.30
15.60	160.50
16.20	158.70
16.80	167.30
17.40	171.00
18.00	165.00
18.60	158.80
19.20	155.80
19.80	162.10
20.40	157.00
21.00	152.50
21.60	154.60
22.20	153.70
22.80	152.80
23.40	153.10
24.00	152.80
24.60	149.00
25.20	151.40
25.80	153.90
26.40	153.30
27.00	154.30
27.60	154.60
28.20	153.40
28.80	146.80
29.40	134.10
30.00	136.10
30.60	129.90
31.20	138.70
31.80	126.70
32.40	125.70
33.00	132.20
33.60	130.10
34.20	126.20
34.80	127.10
35.40	126.40
36.00	124.70
36.60	127.80
37.20	126.40
37.80	130.10
38.40	127.20
39.00	133.40
39.60	141.90
40.20	135.40
40.80	133.90
41.40	138.80
42.00	131.60
42.60	126.40
43.20	131.20
43.80	131.70
44.40	128.70
45.00	127.30
45.60	127.70
46.20	132.40
46.80	133.30
47.40	140.40
48.00	137.50
48.60	133.00
49.20	146.60
49.80	135.00
50.40	128.50
51.00	124.60
51.60	119.60
52.20	121.30
52.80	127.90
53.40	123.40
54.00	121.70
54.60	122.20
55.20	116.30
55.80	125.60
56.40	130.20
57.00	139.90
57.60	134.70
58.20	137.00
58.80	134.00
59.40	136.30
60.00	126.10
60.60	120.60
61.20	117.90
61.80	124.50
62.40	130.50
63.00	136.60
63.60	137.40
64.20	127.50
64.80	126.80
65.40	130.30
66.00	132.80
66.60	132.40
67.20	128.10
67.80	125.40
68.40	118.80
69.00	117.90
69.60	120.00
70.20	112.90
70.80	115.00
71.40	116.00
72.00	119.90
72.60	123.20
73.20	120.70
73.80	118.80
74.40	117.30
75.00	112.60
75.60	116.90
76.20	118.30
76.80	125.00
77.40	128.70
78.00	129.30
78.60	126.40
79.20	125.40
79.80	130.90
80.40	127.30
81.00	124.00
81.60	119.80
82.20	129.60
82.80	127.00
83.40	124.30
84.00	128.60
84.60	124.70
85.20	118.50
85.80	127.10
86.40	118.10
87.00	119.00
87.60	121.30
88.20	127.00
88.80	121.70
89.40	123.00
90.00	122.40
90.60	128.00
91.20	117.90
91.80	122.20
92.40	119.30
93.00	120.00
93.60	118.20
94.20	117.30
94.80	119.90
95.40	119.10
