#time	SIM_6/
239.40	170.30
240.00	166.50
240.60	173.80
241.20	175.60
241.80	167.70
242.40	172.60
243.00	174.60
243.60	176.10
244.20	176.60
244.80	174.00
245.40	166.30
246.00	175.00
246.60	177.50
247.20	177.60
247.80	164.70
248.40	162.00
249.00	160.00
249.60	159.70
250.20	151.90
250.80	158.40
251.40	153.60
252.00	159.20
252.60	159.80
253.20	169.10
253.80	168.20
254.40	165.20
255.00	162.00
255.60	165.80
256.20	164.10
256.80	163.30
257.40	161.10
258.00	164.30
258.60	155.90
259.20	166.00
259.80	168.70
260.40	161.40
261.00	165.70
261.60	158.40
262.20	159.20
262.80	161.90
263.40	155.40
264.00	158.30
264.60	150.10
265.20	146.50
265.80	140.80
266.40	146.20
267.00	144.90
267.60	142.70
268.20	151.20
268.80	152.00
269.40	156.40
270.00	149.90
270.60	149.10
271.20	145.40
271.80	143.20
272.40	139.10
273.00	140.00
273.60	140.20
274.20	137.30
274.80	140.40
275.40	149.70
276.00	152.60
276.60	163.10
277.20	160.10
277.80	152.50
278.40	147.80
279.00	156.80
279.60	165.30
280.20	161.20
280.80	153.60
281.40	163.60
282.00	165.00
282.60	159.90
283.20	147.80
283.80	154.80
284.40	153.60
285.00	150.50
285.60	155.30
286.20	160.90
286.80	163.40
287.40	160.60
288.00	158.30
288.60	156.90
289.20	155.30
289.80	152.30
290.40	148.90
291.00	154.80
291.60	156.60
292.20	158.80
292.80	158.60
293.40	167.40
294.00	180.10
294.60	178.20
295.20	173.90
295.80	170.20
296.40	169.40
297.00	167.20
297.60	162.70
298.20	170.40
298.80	162.10
299.40	163.80
300.00	167.80
300.60	166.30
301.20	168.60
301.80	170.90
302.40	181.90
303.00	183.70
303.60	172.50
304.20	175.10
304.80	172.20
305.40	179.00
306.00	181.60
306.60	175.30
307.20	181.60
307.80	177.60
308.40	169.30
309.00	166.40
309.60	169.30
310.20	167.00
310.80	170.40
311.40	163.00
312.00	163.50
312.60	164.00
313.20	162.00
313.80	161.30
314.40	156.70
315.00	169.00
315.60	168.80
316.20	175.60
316.80	174.90
317.40	172.90
318.00	174.90
318.60	177.20
319.20	171.60
319.80	168.30
320.40	169.60
321.00	170.90
321.60	160.30
322.20	159.30
322.80	161.40
323.40	158.70
324.00	160.90
324.60	168.20
325.20	171.80
325.80	173.20
326.40	171.50
327.00	174.20
327.60	173.00
328.20	171.20
328.80	170.40
329.40	168.40
330.00	171.70
330.60	175.80
331.20	180.00
331.80	184.60
332.40	174.20
333.00	177.60
333.60	183.40
334.20	187.00
334.80	185.80
335.40	193.70
336.00	190.40
336.60	185.10
337.20	177.50
337.80	173.80
338.40	172.60
339.00	174.40
339.60	175.30
340.20	173.90
340.80	172.00
341.40	174.00
342.00	173.20
342.60	179.40
343.20	178.80
343.80	180.20
344.40	185.60
345.00	180.00
345.60	184.70
346.20	191.80
346.80	189.00
347.40	188.90
348.00	181.90
348.60	186.30
349.20	181.10
349.80	176.60
350.40	176.40
351.00	173.00
351.60	177.10
352.20	167.10
352.80	168.50
353.40	167.20
354.00	167.40
354.60	173.80
355.20	172.70
355.80	179.30
356.40	178.70
357.00	169.90
357.60	178.00
358.20	174.20
358.80	171.10
359.40	173.00
360.00	173.40
360.60	169.60
361.20	174.00
361.80	172.50
362.40	184.70
363.00	182.10
363.60	180.70
364.20	185.10
364.80	185.50
365.40	184.90
366.00	191.80
366.60	195.90
367.20	193.80
367.80	192.00
368.40	188.90
369.00	192.20
369.60	195.20
370.20	190.80
370.80	180.90
371.40	187.20
372.00	180.00
372.60	181.00
373.20	188.90
373.80	186.00
374.40	190.60
375.00	184.40
375.60	183.80
376.20	179.20
376.80	175.30
377.40	183.40
378.00	179.80
378.60	175.10
379.20	179.60
379.80	177.80
380.40	180.30
381.00	175.40
381.60	186.20
382.20	177.90
382.80	175.50
383.40	179.40
384.00	173.10
384.60	173.30
385.20	164.40
385.80	167.90
386.40	172.20
387.00	173.40
387.60	169.60
388.20	176.20
388.80	182.20
389.40	182.70
390.00	180.70
390.60	188.10
391.20	185.90
391.80	192.70
392.40	189.30
393.00	192.00
393.60	189.90
394.20	191.20
394.80	186.90
395.40	190.00
396.00	181.40
396.60	181.10
397.20	189.10
397.80	187.40
398.40	197.00
399.00	188.60
399.60	190.30
400.20	184.10
400.80	189.00
401.40	183.60
402.00	184.30
402.60	185.30
403.20	191.40
403.80	189.90
404.40	197.00
405.00	185.30
405.60	190.90
406.20	184.40
406.80	180.90
407.40	177.70
408.00	178.80
408.60	178.60
409.20	173.30
409.80	179.40
410.40	164.30
411.00	166.60
411.60	174.10
412.20	173.30
412.80	169.90
413.40	167.40
414.00	166.20
414.60	163.60
415.20	164.30
415.80	160.50
416.40	170.10
417.00	160.50
417.60	159.40
418.20	158.30
418.80	163.30
419.40	165.80
420.00	168.40
420.60	160.30
421.20	157.80
421.80	164.40
422.40	167.60
423.00	162.70
423.60	160.80
424.20	154.10
424.80	143.80
425.40	151.30
426.00	149.00
426.60	147.30
427.20	157.90
427.80	157.70
428.40	157.20
429.00	157.20
429.60	157.60
430.20	158.40
430.80	161.50
431.40	161.00
432.00	159.80
432.60	158.20
433.20	156.30
433.80	164.90
434.40	161.00
435.00	170.70
435.60	171.60
436.20	169.20
436.80	162.70
437.40	166.80
438.00	168.70
438.60	172.40
439.20	165.80
439.80	164.80
440.40	162.30
441.00	163.80
441.60	163.00
442.20	158.30
442.80	161.80
443.40	162.20
444.00	174.80
444.60	168.70
445.20	167.20
445.80	174.60
446.40	170.00
447.00	167.90
447.60	169.40
448.20	167.50
448.80	166.30
449.40	164.80
450.00	168.80
450.60	170.30
451.20	170.80
451.80	177.90
452.40	182.60
453.00	182.30
453.60	183.40
454.20	188.10
454.80	192.00
455.40	181.00
456.00	175.70
456.60	181.40
457.20	184.30
457.80	181.90
458.40	185.90
459.00	195.10
459.60	184.80
460.20	191.30
460.80	189.20
461.40	183.00
462.00	187.00
462.60	184.50
463.20	178.10
463.80	179.50
464.40	182.90
465.00	176.80
465.60	173.20
466.20	184.50
466.80	186.90
467.40	189.00
468.00	190.30
468.60	189.40
469.20	204.50
469.80	203.00
470.40	189.50
471.00	192.10
471.60	188.80
472.20	193.50
472.80	200.70
473.40	196.90
474.00	194.90
474.60	188.70
475.20	191.70
475.80	192.20
476.40	189.10
477.00	193.60
477.60	190.50
478.20	197.80
478.80	199.50
479.40	197.00
480.00	203.70
480.60	199.20
481.20	199.30
481.80	195.90
482.40	197.50
483.00	200.70
483.60	203.20
484.20	197.30
484.80	189.30
485.40	190.60
486.00	186.20
486.60	195.80
487.20	196.30
487.80	189.30
488.40	186.80
489.00	181.30
489.60	171.50
490.20	183.10
490.80	179.50
491.40	175.20
492.00	177.70
492.60	174.20
493.20	170.40
493.80	163.00
494.40	170.00
495.00	168.80
495.60	171.70
496.20	172.00
496.80	166.70
497.40	172.70
498.00	165.00
498.60	174.30
499.20	170.30
499.80	166.70
500.40	166.20
501.00	167.20
501.60	166.10
502.20	168.40
502.80	169.30
503.40	168.50
504.00	169.40
504.60	172.80
505.20	169.60
505.80	172.20
506.40	168.90
507.00	172.30
507.60	166.40
508.20	172.80
508.80	175.50
509.40	171.10
510.00	166.00
510.60	165.90
511.20	168.50
511.80	162.80
512.40	161.30
513.00	162.40
513.60	177.70
514.20	175.00
514.80	170.50
515.40	176.10
516.00	178.20
516.60	173.10
517.20	164.60
517.80	159.90
518.40	161.50
519.00	163.80
519.60	160.60
520.20	163.00
520.80	170.10
521.40	172.40
522.00	177.00
522.60	168.60
523.20	170.90
523.80	171.80
524.40	167.70
525.00	166.80
525.60	167.60
526.20	164.40
526.80	173.10
527.40	169.70
528.00	168.00
528.60	167.60
529.20	157.40
529.80	150.40
530.40	157.50
531.00	159.70
531.60	162.50
532.20	155.30
532.80	163.50
533.40	158.20
534.00	157.10
534.60	157.40
535.20	147.90
535.80	146.10
536.40	149.60
537.00	148.90
537.60	152.80
538.20	149.40
538.80	144.70
539.40	143.70
540.00	151.20
540.60	149.20
541.20	144.00
541.80	149.50
542.40	158.30
543.00	153.10
543.60	148.90
544.20	146.00
544.80	145.10
545.40	147.30
546.00	143.90
546.60	140.00
547.20	143.70
547.80	131.10
548.40	130.70
549.00	141.70
549.60	144.30
550.20	146.20
550.80	138.80
551.40	141.80
552.00	142.10
552.60	135.80
553.20	130.00
553.80	131.20
554.40	133.80
555.00	139.90
555.60	130.20
556.20	125.80
556.80	135.00
557.40	144.60
558.00	137.90
558.60	140.20
559.20	135.80
559.80	129.30
560.40	138.80
561.00	138.80
561.60	141.80
562.20	141.70
562.80	142.70
563.40	145.90
