#	SIM_20_0.05_0		#	SIM_20_0.05_-10		#	SIM_20_0.05_-12		#	SIM_20_0.05_-15		#	SIM_20_0.05_-2		#	SIM_20_0.05_-4		#	SIM_20_0.05_-5		#	SIM_20_0.05_-6		#	SIM_20_0.05_-7		#	SIM_20_0.05_-8		#	SIM_20_0.05_-9	
1	5914199.26911505	1	19054997.1325796	1	21757370.4649523	1	25625657.2549117	1	8542303.12266486	1	11170434.8353209	1	12239755.2192127	1	13879166.5106178	1	15112684.6412939	1	16507124.7369992	1	17821114.1751133
2500	5645383.40595399	2500	15047009.9751613	2500	17237707.9477340	2500	18164301.7936149	2500	7976984.33209474	2500	9987321.62029008	2500	11074162.4268501	2500	12418893.8289981	2500	12657568.0743013	2500	14264138.8957148	2500	15160180.8425329
5000	5995100.50604215	5000	15719127.5190471	5000	16255810.1489681	5000	18596348.3410533	5000	8359146.87212277	5000	10438065.0149491	5000	11239197.1627355	5000	13613624.9213770	5000	13245143.6121355	5000	15424642.8647608	5000	16242447.2637291
7500	4979836.87637349	7500	15441983.8778278	7500	17958225.4698159	7500	18782137.2122191	7500	7629588.41258131	7500	9873221.89511238	7500	10454423.0958686	7500	12379061.9411244	7500	12911838.8281032	7500	14068917.1120250	7500	14835668.5341420
10000	5360454.31978852	10000	15657653.9618810	10000	16706927.7383130	10000	18475875.2669359	10000	7741021.54392278	10000	9767152.68609881	10000	11584864.3982464	10000	12849083.0728747	10000	12971837.9186274	10000	14422866.7106129	10000	15194687.7169438
12500	6178598.71024498	12500	15779084.1466770	12500	17701063.5149007	12500	19019225.0925893	12500	8149987.36798078	12500	10216813.4777860	12500	11345523.0666272	12500	12807034.0417047	12500	13410728.3832886	12500	14387692.5568950	12500	14973522.4332785
15000	6263716.63575249	15000	15269157.5885526	15000	16155816.4833941	15000	18661089.6402775	15000	8257711.68641809	15000	10435333.6545111	15000	10270295.8711262	15000	12965019.1781977	15000	12995063.8452116	15000	14622852.4904784	15000	15052712.1551253
17500	7397026.34171346	17500	16011174.4215441	17500	17430135.7610431	17500	18855577.1321962	17500	9322908.14993116	17500	11492096.8570512	17500	12249466.1060110	17500	11247513.5714004	17500	13696461.6256700	17500	12959810.2946510	17500	14016507.7962013
20000	6060703.82741773	20000	15627000.5492415	20000	16342512.8655235	20000	18876442.1045704	20000	8509643.92300231	20000	10576078.9400020	20000	11111727.8603201	20000	12288243.7030416	20000	13254024.0033015	20000	14362421.8504781	20000	15301168.3017948
22500	5519402.27380492	22500	14792967.4880502	22500	17062637.7395631	22500	17888486.4776572	22500	7990108.90316038	22500	9944410.93386245	22500	10146520.6497034	22500	11081285.4883783	22500	12508722.4693410	22500	13056048.7096321	22500	14288716.7677535
25000	6759522.13991277	25000	15910559.2878927	25000	17422459.8392205	25000	19109082.2501719	25000	8837397.37094888	25000	10418583.6037983	25000	11539222.5713644	25000	12200481.3931785	25000	13624604.2457146	25000	14435615.1968640	25000	14728200.7647087
27500	5331195.98022774	27500	14975437.0059653	27500	16548517.9872202	27500	18984689.6769079	27500	8022420.85163525	27500	10253943.2285433	27500	11854464.7170606	27500	12102085.1046742	27500	13110162.9059605	27500	13538942.6136810	27500	14762163.5898231
30000	6219216.99789165	30000	15285040.2291346	30000	16792039.4646591	30000	18368038.1313675	30000	8304071.42519691	30000	10763633.8985335	30000	11462798.7500902	30000	12389427.7052574	30000	12885771.2885866	30000	14250237.0200945	30000	14881859.5256524
32500	5896565.22175557	32500	16291602.8781002	32500	16356724.6707791	32500	19495339.6029799	32500	8164495.20727670	32500	10630292.8056762	32500	12251945.6645784	32500	11404476.7307865	32500	13601748.0006350	32500	13202378.6702134	32500	13676170.7301422
35000	4978357.29776733	35000	14667778.2469442	35000	16379539.8097870	35000	17699678.9568793	35000	7312609.27227939	35000	9805730.49296234	35000	10170287.4617790	35000	12172468.9019477	35000	11963259.0433290	35000	13526784.5563875	35000	14391130.7092973
37500	4581212.09871958	37500	14753182.7793832	37500	17524998.6571470	37500	18133369.9289324	37500	7040665.54863376	37500	9130291.89659795	37500	10624279.0312044	37500	12195346.5225841	37500	11837705.3410001	37500	13769522.4570151	37500	15012835.4328932
40000	6019177.32548023	40000	15839137.6291878	40000	16590239.8251848	40000	19230748.9621256	40000	8487987.59477752	40000	10298165.2030451	40000	11351682.6843717	40000	11650782.0978258	40000	13621701.9446890	40000	12980927.9611195	40000	13941597.0947085
42500	5923260.16092023	42500	14851141.8279530	42500	16294293.5290588	42500	18255046.2611619	42500	7777856.17229124	42500	9583529.93738667	42500	9685413.59571273	42500	12208589.5447762	42500	12842918.2207049	42500	13671712.5162238	42500	14510126.0278159
45000	5812821.78825681	45000	14247029.6525314	45000	16900033.9118285	45000	18314487.5259446	45000	7317471.00654786	45000	9361376.43905659	45000	11926845.5235055	45000	11339546.1327640	45000	12202753.6769425	45000	13335504.5711444	45000	14848991.7148061
47500	4320557.74944699	47500	14644837.6982144	47500	15220913.1177686	47500	17224657.8422875	47500	7221847.16767672	47500	9502158.77604731	47500	11205232.0087369	47500	12757593.1116870	47500	11525540.0526940	47500	14604837.7874476	47500	15347085.2972826
50000	5694068.14078876	50000	15384976.2619067	50000	17328194.4737381	50000	17977578.6052870	50000	8174594.28705778	50000	10397906.4878241	50000	12118726.2105296	50000	11827147.4270713	50000	13016724.0359944	50000	13059830.3793923	50000	14208393.3521837
52500	4924654.35785302	52500	14160146.9376049	52500	16843984.5280102	52500	16782888.8179717	52500	6854009.97077904	52500	8577114.57673010	52500	11432790.1417900	52500	11630466.8058105	52500	11613735.5086288	52500	13804659.7071779	52500	14185274.9840792
55000	6898334.13442898	55000	16444155.4601997	55000	16871312.4744798	55000	19257196.5763445	55000	8843471.96050549	55000	11831200.9201063	55000	10950131.3383051	55000	11600591.7776006	55000	13746329.3721732	55000	13878089.6294705	55000	14507926.6693861
57500	5517279.14657079	57500	15862857.9068607	57500	15693326.2539743	57500	19322544.3990408	57500	9021317.97685506	57500	10352576.5998573	57500	11026443.1078458	57500	11167485.5041477	57500	13872284.4921873	57500	12755805.3297170	57500	13673932.8812255
60000	5198945.93442197	60000	14612787.3361298	60000	16813329.6100851	60000	18302870.0003677	60000	7511326.74316172	60000	9436726.07452603	60000	10863669.6171997	60000	11604840.9374248	60000	12396823.8863754	60000	13095164.0514088	60000	14662634.8003205
62500	5251031.01832484	62500	15132471.3575042	62500	17166510.2927189	62500	18446718.0566279	62500	7389133.37318131	62500	9281300.58406343	62500	11593070.2375365	62500	11344533.6180987	62500	11905283.9075233	62500	13119258.7892052	62500	13254688.2041023
65000	5185940.30772534	65000	14433573.0160929	65000	16548836.1805851	65000	17846793.6441488	65000	8220911.84708996	65000	9786720.84037003	65000	11790712.3471094	65000	12159174.1580245	65000	12260166.5161348	65000	13784302.4243544	65000	14730538.7450438
67500	4391207.21483354	67500	14238471.2679054	67500	16042097.3979518	67500	17162933.6811790	67500	6191245.19291943	67500	8982955.92805822	67500	10996034.6116790	67500	12098395.3802582	67500	11645576.2240779	67500	14194370.3820965	67500	14689423.4854086
70000	5641583.78354310	70000	15289101.8932830	70000	15810335.7546387	70000	18932226.4318182	70000	8866784.02103736	70000	10574492.2132355	70000	12232247.7636547	70000	11827490.9196442	70000	12852475.8065965	70000	13362205.7125275	70000	14808797.0603516
