#	SIM_20_0.05_0		#	SIM_20_0.05_-10		#	SIM_20_0.05_-12		#	SIM_20_0.05_-15		#	SIM_20_0.05_-2		#	SIM_20_0.05_-4		#	SIM_20_0.05_-5		#	SIM_20_0.05_-6		#	SIM_20_0.05_-7		#	SIM_20_0.05_-8		#	SIM_20_0.05_-9	
1	181309120.957693	1	194679229.486065	1	195896513.670669	1	197927871.338741	1	183200282.940526	1	186041452.033474	1	188266619.085114	1	189061296.805930	1	189694383.702860	1	192621685.628798	1	192944318.111380
500	180575303.857915	500	193317948.390241	500	193949966.198906	500	196999568.564346	500	182842175.346341	500	186361331.078006	500	187666532.411464	500	188936402.682347	500	189871800.608968	500	191673138.078673	500	193582552.986979
1000	180454901.390083	1000	193706489.472409	1000	195223486.003672	1000	196864048.504857	1000	183010500.464171	1000	186284570.108995	1000	188011834.122073	1000	189240942.607846	1000	190996119.135606	1000	191716077.443581	1000	192601043.833435
1500	179933619.100029	1500	194065010.947849	1500	194498860.838902	1500	196510178.674912	1500	182929608.080060	1500	186210814.245822	1500	187277630.189045	1500	188873847.485156	1500	190029367.343685	1500	191294070.095136	1500	192750542.602025
2000	180483850.035412	2000	193400774.350689	2000	194783088.846920	2000	197205007.392015	2000	184284974.325786	2000	187698127.040727	2000	186578363.672750	2000	188172419.429648	2000	190033106.308467	2000	190531338.146480	2000	192655230.635094
2500	180116137.511299	2500	193100092.993012	2500	194448420.696505	2500	196428816.761494	2500	182586957.539242	2500	186657740.523352	2500	188166375.082253	2500	189675355.038564	2500	189826320.248023	2500	190304454.331495	2500	191324088.310574
3000	180274254.689607	3000	193930723.985962	3000	194347103.654647	3000	197142715.421188	3000	183776161.385810	3000	186062210.818746	3000	187671872.718241	3000	188791709.027655	3000	190357887.430107	3000	191963711.921970	3000	192325129.192644
3500	180709647.385060	3500	193429417.165593	3500	195131590.943483	3500	196105746.322644	3500	184395265.876778	3500	187145744.893388	3500	187145351.534840	3500	188879145.805947	3500	190020751.301088	3500	191100658.257976	3500	192642076.402929
4000	180928252.831434	4000	193840086.073825	4000	196931698.150708	4000	197415552.918309	4000	182897707.630469	4000	186043040.431748	4000	187603887.755395	4000	189738601.864996	4000	189870288.783122	4000	191464941.125605	4000	193154044.617831
4500	179910591.215940	4500	193180637.248596	4500	196451576.742007	4500	197352402.187101	4500	183500662.996786	4500	186606524.695490	4500	187186142.219940	4500	188602125.969739	4500	190166540.428150	4500	191480967.840323	4500	192138895.762816
5000	180263474.652790	5000	193865924.130177	5000	194773251.893713	5000	197105830.032490	5000	183561494.224301	5000	186734935.291922	5000	187656407.736036	5000	188356456.056314	5000	190705392.937663	5000	191275827.934889	5000	193277818.850944
5500	180802967.666196	5500	193731812.520981	5500	195014326.027032	5500	196860975.278289	5500	184034141.187626	5500	185858291.430967	5500	188424777.594505	5500	188584047.781400	5500	189797005.200417	5500	191093776.743121	5500	192020118.655012
6000	179939824.177111	6000	194370724.953341	6000	195350055.323364	6000	198001058.296964	6000	184617037.704736	6000	186989777.350256	6000	188411380.102430	6000	188728683.835877	6000	190904947.933312	6000	191053479.779131	6000	192888173.078852
6500	179838359.010278	6500	193445464.757801	6500	195155695.237882	6500	196776984.090877	6500	182910343.168926	6500	186790811.580113	6500	187872040.730262	6500	187981582.241938	6500	191118604.256682	6500	191292562.484761	6500	192708967.026295
7000	180087498.451388	7000	193758897.122504	7000	194765387.779714	7000	196873131.440750	7000	183373671.586968	7000	187170105.284129	7000	187052843.790312	7000	189903336.889387	7000	190501884.772747	7000	192115896.882685	7000	191953660.974240
7500	180432334.492255	7500	192750399.072046	7500	194642354.589281	7500	197304870.840009	7500	183861092.672642	7500	187204904.082492	7500	187758830.024177	7500	188856632.640051	7500	189825290.628719	7500	191325441.394377	7500	192114750.649784
8000	180425846.376679	8000	193721604.951046	8000	194928097.650259	8000	196986094.043431	8000	182669245.047857	8000	187433501.392736	8000	187150911.607302	8000	188036283.895854	8000	190344521.793440	8000	191650452.867951	8000	191618044.309731
8500	180626555.957347	8500	193150340.525892	8500	195199869.146393	8500	197499270.307645	8500	183520937.824779	8500	186411685.371807	8500	188783429.196334	8500	189281828.388469	8500	190857712.981958	8500	191518080.052244	8500	191981387.385861
9000	180798811.972948	9000	193309856.480224	9000	195583816.624077	9000	196642023.373888	9000	182776419.338572	9000	186629044.432927	9000	187177902.221233	9000	189068314.376003	9000	190061208.342666	9000	192717623.021277	9000	192851494.566096
9500	181236201.804498	9500	193770929.752573	9500	194542987.372257	9500	197110294.550110	9500	182763232.193401	9500	187148289.684607	9500	186858155.962722	9500	188911519.397894	9500	189854371.693533	9500	191325792.408179	9500	192447426.384626
10000	180243771.456102	10000	193897896.437775	10000	194658603.280153	10000	197914463.488937	10000	184027757.294441	10000	186368553.434654	10000	187239668.927506	10000	188932150.538900	10000	190594663.904238	10000	191288071.995100	10000	191508226.784067
10500	180604522.543880	10500	193833393.134554	10500	195750904.725339	10500	197163410.741691	10500	183753258.946813	10500	187440317.549018	10500	187523764.720331	10500	189434499.770302	10500	190085494.406736	10500	190738329.770383	10500	191968566.030604
11000	180322718.907954	11000	193333346.518236	11000	195550309.907288	11000	198077464.942902	11000	183934669.248300	11000	185097744.022447	11000	187558529.188336	11000	189495189.696575	11000	190674178.534332	11000	191412589.963619	11000	193340122.437383
11500	179851421.498712	11500	193753843.183045	11500	193955964.779095	11500	197805320.932601	11500	184506313.534883	11500	185936403.865038	11500	188878661.352261	11500	189834675.749000	11500	191212846.194753	11500	191000273.974047	11500	192490485.536470
