#time	SIM_10/	SIM_15/	SIM_20/	SIM_5/
95.40	56.60	134.30	136.00	29.10
96.00	62.70	131.60	147.40	37.40
96.60	68.90	130.20	139.50	47.40
97.20	70.30	130.00	137.00	55.00
97.80	68.20	127.20	134.20	55.10
98.40	67.50	137.80	132.00	55.00
99.00	76.00	136.10	140.40	55.60
99.60	94.20	137.30	129.20	49.50
100.20	89.90	137.90	128.30	58.50
100.80	78.20	132.80	136.70	49.00
101.40	79.50	138.10	140.10	59.90
102.00	83.50	122.10	140.10	69.10
102.60	80.70	132.30	149.00	66.90
103.20	80.70	124.00	142.00	59.60
103.80	79.20	119.60	147.10	54.00
104.40	85.40	124.70	143.50	76.10
105.00	87.80	128.20	140.30	68.80
105.60	93.90	124.00	137.80	61.50
106.20	98.10	126.60	135.80	38.70
106.80	98.60	130.80	144.10	37.20
107.40	89.90	129.10	141.50	43.90
108.00	87.40	138.80	139.50	36.10
108.60	86.30	135.10	142.20	31.40
109.20	84.80	139.00	144.40	43.50
109.80	85.90	139.30	141.00	57.50
110.40	78.10	139.20	137.30	62.30
111.00	65.80	137.90	125.90	62.40
111.60	54.30	130.50	137.80	62.60
112.20	54.00	143.20	141.70	66.90
112.80	54.40	140.40	138.30	54.90
113.40	50.20	134.20	146.70	58.20
114.00	50.00	140.40	141.30	73.60
114.60	53.80	132.50	151.20	76.00
115.20	53.80	141.00	138.50	79.20
115.80	56.80	137.70	140.40	69.30
116.40	51.90	143.10	127.90	78.90
117.00	56.50	151.10	130.30	80.20
117.60	63.30	139.70	133.10	71.30
118.20	55.10	141.30	124.90	70.50
118.80	45.70	140.40	132.50	64.80
119.40	49.10	138.50	140.20	68.60
120.00	58.10	141.70	148.00	51.10
120.60	57.10	150.90	151.30	57.70
121.20	62.20	142.50	159.60	52.20
121.80	57.00	146.50	154.70	47.90
122.40	55.50	130.70	159.90	44.70
123.00	56.00	134.20	150.70	37.70
123.60	70.20	143.00	136.70	46.50
124.20	74.00	145.40	143.20	42.70
124.80	67.90	140.20	139.90	38.30
125.40	76.60	131.00	132.20	48.30
126.00	73.50	139.10	138.50	58.60
126.60	73.10	137.60	133.90	48.80
127.20	76.40	135.50	140.80	55.30
127.80	71.00	131.60	137.20	55.30
128.40	71.50	138.10	138.50	56.80
129.00	72.70	135.10	144.60	47.00
129.60	73.70	134.00	133.30	49.50
130.20	70.90	132.90	126.00	41.60
130.80	74.10	127.70	126.30	33.40
131.40	65.40	121.40	135.00	37.60
132.00	70.90	128.70	121.60	31.60
132.60	72.60	134.30	130.90	32.80
133.20	79.90	131.40	127.10	27.00
133.80	67.00	135.00	121.20	41.00
134.40	85.50	134.10	121.40	38.10
135.00	84.20	134.80	111.20	42.30
135.60	70.20	128.60	125.40	48.50
136.20	78.80	128.90	123.90	44.00
136.80	71.70	130.60	115.50	45.40
137.40	80.50	112.50	110.70	34.40
138.00	80.40	122.60	111.70	50.40
138.60	89.20	112.20	118.80	58.90
139.20	84.30	117.10	129.60	67.90
139.80	79.00	119.20	127.70	54.70
140.40	83.70	131.70	121.00	56.20
141.00	78.80	138.70	124.30	58.00
141.60	68.40	132.60	125.60	46.60
142.20	55.20	136.30	124.80	53.90
142.80	55.60	137.10	125.60	56.60
143.40	59.00	136.50	113.80	56.00
144.00	64.40	142.50	117.00	51.90
144.60	58.80	150.70	116.40	43.90
145.20	50.50	148.10	109.00	51.60
145.80	51.20	151.30	122.90	62.60
146.40	52.90	148.30	120.20	54.10
147.00	54.20	133.60	110.50	47.60
147.60	57.30	141.40	116.90	64.70
148.20	55.50	141.10	127.40	64.30
148.80	59.70	139.10	116.20	59.00
149.40	63.10	140.40	122.40	51.90
150.00	64.30	139.60	120.00	58.80
150.60	60.20	136.60	108.80	56.10
151.20	62.50	134.70	119.30	49.90
151.80	66.50	137.80	111.80	36.00
152.40	59.10	136.20	118.60	45.90
153.00	75.60	133.60	118.90	52.70
153.60	78.50	138.90	125.10	53.10
