#	SIM_0		#	SIM_-10		#	SIM_10		#	SIM_15		#	SIM_20		#	SIM_25		#	SIM_30		#	SIM_-5		#	SIM_5	
1	47604.8925986560	1	39884.4259554138	1	-26445.3832998068	1	17220.4959514732	1	22889.6516599720	1	-10714.2962677132	1	-105382.441155893	1	23508.2536292683	1	8205.85492670053
5000	55950.4681943440	5000	-57016.2265867131	5000	118901.215949845	5000	82062.6973845870	5000	16316.9347176759	5000	179370.169954464	5000	27910.2510089275	5000	54965.7462880799	5000	79377.9209823813
10000	20163.2215311452	10000	78619.0418067170	10000	119428.890236190	10000	59350.2310983920	10000	185135.098110146	10000	46161.3237864306	10000	46220.8538019195	10000	56641.7405962549	10000	111483.982652613
15000	58361.2495687197	15000	120803.609896740	15000	64505.0480258411	15000	148845.202119450	15000	97262.1424079333	15000	-10123.3994559418	15000	127944.343491983	15000	116313.166496475	15000	19162.5464097832
20000	168808.774520667	20000	129313.855575820	20000	62793.1262852550	20000	128640.944031853	20000	97078.0155130624	20000	92538.0627482688	20000	95815.3807303639	20000	121217.687412530	20000	101558.055380377
25000	118223.252942537	25000	55880.1912103690	25000	96766.3355345804	25000	139013.168936270	25000	73510.2526627975	25000	-35527.8542216134	25000	56887.6511410993	25000	105052.529268099	25000	60075.2254295700
30000	58611.0647157535	30000	15233.7571320477	30000	-14143.5943468903	30000	150242.823211205	30000	88367.9429770359	30000	22450.8147039193	30000	10238.3146761170	30000	51765.4052258008	30000	128849.502084523
35000	128492.167725588	35000	160627.123801330	35000	220594.366521895	35000	32519.9384335337	35000	85936.6604970647	35000	-21345.1452135201	35000	20477.9388242050	35000	123337.872051922	35000	42612.6150600506
40000	114407.108388997	40000	31805.6716156081	40000	60703.4242539927	40000	187799.958667185	40000	218331.546951748	40000	-94008.8501454814	40000	142295.295541296	40000	47361.6150459157	40000	107279.400431381
45000	75997.8665803393	45000	70621.8660939425	45000	55398.1920876360	45000	115195.925507433	45000	52991.2352666009	45000	103855.729631330	45000	114039.140682451	45000	112433.695049038	45000	74225.1827272424
50000	145978.934358523	50000	117280.233006414	50000	11245.2600203101	50000	112642.235124228	50000	89980.6093753454	50000	167967.795088755	50000	113505.294437375	50000	87964.6110127528	50000	60426.7610755875
55000	47166.2441264938	55000	35657.3403757220	55000	78720.8713638173	55000	116242.449224584	55000	92005.9830855615	55000	68746.0781540576	55000	82128.0634930141	55000	125820.789682813	55000	14710.7072829718
60000	104674.543823318	60000	83941.5745972324	60000	134808.215553685	60000	10377.6719792523	60000	83261.7923789897	60000	95865.4021517464	60000	17943.8235797719	60000	75346.7067173256	60000	210922.886654236
65000	64692.2448661575	65000	74918.8359189739	65000	62607.0019963936	65000	-4225.08022901225	65000	72044.0477003078	65000	160219.384698247	65000	49760.4213111016	65000	105798.892232075	65000	70936.4634893754
70000	126255.557258513	70000	-73406.3536482173	70000	29454.6497449774	70000	125849.684585429	70000	100426.634123976	70000	121707.728687044	70000	106041.762333680	70000	24017.1821971052	70000	12758.6936534882
75000	79681.6237807412	75000	151259.284476516	75000	115302.826532966	75000	40295.3720319307	75000	42263.3236990805	75000	43936.6356176975	75000	160718.652908782	75000	103826.851823678	75000	132009.871925644
80000	71886.5971835340	80000	86947.9332562112	80000	158800.472988835	80000	90545.7329387177	80000	77486.6832548403	80000	123324.775726448	80000	21947.1381456407	80000	132160.119240238	80000	143832.423060305
85000	66547.1253400571	85000	133208.169753819	85000	52181.1052698917	85000	118609.755229517	85000	128192.619661817	85000	76965.8607089813	85000	40641.8888499408	85000	26336.1513882806	85000	93186.4397963273
90000	60700.1972566417	90000	213775.656546958	90000	51072.7780478428	90000	107846.257136211	90000	255417.026362466	90000	101736.730857367	90000	76990.6406243522	90000	149263.084367423	90000	45636.3500008632
95000	163083.084322068	95000	73154.5782330423	95000	108674.648399009	95000	39313.1512054252	95000	110358.081455737	95000	54421.0430262929	95000	17877.2226780236	95000	118901.193504781	95000	154585.702398425
100000	92285.3113838763	100000	146804.993305477	100000	117023.549964890	100000	118846.576800325	100000	80278.4180512502	100000	59716.7883360741	100000	88619.0374498218	100000	162936.823072302	100000	77498.5568948414
105000	45938.9379069311	105000	158237.031687585	105000	140541.697415854	105000	129335.235671331	105000	-20370.7770075068	105000	154181.645504929	105000	147940.570480307	105000	108562.546781466	105000	113049.823922282
110000	73459.3787578572	110000	115445.895171845	110000	16907.4486037423	110000	57250.5685968605	110000	28289.6673312644	110000	141972.333611758	110000	121133.499835783	110000	99933.7693866324	110000	147985.484080031
115000	107438.383358354	115000	46694.2197450022	115000	120770.163335283	115000	98063.9552583032	115000	9753.67781568145	115000	93915.4662621165	115000	121542.261222723	115000	-4707.51835390948	115000	69555.0946225411
120000	106347.662973583	120000	140199.150242950	120000	108626.347371098	120000	121300.233631465	120000	81635.2093428947	120000	78828.3476405200	120000	9289.26339586109	120000	162333.312880740	120000	94414.6543417437
125000	106791.626896466	125000	95954.3974653541	125000	49139.4068184015	125000	40467.0172472062	125000	64784.7096576834	125000	156445.323223251	125000	98777.3710844671	125000	59880.6400072553	125000	72297.7332203151
130000	53938.3021538322	130000	76796.6592980132	130000	-7407.40922400068	130000	184937.540722035	130000	48203.4443489307	130000	74134.3137953883	130000	60927.0049946985	130000	108444.851222182	130000	113040.834448865
135000	65709.2996468357	135000	150814.934201398	135000	153205.723904763	135000	140787.749240419	135000	139581.457627689	135000	68404.5419010466	135000	27127.7655960336	135000	157643.313544108	135000	89921.8989282147
