10 0 57.07 3.96
10 10 54.87 3.05
10 20 29.52 1.25
10 5 54.49 4.46
15 0 60.47 2.16
15 10 58.47 2.28
15 20 52.38 2.88
15 5 59.71 2.27
5 0 46.85 5.79
5 10 40.32 5.96
5 20 23.06 2.05
5 5 48.95 5.71
7.5 0 49.61 6.07
7.5 10 48.68 8.16
7.5 20 22.20 0.85
7.5 5 44.75 4.87
