#time	SIM_5_5/
239.40	166.90
240.00	168.50
240.60	161.80
241.20	164.70
241.80	172.70
242.40	167.40
243.00	169.20
243.60	157.80
244.20	152.90
244.80	149.80
245.40	156.30
246.00	165.30
246.60	178.10
247.20	184.00
247.80	166.30
248.40	186.20
249.00	187.80
249.60	200.80
250.20	196.10
250.80	194.30
251.40	181.30
252.00	160.50
252.60	166.00
253.20	155.10
253.80	163.90
254.40	158.00
255.00	159.90
255.60	179.80
256.20	188.90
256.80	178.80
257.40	169.80
258.00	167.60
258.60	161.50
259.20	161.00
259.80	151.80
260.40	159.60
261.00	159.40
261.60	147.10
262.20	144.60
262.80	139.70
263.40	141.90
264.00	149.60
264.60	151.50
265.20	146.70
265.80	132.00
266.40	154.80
267.00	146.50
267.60	125.90
268.20	124.10
268.80	130.00
269.40	136.10
270.00	129.10
270.60	140.80
271.20	137.70
271.80	134.70
272.40	133.70
273.00	134.80
273.60	137.80
274.20	150.20
274.80	131.00
275.40	131.20
276.00	133.60
276.60	130.40
277.20	136.20
277.80	119.40
278.40	128.20
279.00	131.40
279.60	137.00
280.20	137.40
280.80	129.00
281.40	118.00
282.00	120.50
282.60	130.40
283.20	130.80
283.80	112.70
284.40	130.40
285.00	124.30
285.60	144.80
286.20	141.70
286.80	132.20
287.40	125.00
288.00	142.70
288.60	163.00
289.20	170.80
289.80	164.80
290.40	158.10
291.00	151.70
291.60	152.70
292.20	161.80
292.80	158.50
293.40	168.30
294.00	153.00
294.60	158.60
295.20	150.20
295.80	127.60
296.40	125.30
297.00	119.50
297.60	134.60
298.20	118.60
298.80	121.70
299.40	119.40
300.00	125.00
300.60	149.30
301.20	133.70
301.80	140.70
302.40	146.50
303.00	156.30
303.60	162.00
304.20	153.80
304.80	153.10
305.40	153.30
306.00	142.60
306.60	138.70
307.20	137.30
307.80	143.40
308.40	129.40
309.00	143.20
309.60	144.20
310.20	148.00
310.80	151.70
311.40	143.40
312.00	150.00
312.60	155.50
313.20	155.20
313.80	155.20
314.40	163.90
315.00	153.80
315.60	161.10
316.20	167.40
316.80	163.30
317.40	156.60
318.00	152.60
318.60	151.30
319.20	149.40
319.80	141.10
320.40	123.10
321.00	125.40
321.60	141.50
322.20	152.30
322.80	137.20
323.40	153.90
324.00	137.10
324.60	144.10
325.20	147.30
325.80	153.40
326.40	140.00
