#time	SIM_7.5_20/
0.60	87.80
1.20	87.80
1.80	92.10
2.40	89.50
3.00	87.40
3.60	106.00
4.20	102.90
4.80	105.90
5.40	95.40
6.00	100.70
6.60	90.70
7.20	90.90
7.80	88.10
8.40	81.00
9.00	83.50
9.60	88.90
10.20	77.20
10.80	80.40
11.40	88.70
12.00	92.60
12.60	81.90
13.20	80.90
13.80	85.20
14.40	98.90
15.00	98.20
15.60	98.40
16.20	89.30
16.80	71.40
17.40	61.50
18.00	56.70
18.60	53.50
19.20	52.60
19.80	52.00
20.40	56.80
21.00	61.10
21.60	56.40
22.20	56.40
22.80	57.90
23.40	61.00
24.00	49.10
24.60	51.40
25.20	49.00
25.80	51.00
26.40	54.00
27.00	63.90
27.60	56.50
28.20	58.40
28.80	55.80
29.40	63.90
30.00	63.50
30.60	58.80
31.20	49.20
31.80	48.80
32.40	58.90
33.00	56.40
33.60	58.70
34.20	56.50
34.80	61.20
35.40	71.30
36.00	75.20
36.60	79.60
37.20	83.90
37.80	68.90
38.40	81.70
39.00	77.40
39.60	79.30
40.20	78.20
40.80	77.50
41.40	56.50
42.00	57.80
42.60	52.80
43.20	47.90
43.80	44.10
44.40	40.80
45.00	44.90
45.60	42.80
46.20	57.70
46.80	55.80
47.40	56.90
48.00	59.30
48.60	53.90
49.20	48.40
49.80	42.30
50.40	44.20
51.00	46.20
51.60	46.50
52.20	40.60
52.80	42.70
53.40	42.40
54.00	43.80
54.60	41.80
55.20	42.70
55.80	44.50
56.40	42.60
57.00	39.30
57.60	39.40
58.20	41.70
58.80	42.20
59.40	35.90
60.00	31.40
60.60	42.80
61.20	31.90
61.80	28.10
62.40	26.10
63.00	22.80
63.60	29.50
64.20	47.70
64.80	46.90
65.40	31.10
66.00	32.90
66.60	30.60
67.20	33.90
67.80	29.10
68.40	33.10
69.00	24.00
69.60	33.40
70.20	28.40
70.80	23.40
71.40	21.00
72.00	38.00
72.60	34.10
73.20	32.30
73.80	43.30
74.40	44.90
75.00	54.10
75.60	46.00
76.20	31.20
76.80	58.80
77.40	58.80
78.00	67.50
78.60	59.20
79.20	60.30
79.80	58.60
80.40	63.80
81.00	66.90
81.60	67.10
82.20	62.70
82.80	54.00
83.40	52.40
84.00	53.50
84.60	54.80
85.20	54.80
85.80	59.50
86.40	58.60
87.00	58.70
87.60	51.10
88.20	52.80
88.80	53.20
89.40	45.30
90.00	55.20
90.60	45.50
91.20	49.00
91.80	53.50
92.40	42.90
93.00	39.80
93.60	39.20
94.20	35.00
94.80	41.00
95.40	38.70
96.00	47.70
96.60	53.90
97.20	52.30
97.80	42.40
98.40	44.10
99.00	36.50
99.60	45.30
100.20	44.40
100.80	41.00
101.40	36.50
102.00	39.40
102.60	37.50
103.20	27.90
103.80	41.20
104.40	23.80
105.00	14.10
105.60	21.10
106.20	23.10
106.80	23.20
107.40	24.40
108.00	25.70
108.60	23.60
109.20	33.60
109.80	33.00
110.40	40.20
111.00	37.60
111.60	29.10
112.20	35.50
112.80	45.00
113.40	33.70
114.00	41.60
114.60	44.00
115.20	39.90
115.80	39.50
116.40	39.70
117.00	38.40
117.60	31.70
118.20	39.00
118.80	42.50
119.40	45.80
120.00	38.40
120.60	50.00
121.20	47.50
121.80	40.90
122.40	45.90
123.00	48.00
123.60	43.30
124.20	41.80
124.80	43.20
125.40	37.50
126.00	31.30
126.60	28.60
127.20	28.80
127.80	30.40
128.40	34.80
129.00	35.40
129.60	33.40
130.20	35.90
130.80	27.00
131.40	29.00
132.00	24.20
132.60	25.90
133.20	32.20
133.80	30.80
134.40	33.60
135.00	28.90
135.60	33.40
136.20	27.30
136.80	24.60
137.40	25.70
138.00	17.50
138.60	24.10
139.20	31.00
139.80	37.30
140.40	18.20
141.00	19.20
141.60	27.30
142.20	16.30
142.80	26.80
143.40	19.30
144.00	21.10
144.60	16.70
145.20	20.20
145.80	13.40
146.40	11.30
147.00	21.40
147.60	27.80
148.20	19.60
148.80	31.40
149.40	24.60
150.00	23.30
150.60	34.80
151.20	33.80
151.80	29.60
152.40	35.90
153.00	28.40
153.60	24.90
154.20	17.90
154.80	19.30
155.40	15.00
156.00	14.20
156.60	18.40
157.20	26.80
157.80	28.90
158.40	27.30
159.00	16.50
159.60	17.30
160.20	7.40
160.80	16.10
161.40	12.00
162.00	22.50
162.60	24.30
163.20	26.70
163.80	25.70
164.40	14.00
165.00	12.30
165.60	14.40
166.20	10.50
166.80	5.30
167.40	17.90
168.00	31.40
168.60	35.10
169.20	43.40
169.80	49.90
170.40	42.90
171.00	54.50
171.60	58.90
172.20	41.10
172.80	44.00
173.40	42.90
174.00	26.10
174.60	34.60
175.20	28.30
175.80	29.30
176.40	29.10
177.00	25.20
177.60	13.50
178.20	17.60
178.80	20.30
179.40	13.90
180.00	11.80
180.60	19.40
181.20	19.90
181.80	23.00
182.40	10.70
183.00	16.60
183.60	17.60
184.20	16.60
184.80	14.30
185.40	21.50
186.00	15.20
186.60	20.40
187.20	22.90
187.80	31.20
188.40	19.40
189.00	21.60
189.60	17.20
190.20	22.40
190.80	21.40
191.40	19.10
192.00	18.40
192.60	14.80
193.20	17.70
193.80	24.70
194.40	15.90
195.00	15.30
195.60	10.40
196.20	8.90
196.80	15.50
197.40	14.40
198.00	12.80
198.60	13.70
199.20	16.20
199.80	19.30
200.40	19.70
201.00	20.80
201.60	21.20
202.20	7.80
202.80	14.10
203.40	12.80
204.00	20.60
204.60	17.60
205.20	16.50
205.80	14.40
206.40	19.60
207.00	13.50
207.60	4.90
208.20	11.00
208.80	7.90
209.40	6.40
210.00	10.70
210.60	14.40
211.20	4.40
211.80	9.40
212.40	14.20
213.00	9.60
213.60	5.70
214.20	10.10
214.80	6.30
215.40	8.50
216.00	5.60
216.60	8.20
217.20	12.70
217.80	7.10
218.40	7.60
219.00	9.10
219.60	10.20
220.20	15.10
220.80	16.50
221.40	12.30
222.00	7.70
222.60	23.90
223.20	21.10
223.80	16.10
224.40	25.50
225.00	18.10
225.60	20.10
226.20	18.10
226.80	13.60
227.40	18.70
228.00	24.70
228.60	19.00
229.20	17.10
229.80	27.70
230.40	22.30
231.00	13.00
231.60	13.50
232.20	10.40
232.80	10.20
233.40	8.30
234.00	11.40
234.60	12.70
235.20	10.20
235.80	13.70
236.40	7.50
237.00	11.30
237.60	12.40
238.20	8.30
238.80	13.10
239.40	8.50
240.00	6.50
240.60	7.30
241.20	10.60
241.80	13.50
242.40	6.30
243.00	9.00
243.60	9.30
244.20	7.20
244.80	9.20
245.40	9.90
246.00	5.50
246.60	5.00
247.20	9.20
247.80	11.80
248.40	10.70
249.00	14.50
249.60	10.00
250.20	8.40
250.80	11.30
251.40	15.10
252.00	8.90
252.60	11.20
253.20	17.10
253.80	12.90
254.40	10.10
255.00	14.90
255.60	24.70
256.20	18.60
256.80	14.00
257.40	14.20
258.00	15.00
258.60	15.40
259.20	5.90
259.80	1.40
260.40	19.30
261.00	19.20
261.60	27.40
262.20	31.00
262.80	17.80
263.40	27.10
264.00	32.20
264.60	34.70
265.20	40.80
265.80	34.00
266.40	36.40
267.00	36.50
267.60	26.20
268.20	30.80
268.80	30.50
269.40	29.40
270.00	25.90
270.60	26.00
271.20	36.40
271.80	33.40
272.40	36.00
273.00	33.90
273.60	32.10
274.20	26.80
274.80	27.50
275.40	24.60
276.00	19.80
276.60	21.30
277.20	26.80
277.80	17.10
278.40	21.10
279.00	16.50
279.60	17.20
280.20	15.10
280.80	9.80
281.40	4.20
282.00	13.40
282.60	14.70
283.20	21.20
283.80	19.70
284.40	18.20
285.00	17.20
285.60	11.20
286.20	14.10
286.80	16.90
287.40	20.10
288.00	14.40
288.60	13.70
289.20	17.40
289.80	14.20
290.40	15.60
291.00	24.60
291.60	20.70
292.20	26.60
292.80	31.20
293.40	33.60
294.00	31.40
294.60	29.90
295.20	26.90
295.80	30.90
296.40	31.20
297.00	32.00
297.60	26.70
298.20	21.30
298.80	19.40
299.40	14.40
300.00	17.30
300.60	13.50
301.20	14.00
301.80	16.70
302.40	12.90
303.00	16.70
303.60	22.50
304.20	20.80
304.80	19.30
305.40	8.50
306.00	8.10
306.60	12.50
307.20	6.50
307.80	11.70
308.40	11.30
309.00	7.80
309.60	8.50
310.20	11.30
310.80	6.60
311.40	6.20
312.00	12.90
312.60	10.20
313.20	13.20
313.80	13.60
314.40	13.00
315.00	15.00
315.60	15.00
316.20	10.90
316.80	17.80
317.40	9.50
318.00	14.10
318.60	10.30
319.20	5.00
319.80	9.70
320.40	8.90
321.00	8.70
321.60	9.10
322.20	5.40
322.80	20.30
323.40	21.80
324.00	30.20
324.60	28.40
325.20	29.80
325.80	30.80
326.40	31.90
327.00	27.50
327.60	33.90
328.20	33.80
328.80	37.00
329.40	32.70
330.00	35.80
330.60	37.60
331.20	36.80
331.80	37.10
332.40	38.80
333.00	44.40
333.60	41.70
334.20	44.20
334.80	35.10
335.40	39.30
336.00	38.10
336.60	40.40
