#time	SIM_7.5_0/
239.40	218.30
240.00	209.10
240.60	204.00
241.20	202.90
241.80	208.40
242.40	211.30
243.00	203.40
243.60	206.20
244.20	196.50
244.80	204.50
245.40	206.50
246.00	209.70
246.60	198.10
247.20	196.50
247.80	199.40
248.40	210.10
249.00	215.50
249.60	232.60
250.20	221.40
250.80	211.70
251.40	204.50
252.00	191.10
252.60	197.40
253.20	196.20
253.80	207.80
254.40	210.00
255.00	221.60
255.60	211.80
256.20	218.60
256.80	222.60
257.40	219.70
258.00	232.80
258.60	240.80
259.20	245.70
259.80	232.30
260.40	228.80
261.00	242.20
261.60	236.20
262.20	238.60
262.80	229.60
263.40	233.70
264.00	220.20
264.60	227.00
265.20	225.00
265.80	226.70
266.40	226.20
267.00	206.30
267.60	221.40
268.20	218.90
268.80	221.60
269.40	228.30
270.00	237.30
270.60	235.60
271.20	234.20
271.80	231.00
272.40	247.00
273.00	240.30
273.60	230.50
274.20	230.70
274.80	234.70
275.40	241.30
276.00	231.50
276.60	236.40
277.20	233.50
277.80	233.40
278.40	230.30
279.00	233.30
279.60	237.80
280.20	228.00
280.80	227.00
281.40	221.70
282.00	226.70
282.60	235.10
283.20	240.50
283.80	230.80
284.40	225.60
285.00	234.70
285.60	221.80
286.20	230.70
286.80	244.00
287.40	225.30
288.00	218.70
288.60	226.30
289.20	228.50
289.80	221.70
290.40	227.80
291.00	221.10
291.60	226.10
292.20	220.80
292.80	209.80
293.40	209.30
294.00	209.70
294.60	220.20
295.20	213.20
295.80	219.20
296.40	211.90
297.00	214.20
297.60	208.70
298.20	194.90
298.80	190.80
299.40	185.80
300.00	212.30
300.60	208.60
301.20	213.80
301.80	222.40
302.40	222.90
303.00	213.00
303.60	215.00
304.20	229.60
304.80	223.60
305.40	217.30
306.00	218.60
306.60	227.00
307.20	221.30
307.80	202.80
308.40	209.30
309.00	215.80
309.60	213.50
310.20	214.20
310.80	219.60
311.40	216.50
312.00	217.00
312.60	211.60
313.20	222.60
313.80	232.30
314.40	236.60
315.00	237.90
315.60	243.10
316.20	238.50
316.80	212.10
317.40	217.10
318.00	225.30
318.60	211.10
319.20	207.20
319.80	219.00
320.40	206.60
321.00	211.80
321.60	213.00
322.20	233.50
322.80	219.10
323.40	220.00
324.00	223.00
324.60	212.90
325.20	225.70
325.80	223.40
326.40	227.40
327.00	222.50
327.60	235.70
328.20	237.40
328.80	243.20
329.40	238.00
330.00	238.40
330.60	238.10
331.20	234.20
331.80	232.50
332.40	234.00
333.00	231.90
333.60	231.70
334.20	223.70
334.80	229.70
335.40	226.00
336.00	228.80
336.60	227.00
337.20	220.90
337.80	232.40
338.40	225.80
339.00	229.40
339.60	224.80
340.20	221.50
340.80	210.00
341.40	211.90
342.00	221.50
342.60	223.90
343.20	213.30
343.80	229.60
344.40	232.60
345.00	229.40
345.60	220.40
346.20	209.60
346.80	215.30
347.40	208.90
348.00	204.50
348.60	210.60
349.20	208.80
349.80	214.90
350.40	203.10
351.00	199.40
351.60	207.70
352.20	217.10
352.80	213.40
353.40	230.40
354.00	222.50
354.60	230.40
355.20	227.50
355.80	208.60
356.40	218.00
357.00	219.10
357.60	216.80
358.20	208.70
358.80	229.40
359.40	230.70
360.00	228.30
360.60	230.80
361.20	230.00
361.80	229.90
362.40	226.80
363.00	239.60
363.60	244.70
364.20	239.90
364.80	225.60
365.40	228.40
366.00	243.60
366.60	227.70
367.20	229.30
367.80	232.20
368.40	219.70
369.00	231.40
369.60	235.50
370.20	225.80
370.80	214.30
371.40	222.80
372.00	222.80
372.60	223.40
373.20	220.40
373.80	217.70
374.40	205.90
375.00	218.90
375.60	213.70
376.20	210.30
376.80	206.60
377.40	204.90
378.00	212.80
378.60	208.10
379.20	208.40
379.80	207.50
380.40	207.30
381.00	208.10
381.60	205.20
382.20	202.40
382.80	193.70
383.40	196.70
384.00	193.70
384.60	187.60
385.20	191.50
385.80	180.00
386.40	169.90
387.00	161.20
387.60	177.00
388.20	175.40
388.80	162.90
389.40	166.70
390.00	170.10
390.60	162.10
391.20	153.10
391.80	167.50
392.40	165.30
393.00	156.20
393.60	171.90
394.20	182.00
394.80	166.80
395.40	168.30
396.00	165.90
396.60	168.90
397.20	156.50
397.80	164.80
398.40	168.40
399.00	174.70
399.60	153.50
400.20	157.00
400.80	157.10
401.40	145.40
402.00	147.50
402.60	141.70
403.20	147.30
403.80	139.90
404.40	138.20
405.00	147.20
405.60	148.00
406.20	138.60
406.80	131.90
407.40	129.60
408.00	125.70
408.60	125.80
409.20	128.40
409.80	124.10
410.40	118.70
411.00	113.50
411.60	99.90
412.20	99.00
412.80	91.30
413.40	100.70
414.00	99.10
414.60	122.50
415.20	121.60
415.80	126.30
416.40	127.30
417.00	143.20
417.60	139.00
418.20	144.40
418.80	156.10
419.40	160.40
420.00	156.50
420.60	149.90
421.20	152.90
421.80	177.40
422.40	176.10
423.00	190.50
423.60	179.60
424.20	182.90
424.80	172.30
425.40	161.90
426.00	162.20
426.60	171.90
427.20	175.10
427.80	174.50
428.40	176.10
429.00	171.10
429.60	165.50
430.20	165.20
430.80	169.10
431.40	177.10
432.00	168.20
432.60	165.60
433.20	165.80
433.80	172.00
434.40	179.90
435.00	163.30
435.60	161.10
436.20	167.20
436.80	170.10
437.40	179.10
438.00	181.60
438.60	192.60
439.20	185.30
439.80	184.30
440.40	175.20
441.00	186.30
441.60	203.30
442.20	198.40
442.80	211.50
443.40	184.70
444.00	179.40
444.60	182.00
445.20	181.50
445.80	206.90
446.40	206.50
447.00	201.80
447.60	203.70
448.20	200.90
448.80	197.70
449.40	181.00
450.00	185.60
450.60	183.80
451.20	186.90
451.80	201.00
452.40	182.60
453.00	181.30
453.60	176.50
454.20	187.60
454.80	170.50
455.40	183.60
456.00	188.20
456.60	190.90
457.20	174.80
457.80	175.90
458.40	190.40
459.00	193.40
459.60	186.70
460.20	187.90
460.80	169.90
461.40	174.50
462.00	176.20
462.60	164.10
463.20	175.20
463.80	166.40
464.40	182.50
465.00	185.10
465.60	182.10
466.20	194.30
466.80	200.90
467.40	204.30
468.00	194.10
468.60	203.90
469.20	211.10
469.80	205.20
470.40	199.00
471.00	195.90
471.60	185.00
472.20	191.80
472.80	194.80
473.40	181.10
474.00	184.40
474.60	188.80
475.20	191.60
475.80	191.40
476.40	196.20
477.00	184.50
477.60	197.40
478.20	194.60
478.80	188.00
479.40	190.50
480.00	190.60
480.60	183.70
481.20	199.20
481.80	208.10
482.40	210.00
483.00	213.20
483.60	207.10
484.20	207.30
484.80	194.50
485.40	205.40
486.00	199.80
486.60	194.10
487.20	187.50
487.80	172.20
488.40	185.80
489.00	187.20
489.60	189.90
490.20	193.40
490.80	194.70
491.40	186.10
492.00	197.00
492.60	194.20
493.20	197.60
493.80	203.90
494.40	189.50
495.00	188.00
495.60	190.50
496.20	185.50
496.80	188.20
497.40	194.60
498.00	196.60
498.60	196.10
499.20	202.40
499.80	208.10
500.40	204.40
501.00	198.80
501.60	201.40
502.20	208.30
502.80	209.90
503.40	222.10
504.00	211.70
504.60	190.90
505.20	191.00
505.80	195.20
506.40	187.20
507.00	165.80
507.60	181.10
508.20	177.40
508.80	175.70
509.40	180.90
510.00	177.00
510.60	164.10
511.20	162.50
511.80	170.10
512.40	171.10
513.00	189.60
513.60	182.40
514.20	188.50
514.80	186.30
515.40	178.70
516.00	185.00
516.60	189.00
517.20	200.70
517.80	211.20
518.40	219.30
519.00	220.60
519.60	210.70
520.20	208.70
520.80	216.40
521.40	205.50
522.00	200.80
522.60	218.60
523.20	202.40
523.80	190.80
524.40	191.70
525.00	178.20
525.60	182.50
526.20	174.50
526.80	175.60
527.40	190.70
528.00	189.70
528.60	192.10
529.20	188.40
529.80	184.40
530.40	184.40
531.00	193.60
531.60	183.50
532.20	175.60
532.80	167.50
533.40	152.30
534.00	150.20
534.60	157.10
535.20	168.90
535.80	168.90
536.40	166.00
537.00	161.60
537.60	171.00
538.20	172.90
538.80	159.50
539.40	171.90
540.00	164.70
540.60	168.80
541.20	178.00
541.80	174.30
542.40	154.70
543.00	164.80
543.60	176.70
544.20	178.10
544.80	169.70
545.40	169.00
546.00	172.50
546.60	163.60
547.20	168.20
547.80	158.00
548.40	159.50
549.00	137.70
549.60	148.30
550.20	149.50
550.80	142.80
551.40	145.60
552.00	148.40
552.60	147.10
553.20	134.70
553.80	136.10
554.40	120.60
555.00	126.00
555.60	124.30
556.20	117.10
556.80	115.40
557.40	116.70
558.00	102.60
558.60	112.20
559.20	120.60
559.80	130.60
560.40	136.30
561.00	123.40
561.60	117.20
562.20	110.90
562.80	102.90
563.40	109.10
564.00	114.50
564.60	122.30
565.20	124.60
565.80	125.30
566.40	128.00
567.00	117.80
567.60	116.20
568.20	100.00
568.80	107.80
569.40	116.80
570.00	121.20
570.60	114.00
571.20	106.60
571.80	101.40
572.40	104.50
