#time	SIM_10_5/
0.60	97.90
1.20	97.90
1.80	105.20
2.40	97.30
3.00	110.30
3.60	104.20
4.20	107.70
4.80	111.90
5.40	113.10
6.00	127.40
6.60	107.90
7.20	105.40
7.80	117.00
8.40	108.30
9.00	121.70
9.60	111.60
10.20	109.20
10.80	109.30
11.40	104.80
12.00	106.70
12.60	102.00
13.20	111.10
13.80	96.60
14.40	95.40
15.00	100.20
15.60	111.30
16.20	107.90
16.80	96.80
17.40	98.50
18.00	92.40
18.60	98.20
19.20	102.80
19.80	107.20
20.40	107.10
21.00	110.70
21.60	102.30
22.20	101.30
22.80	99.80
23.40	110.30
24.00	105.80
24.60	104.00
25.20	82.90
25.80	70.20
26.40	73.70
27.00	95.10
27.60	96.70
28.20	88.50
28.80	87.90
29.40	102.50
30.00	110.60
30.60	117.40
31.20	114.30
31.80	128.20
32.40	128.80
33.00	123.20
33.60	129.70
34.20	129.00
34.80	143.50
35.40	137.20
36.00	139.80
36.60	146.10
37.20	144.20
37.80	150.60
38.40	144.40
39.00	158.40
39.60	157.90
40.20	158.20
40.80	158.60
41.40	156.10
42.00	156.80
42.60	158.50
43.20	156.50
43.80	158.90
44.40	158.00
45.00	163.00
45.60	160.30
46.20	156.10
46.80	145.30
47.40	142.00
48.00	153.90
48.60	149.10
49.20	150.10
49.80	159.50
50.40	166.00
51.00	156.60
51.60	163.90
52.20	162.50
52.80	161.40
53.40	176.80
54.00	169.50
54.60	167.50
55.20	162.60
55.80	153.40
56.40	155.60
57.00	150.70
57.60	147.50
58.20	154.10
58.80	152.90
59.40	150.70
60.00	145.10
60.60	144.60
61.20	144.40
61.80	147.70
62.40	151.60
63.00	154.50
63.60	154.50
64.20	145.00
64.80	149.90
65.40	147.50
66.00	158.80
66.60	153.60
67.20	151.90
67.80	139.50
68.40	131.80
69.00	133.80
69.60	132.20
70.20	122.30
70.80	127.00
71.40	127.10
72.00	138.00
72.60	138.80
73.20	137.70
73.80	130.90
74.40	149.30
75.00	134.70
75.60	132.90
76.20	134.70
76.80	161.70
77.40	169.30
78.00	166.00
78.60	168.00
79.20	167.00
79.80	160.20
80.40	163.30
81.00	165.60
81.60	165.90
82.20	170.90
82.80	173.70
83.40	177.40
84.00	181.10
84.60	171.60
85.20	176.60
85.80	173.70
86.40	174.30
87.00	179.60
87.60	179.70
88.20	181.60
88.80	173.10
89.40	174.40
90.00	172.80
90.60	172.60
91.20	177.90
91.80	170.50
92.40	157.40
93.00	158.50
93.60	159.80
94.20	160.90
94.80	156.20
95.40	164.20
96.00	167.00
96.60	162.70
97.20	150.10
97.80	156.80
98.40	143.10
99.00	149.00
99.60	162.40
100.20	151.30
100.80	149.30
101.40	144.00
102.00	141.20
102.60	140.50
103.20	149.50
103.80	142.40
104.40	156.20
105.00	153.00
105.60	152.90
106.20	158.50
106.80	157.80
107.40	155.60
108.00	150.20
108.60	143.30
109.20	130.90
109.80	138.50
110.40	141.90
111.00	152.40
111.60	140.50
112.20	143.80
112.80	134.10
113.40	146.40
114.00	153.50
114.60	150.60
115.20	162.80
115.80	147.90
116.40	156.90
117.00	148.80
117.60	139.00
118.20	148.50
118.80	146.80
119.40	155.10
120.00	154.00
120.60	154.00
121.20	150.70
