5.000000	0.000000	46.850000	5.790000
5.000000	5.000000	48.950000	5.710000
5.000000	10.000000	40.320000	5.960000
5.000000	20.000000	23.060000	2.050000

7.500000	0.000000	49.610000	6.070000
7.500000	5.000000	44.750000	4.870000
7.500000	10.000000	48.680000	8.160000
7.500000	20.000000	22.200000	0.850000

10.000000	0.000000	57.070000	3.960000
10.000000	5.000000	54.490000	4.460000
10.000000	10.000000	54.870000	3.050000
10.000000	20.000000	29.520000	1.250000

15.000000	0.000000	60.470000	2.160000
15.000000	5.000000	59.710000	2.270000
15.000000	10.000000	58.470000	2.280000
15.000000	20.000000	52.380000	2.880000

