#time	SIM_5_0/
0.60	121.20
1.20	121.10
1.80	121.10
2.40	142.00
3.00	144.90
3.60	130.60
4.20	114.90
4.80	105.20
5.40	107.20
6.00	113.00
6.60	117.40
7.20	129.00
7.80	139.00
8.40	138.10
9.00	146.10
9.60	139.90
10.20	137.90
10.80	127.70
11.40	131.90
12.00	128.70
12.60	133.30
13.20	127.80
13.80	135.90
14.40	133.30
15.00	133.40
15.60	140.30
16.20	137.70
16.80	152.50
17.40	158.90
18.00	148.50
18.60	146.10
19.20	156.20
19.80	153.90
20.40	155.50
21.00	161.10
21.60	149.40
22.20	160.10
22.80	145.40
23.40	136.20
24.00	132.90
24.60	148.40
25.20	148.40
25.80	156.70
26.40	144.40
27.00	157.50
27.60	137.60
28.20	131.20
28.80	138.50
29.40	142.40
30.00	155.00
30.60	143.90
31.20	137.90
31.80	139.90
32.40	147.80
33.00	156.40
33.60	138.70
34.20	130.40
34.80	139.20
35.40	152.30
36.00	150.40
36.60	158.90
37.20	163.90
37.80	162.60
38.40	155.30
39.00	156.90
39.60	147.20
40.20	150.10
40.80	143.90
41.40	144.80
42.00	139.10
42.60	142.80
43.20	136.90
43.80	154.30
44.40	148.90
45.00	149.10
45.60	135.50
46.20	131.50
46.80	126.10
47.40	119.00
48.00	118.50
48.60	126.20
49.20	126.80
49.80	132.70
50.40	127.30
51.00	127.20
51.60	116.10
52.20	125.40
52.80	129.80
53.40	113.80
54.00	103.30
54.60	105.40
55.20	104.20
55.80	102.50
56.40	129.00
57.00	157.20
57.60	157.20
58.20	133.40
58.80	145.90
59.40	155.80
60.00	157.40
60.60	163.70
61.20	164.90
61.80	166.40
62.40	166.00
63.00	153.60
63.60	152.10
64.20	155.80
64.80	157.90
65.40	162.20
66.00	181.60
66.60	183.00
67.20	167.90
67.80	168.60
68.40	159.00
69.00	171.20
69.60	158.90
70.20	148.60
70.80	141.00
71.40	143.40
72.00	140.40
72.60	132.20
73.20	131.30
73.80	136.80
74.40	141.30
75.00	143.90
75.60	139.30
76.20	135.80
76.80	141.80
77.40	149.50
78.00	131.60
78.60	114.90
79.20	107.40
79.80	96.40
80.40	117.60
81.00	114.30
81.60	117.40
82.20	121.60
82.80	115.70
83.40	119.70
84.00	127.20
84.60	127.50
85.20	128.50
85.80	135.50
86.40	139.10
87.00	140.00
87.60	133.80
88.20	123.80
88.80	111.70
89.40	117.00
90.00	111.70
90.60	118.20
91.20	116.70
91.80	124.00
92.40	120.60
93.00	125.90
93.60	124.90
94.20	132.70
94.80	132.60
95.40	123.30
96.00	120.80
96.60	126.80
97.20	123.80
97.80	110.80
98.40	106.80
99.00	111.00
99.60	113.00
100.20	141.50
100.80	135.50
101.40	143.20
102.00	136.80
102.60	139.10
103.20	149.90
103.80	147.10
104.40	153.20
105.00	150.10
105.60	146.50
106.20	135.40
106.80	133.40
107.40	139.90
108.00	132.10
108.60	139.20
109.20	132.60
109.80	135.20
110.40	130.10
111.00	107.30
111.60	118.80
112.20	126.20
112.80	127.30
113.40	116.60
114.00	115.20
114.60	116.50
115.20	98.80
115.80	100.50
116.40	107.50
117.00	117.10
117.60	114.10
118.20	119.20
118.80	119.70
119.40	128.40
120.00	134.10
120.60	123.90
121.20	105.80
121.80	110.00
122.40	104.90
123.00	97.40
123.60	105.60
124.20	98.40
124.80	88.80
