0 1.000000 0.000000
1 0.996878 0.001275
2 0.988964 0.004617
3 0.978207 0.009154
4 0.966390 0.014123
5 0.954603 0.019145
6 0.943154 0.024258
7 0.931798 0.029721
8 0.920151 0.035749
9 0.908085 0.042332
10 0.895816 0.049367
11 0.883861 0.056753
12 0.872010 0.064532
13 0.860160 0.072743
14 0.848242 0.081430
15 0.836269 0.090584
16 0.824328 0.100200
17 0.812517 0.110239
18 0.800913 0.120694
19 0.789538 0.131555
20 0.778400 0.142776
21 0.767443 0.154298
22 0.756578 0.166075
23 0.745696 0.178102
24 0.734725 0.190380
25 0.723693 0.202873
26 0.712645 0.215571
27 0.701714 0.228445
28 0.691043 0.241448
29 0.680708 0.254518
30 0.670669 0.267561
31 0.660833 0.280467
32 0.651104 0.293213
33 0.641356 0.305781
34 0.631528 0.318039
35 0.621600 0.329900
36 0.611681 0.341161
37 0.601885 0.351665
38 0.592375 0.361370
39 0.583278 0.370253
40 0.574620 0.378437
41 0.566346 0.386136
42 0.558282 0.393495
43 0.550305 0.400645
44 0.542199 0.407707
45 0.533963 0.414697
46 0.525589 0.421536
47 0.517312 0.428091
48 0.509314 0.434192
49 0.501749 0.439785
50 0.494614 0.445030
51 0.487831 0.450157
52 0.481301 0.455346
53 0.474761 0.460776
54 0.468319 0.466295
55 0.462029 0.471434
56 0.456269 0.476165
