#time	SIM_10_20/
239.40	45.30
240.00	45.60
240.60	39.10
241.20	33.80
241.80	40.30
242.40	47.60
243.00	35.30
243.60	30.90
244.20	37.20
244.80	36.00
245.40	37.10
246.00	42.40
246.60	34.70
247.20	36.00
247.80	27.20
248.40	26.40
249.00	25.00
249.60	24.40
250.20	30.20
250.80	37.50
251.40	25.60
252.00	25.70
252.60	30.10
253.20	31.10
253.80	35.10
254.40	36.20
255.00	27.50
255.60	29.70
256.20	20.70
256.80	18.40
257.40	22.40
258.00	20.10
258.60	26.80
259.20	25.80
259.80	20.00
260.40	19.90
261.00	21.40
261.60	18.70
262.20	21.20
262.80	13.60
263.40	19.80
264.00	18.70
264.60	21.00
265.20	20.70
265.80	21.90
266.40	35.10
267.00	34.10
267.60	29.70
268.20	40.80
268.80	38.20
269.40	32.00
270.00	26.70
270.60	24.30
271.20	20.40
271.80	22.20
272.40	20.70
273.00	24.40
273.60	23.00
274.20	23.50
274.80	19.90
275.40	13.10
276.00	16.10
276.60	15.30
277.20	9.90
277.80	12.10
278.40	16.40
279.00	15.10
279.60	24.40
280.20	14.30
280.80	9.70
281.40	15.30
282.00	10.10
282.60	18.00
283.20	12.30
283.80	15.40
284.40	16.70
285.00	16.80
285.60	13.10
286.20	13.90
286.80	10.20
287.40	14.00
288.00	12.60
288.60	7.20
289.20	11.30
289.80	4.80
290.40	11.60
291.00	7.20
291.60	16.20
292.20	12.00
292.80	11.60
293.40	15.60
294.00	9.00
294.60	11.80
295.20	9.50
295.80	16.10
296.40	16.80
297.00	18.00
297.60	16.50
298.20	9.00
298.80	13.90
299.40	17.70
300.00	18.60
300.60	13.70
301.20	13.00
301.80	12.40
302.40	7.70
303.00	14.30
303.60	9.80
304.20	13.30
304.80	13.50
305.40	12.00
306.00	10.40
306.60	13.00
307.20	11.70
307.80	20.50
308.40	15.60
309.00	13.10
309.60	12.90
310.20	11.10
310.80	14.60
311.40	25.20
312.00	12.90
312.60	9.90
313.20	11.50
313.80	15.10
314.40	6.30
315.00	10.80
315.60	6.90
316.20	11.00
316.80	21.90
317.40	18.80
318.00	18.80
318.60	15.20
319.20	14.10
319.80	13.50
320.40	12.40
321.00	14.90
321.60	12.50
322.20	14.60
322.80	17.60
323.40	20.40
324.00	26.90
324.60	20.80
325.20	14.80
325.80	20.10
326.40	21.00
327.00	21.40
327.60	20.20
328.20	20.80
328.80	15.00
329.40	11.60
330.00	15.80
330.60	15.20
331.20	19.70
331.80	20.90
332.40	9.00
333.00	8.60
333.60	12.50
334.20	11.30
334.80	15.20
335.40	11.10
336.00	12.10
336.60	10.90
337.20	12.30
337.80	10.30
338.40	12.30
339.00	18.30
339.60	20.10
340.20	25.10
340.80	18.60
341.40	22.10
342.00	24.60
342.60	18.70
343.20	28.70
343.80	24.00
344.40	22.90
345.00	22.30
345.60	14.60
346.20	15.30
346.80	17.70
347.40	19.00
348.00	11.60
348.60	17.20
349.20	15.80
349.80	10.10
350.40	5.50
351.00	13.30
351.60	13.30
352.20	19.90
352.80	14.70
353.40	24.30
354.00	13.60
354.60	22.30
355.20	20.70
355.80	15.80
356.40	15.20
357.00	12.90
357.60	25.40
358.20	14.40
358.80	10.70
359.40	14.60
360.00	11.10
360.60	8.10
361.20	13.60
361.80	17.80
362.40	12.70
363.00	13.10
363.60	14.70
364.20	15.00
364.80	16.40
365.40	17.60
366.00	16.40
366.60	12.40
367.20	13.50
367.80	17.30
368.40	16.60
369.00	16.20
369.60	15.30
370.20	19.80
370.80	12.60
371.40	17.40
372.00	15.90
372.60	16.50
373.20	14.20
373.80	16.90
374.40	18.00
375.00	12.10
375.60	18.60
376.20	16.00
376.80	15.30
377.40	12.20
378.00	19.20
378.60	13.20
379.20	9.80
379.80	13.20
380.40	12.10
381.00	18.90
381.60	16.50
382.20	14.50
382.80	12.20
383.40	18.20
384.00	18.10
384.60	15.70
385.20	19.90
385.80	12.50
386.40	17.90
387.00	13.10
387.60	12.20
388.20	14.50
388.80	15.80
389.40	17.40
390.00	18.70
390.60	15.30
391.20	17.80
391.80	10.30
392.40	16.40
393.00	21.90
393.60	15.60
394.20	13.90
394.80	13.40
395.40	15.30
396.00	16.30
396.60	14.70
397.20	12.60
397.80	17.30
398.40	19.10
399.00	18.80
399.60	12.70
400.20	16.40
400.80	14.50
401.40	12.60
402.00	19.90
402.60	16.00
403.20	18.30
403.80	17.00
404.40	17.50
405.00	24.80
405.60	19.10
406.20	14.20
406.80	14.80
407.40	18.80
408.00	12.20
408.60	14.50
409.20	15.00
409.80	19.00
410.40	16.80
411.00	11.60
411.60	15.20
412.20	14.40
412.80	20.40
413.40	19.70
414.00	14.50
414.60	17.20
415.20	16.00
415.80	18.90
416.40	17.20
417.00	16.40
417.60	16.20
418.20	18.20
418.80	11.30
419.40	13.60
420.00	16.00
420.60	14.00
421.20	10.30
421.80	18.50
422.40	16.00
423.00	12.20
423.60	14.40
424.20	13.20
424.80	14.90
425.40	18.20
426.00	12.90
426.60	17.30
427.20	15.30
427.80	17.10
428.40	16.60
429.00	17.20
429.60	15.10
430.20	13.50
430.80	20.70
431.40	14.50
432.00	13.90
432.60	15.10
433.20	16.20
433.80	13.00
434.40	15.80
435.00	19.60
435.60	12.60
436.20	14.20
436.80	15.50
437.40	18.00
438.00	16.40
438.60	15.50
439.20	16.20
439.80	10.90
440.40	18.50
441.00	15.30
441.60	14.10
442.20	11.70
442.80	15.80
443.40	21.80
444.00	20.40
444.60	19.40
445.20	17.00
445.80	12.50
446.40	13.80
447.00	18.10
447.60	9.50
448.20	12.60
448.80	18.40
449.40	19.60
450.00	18.30
450.60	17.70
451.20	17.90
451.80	24.50
452.40	14.10
453.00	13.30
453.60	23.40
454.20	15.80
454.80	15.20
455.40	18.40
456.00	18.80
456.60	18.00
457.20	18.50
457.80	14.90
458.40	14.70
459.00	14.90
459.60	16.10
460.20	14.10
460.80	18.40
461.40	14.60
462.00	18.70
462.60	17.40
463.20	14.40
463.80	14.00
464.40	16.80
465.00	13.20
465.60	23.10
466.20	20.20
466.80	19.50
467.40	15.20
468.00	16.20
468.60	22.20
469.20	17.80
469.80	15.30
470.40	21.00
471.00	14.60
471.60	17.70
472.20	18.80
472.80	14.90
473.40	9.70
474.00	15.40
474.60	16.60
475.20	14.00
475.80	14.80
476.40	17.30
477.00	19.10
477.60	17.40
478.20	18.50
478.80	17.30
479.40	18.50
480.00	17.50
480.60	12.60
481.20	16.40
481.80	13.10
482.40	18.80
483.00	12.00
483.60	10.00
484.20	13.50
484.80	21.30
485.40	20.70
486.00	13.00
486.60	17.50
487.20	18.30
487.80	15.40
488.40	14.70
489.00	15.90
489.60	17.10
490.20	19.40
490.80	12.20
491.40	16.90
492.00	18.80
492.60	12.90
493.20	18.80
493.80	17.50
494.40	15.20
495.00	17.30
495.60	13.40
496.20	17.00
496.80	21.70
497.40	13.10
498.00	15.30
498.60	16.60
499.20	18.00
499.80	16.90
500.40	13.20
501.00	19.80
501.60	17.60
502.20	14.90
502.80	16.40
503.40	12.40
504.00	17.80
504.60	15.70
505.20	16.80
505.80	17.80
506.40	14.90
507.00	10.80
507.60	15.60
508.20	15.30
508.80	13.80
509.40	13.60
510.00	21.00
510.60	17.30
511.20	15.30
511.80	17.00
512.40	17.10
513.00	16.00
513.60	12.90
514.20	15.60
514.80	24.90
515.40	29.30
516.00	13.20
516.60	16.60
517.20	16.90
517.80	17.50
518.40	15.10
519.00	15.80
519.60	14.10
520.20	12.90
520.80	15.80
521.40	13.80
522.00	18.90
522.60	13.00
523.20	13.70
523.80	16.00
524.40	15.60
525.00	17.10
525.60	15.00
526.20	21.50
526.80	13.70
527.40	13.40
528.00	13.30
528.60	17.50
529.20	17.50
529.80	23.00
530.40	15.70
531.00	18.30
531.60	22.90
532.20	18.60
532.80	16.30
533.40	11.90
534.00	16.80
534.60	19.80
535.20	15.00
535.80	15.00
536.40	20.80
537.00	15.50
537.60	17.20
538.20	20.50
538.80	18.80
539.40	15.50
540.00	16.30
540.60	9.80
541.20	8.20
541.80	15.70
542.40	16.40
543.00	18.50
543.60	19.30
544.20	19.60
544.80	14.30
545.40	17.80
546.00	14.60
546.60	12.40
547.20	16.60
547.80	17.10
548.40	17.50
549.00	12.60
549.60	15.80
550.20	17.50
550.80	14.80
551.40	14.40
552.00	14.00
552.60	16.90
553.20	14.60
553.80	15.60
554.40	16.80
555.00	17.00
555.60	16.00
556.20	13.90
556.80	18.40
557.40	15.70
558.00	20.20
558.60	17.90
559.20	15.90
559.80	13.40
560.40	11.80
561.00	13.10
561.60	16.30
562.20	16.20
562.80	11.90
563.40	16.80
564.00	18.10
564.60	19.10
565.20	15.30
565.80	14.70
566.40	19.90
567.00	19.40
567.60	15.90
568.20	18.00
568.80	14.80
569.40	17.80
570.00	8.60
570.60	14.40
571.20	15.60
571.80	15.30
572.40	18.40
573.00	13.80
573.60	17.60
574.20	10.90
574.80	12.50
575.40	16.60
576.00	17.00
576.60	15.80
577.20	19.80
577.80	15.10
578.40	17.10
579.00	13.20
579.60	15.10
580.20	11.30
580.80	15.20
581.40	12.20
582.00	14.40
582.60	20.40
583.20	18.90
583.80	17.80
584.40	16.80
585.00	19.60
585.60	16.20
586.20	19.30
586.80	16.20
587.40	16.70
588.00	20.20
588.60	17.30
589.20	17.90
589.80	16.60
590.40	17.80
591.00	18.90
591.60	13.70
592.20	14.40
592.80	15.90
593.40	14.50
594.00	17.60
594.60	12.10
595.20	16.70
595.80	16.90
596.40	20.20
597.00	13.90
597.60	16.60
598.20	12.80
598.80	14.70
599.40	18.40
600.00	13.50
600.60	13.30
601.20	14.90
601.80	10.20
602.40	21.40
603.00	14.90
603.60	15.30
604.20	15.60
604.80	15.00
605.40	10.80
606.00	15.60
606.60	14.00
607.20	24.50
607.80	20.40
608.40	16.20
609.00	18.00
609.60	15.30
610.20	12.80
610.80	11.60
611.40	10.60
612.00	16.40
612.60	19.60
613.20	10.60
613.80	19.40
614.40	11.70
615.00	15.80
615.60	14.40
616.20	6.20
616.80	4.70
617.40	13.70
618.00	15.80
618.60	16.00
619.20	15.70
619.80	10.00
620.40	10.60
621.00	15.80
621.60	14.60
622.20	13.50
622.80	13.60
623.40	28.30
624.00	23.30
624.60	16.60
625.20	20.30
625.80	13.50
626.40	12.70
627.00	18.80
627.60	14.70
628.20	15.60
628.80	11.10
629.40	19.20
630.00	14.10
630.60	13.80
631.20	16.80
631.80	18.80
632.40	17.80
633.00	17.60
633.60	25.00
634.20	12.40
634.80	16.70
635.40	16.20
636.00	16.20
636.60	15.20
637.20	13.70
637.80	15.10
638.40	18.00
639.00	14.80
639.60	16.80
640.20	18.20
640.80	15.90
641.40	18.40
642.00	11.60
642.60	18.00
643.20	18.40
643.80	15.00
644.40	15.20
645.00	12.20
645.60	14.50
646.20	15.70
646.80	15.50
647.40	17.70
648.00	11.80
648.60	15.60
649.20	17.20
649.80	16.30
650.40	15.90
651.00	14.10
651.60	15.80
652.20	15.10
652.80	13.90
653.40	19.30
654.00	18.40
654.60	10.40
655.20	15.60
655.80	18.90
656.40	12.80
657.00	14.70
657.60	17.60
658.20	16.00
658.80	16.40
659.40	19.70
660.00	22.10
660.60	14.60
661.20	18.90
661.80	13.90
662.40	19.70
663.00	30.10
663.60	25.20
664.20	18.10
664.80	20.10
665.40	17.80
666.00	17.60
666.60	20.70
667.20	14.90
667.80	13.70
668.40	13.50
669.00	21.40
669.60	17.90
670.20	16.60
670.80	15.70
671.40	20.70
672.00	15.50
672.60	15.20
673.20	11.80
673.80	12.10
674.40	18.00
675.00	21.10
675.60	16.50
676.20	15.20
676.80	14.90
677.40	13.50
678.00	19.00
678.60	21.60
679.20	16.60
679.80	14.40
680.40	16.10
681.00	6.30
681.60	13.40
682.20	13.30
682.80	17.80
683.40	11.60
684.00	9.60
684.60	18.40
685.20	13.30
685.80	10.40
686.40	11.70
687.00	13.20
687.60	12.90
688.20	8.20
688.80	9.80
689.40	15.20
690.00	11.10
690.60	18.60
691.20	16.60
691.80	12.90
692.40	15.30
693.00	12.70
693.60	14.80
694.20	18.90
694.80	14.20
695.40	10.50
696.00	14.90
696.60	11.10
697.20	11.10
697.80	12.80
698.40	18.80
699.00	18.30
699.60	14.80
700.20	17.30
700.80	16.70
701.40	17.10
702.00	17.40
702.60	12.70
703.20	17.40
703.80	16.60
704.40	18.90
705.00	14.80
705.60	17.40
706.20	14.10
706.80	17.30
707.40	14.30
708.00	12.80
708.60	17.80
709.20	16.90
709.80	13.40
710.40	16.10
711.00	16.10
711.60	16.10
712.20	15.40
712.80	16.50
713.40	17.70
714.00	18.00
714.60	16.00
715.20	18.30
715.80	16.00
716.40	20.30
717.00	24.40
717.60	8.00
718.20	10.40
718.80	12.10
719.40	19.40
720.00	17.90
720.60	15.90
721.20	14.40
721.80	14.00
722.40	18.90
723.00	16.10
723.60	17.70
724.20	17.70
724.80	15.70
725.40	14.80
726.00	22.10
726.60	17.00
727.20	19.20
727.80	19.80
728.40	15.80
729.00	23.90
729.60	15.80
730.20	20.50
730.80	16.40
731.40	16.40
732.00	17.50
732.60	21.40
733.20	26.40
733.80	14.60
734.40	13.10
735.00	16.70
735.60	9.30
736.20	14.40
736.80	18.60
737.40	9.60
738.00	12.80
738.60	12.90
739.20	18.40
739.80	15.70
740.40	9.90
741.00	3.70
741.60	10.40
742.20	7.10
742.80	13.00
743.40	11.80
744.00	15.00
744.60	15.40
745.20	16.30
745.80	14.20
746.40	15.30
747.00	12.20
747.60	15.20
748.20	19.10
748.80	11.50
749.40	17.70
750.00	18.70
750.60	18.70
751.20	12.30
751.80	25.60
752.40	16.40
753.00	19.90
753.60	18.80
754.20	11.60
754.80	1.90
755.40	15.60
756.00	14.80
756.60	16.60
757.20	19.10
757.80	10.60
758.40	13.20
759.00	14.00
759.60	12.10
760.20	14.00
760.80	18.60
761.40	17.50
762.00	16.50
762.60	14.60
763.20	18.00
763.80	19.00
764.40	18.50
765.00	24.20
765.60	21.50
766.20	34.60
766.80	29.10
767.40	28.50
768.00	27.70
768.60	33.60
769.20	32.90
769.80	31.10
770.40	34.10
771.00	35.70
771.60	37.80
772.20	27.00
772.80	27.80
773.40	27.10
774.00	19.30
774.60	29.20
775.20	28.60
775.80	22.40
776.40	22.90
777.00	24.50
777.60	30.20
778.20	22.30
778.80	33.00
779.40	24.00
780.00	28.00
780.60	25.20
781.20	31.00
781.80	31.90
782.40	18.50
783.00	23.00
783.60	25.50
784.20	16.70
784.80	15.70
785.40	16.60
786.00	7.60
786.60	12.10
787.20	12.60
787.80	18.10
788.40	18.70
789.00	23.10
789.60	20.20
790.20	16.00
790.80	22.20
791.40	12.80
792.00	22.10
792.60	23.10
793.20	14.70
793.80	22.70
794.40	14.30
795.00	15.70
795.60	10.30
796.20	15.40
796.80	13.40
797.40	12.30
798.00	11.50
798.60	13.60
799.20	21.80
799.80	14.70
800.40	22.00
801.00	19.60
801.60	15.40
802.20	14.30
802.80	10.90
803.40	14.20
804.00	14.00
804.60	11.30
805.20	19.70
805.80	11.60
806.40	14.50
807.00	15.80
807.60	9.40
808.20	9.70
808.80	17.80
809.40	13.10
810.00	18.40
810.60	17.40
811.20	13.80
811.80	13.70
812.40	16.40
813.00	12.90
813.60	13.80
814.20	16.60
814.80	12.20
815.40	15.60
816.00	14.80
816.60	18.60
817.20	12.20
817.80	21.00
818.40	14.10
819.00	15.00
819.60	14.60
820.20	18.60
820.80	17.00
821.40	12.50
822.00	16.60
822.60	14.30
823.20	17.20
823.80	17.30
824.40	13.50
825.00	17.80
825.60	12.80
826.20	17.90
826.80	16.50
827.40	18.00
828.00	15.00
828.60	13.70
829.20	9.80
829.80	15.50
830.40	17.40
831.00	17.20
831.60	16.80
832.20	13.50
832.80	10.80
833.40	14.20
834.00	15.00
834.60	16.10
835.20	11.70
835.80	13.30
836.40	13.60
837.00	15.60
837.60	12.40
838.20	16.70
838.80	18.50
839.40	18.70
840.00	18.80
840.60	20.20
841.20	15.40
841.80	12.50
842.40	15.30
843.00	12.40
843.60	20.60
844.20	20.10
844.80	14.10
845.40	17.60
846.00	12.60
846.60	24.10
847.20	12.20
847.80	14.80
848.40	21.20
849.00	17.80
849.60	20.10
850.20	15.40
850.80	16.60
851.40	15.70
852.00	8.90
852.60	12.60
853.20	14.10
853.80	13.30
854.40	16.20
855.00	16.40
855.60	19.30
856.20	15.50
856.80	18.50
857.40	19.60
858.00	15.90
858.60	17.50
859.20	14.90
859.80	19.40
860.40	13.90
861.00	18.10
861.60	14.90
862.20	18.80
862.80	14.80
863.40	23.20
864.00	19.20
864.60	17.50
865.20	15.40
865.80	14.50
866.40	15.70
867.00	15.40
867.60	15.50
868.20	13.80
868.80	19.20
869.40	18.70
870.00	15.00
870.60	17.90
871.20	17.70
871.80	16.70
872.40	13.60
873.00	20.60
873.60	16.90
874.20	12.80
874.80	15.20
875.40	17.60
876.00	15.30
876.60	19.20
877.20	15.20
877.80	13.30
878.40	15.50
879.00	19.70
879.60	15.80
880.20	22.60
880.80	16.40
881.40	16.90
882.00	14.50
882.60	14.20
883.20	15.90
883.80	21.50
884.40	13.90
885.00	14.80
885.60	13.00
886.20	13.40
886.80	14.00
887.40	17.50
888.00	12.60
888.60	18.20
889.20	18.90
889.80	14.90
890.40	15.10
891.00	17.40
891.60	13.40
892.20	13.30
892.80	15.90
893.40	22.80
894.00	19.40
894.60	19.60
895.20	17.50
895.80	14.30
896.40	17.10
897.00	15.70
897.60	16.70
898.20	15.30
898.80	17.60
899.40	19.60
900.00	17.00
900.60	18.40
901.20	13.60
901.80	11.80
902.40	16.30
903.00	19.90
903.60	14.10
904.20	13.30
904.80	15.20
905.40	13.20
906.00	19.00
906.60	17.40
907.20	15.90
907.80	17.80
908.40	22.10
909.00	12.70
909.60	19.70
910.20	15.50
910.80	12.40
911.40	16.70
912.00	19.10
912.60	17.30
913.20	11.50
913.80	12.40
914.40	20.10
915.00	11.40
915.60	20.10
916.20	22.30
916.80	14.40
917.40	16.40
918.00	19.50
918.60	17.60
919.20	17.60
919.80	12.40
920.40	19.60
921.00	22.10
921.60	23.40
922.20	18.80
922.80	18.10
923.40	15.00
924.00	15.00
924.60	13.30
925.20	15.00
925.80	14.90
926.40	14.50
927.00	12.60
927.60	9.50
928.20	20.60
928.80	13.20
929.40	12.40
930.00	16.50
930.60	12.70
931.20	16.30
931.80	14.60
932.40	12.70
933.00	11.30
933.60	17.60
934.20	20.70
934.80	15.30
935.40	10.70
936.00	17.70
936.60	14.00
937.20	9.70
937.80	21.60
938.40	21.80
939.00	7.60
939.60	12.70
940.20	18.50
940.80	16.70
941.40	8.10
942.00	13.90
942.60	22.40
943.20	13.80
943.80	16.90
944.40	12.00
945.00	10.90
945.60	12.20
946.20	9.00
946.80	14.50
947.40	8.90
948.00	9.90
948.60	11.00
949.20	12.40
949.80	13.30
950.40	10.90
951.00	16.50
951.60	14.70
952.20	14.70
952.80	16.30
953.40	22.20
954.00	20.70
954.60	17.00
955.20	17.80
955.80	18.30
956.40	8.30
957.00	7.70
957.60	13.50
958.20	11.10
958.80	10.10
959.40	16.90
960.00	7.60
960.60	11.80
961.20	10.40
961.80	13.60
962.40	13.50
963.00	14.20
963.60	9.70
964.20	13.60
964.80	15.30
965.40	13.30
966.00	13.90
966.60	12.20
967.20	16.80
967.80	12.90
968.40	15.80
969.00	13.30
969.60	16.60
970.20	15.80
970.80	17.40
971.40	14.50
972.00	13.80
972.60	14.50
973.20	15.70
973.80	19.10
974.40	16.30
975.00	21.20
975.60	14.00
976.20	17.30
976.80	15.10
977.40	20.60
978.00	17.30
978.60	16.50
979.20	13.60
979.80	9.00
980.40	10.70
981.00	10.80
981.60	11.50
982.20	10.40
982.80	10.80
983.40	16.90
