#time	SIM_7.5_5/
0.60	132.90
1.20	132.80
1.80	137.60
2.40	136.20
3.00	147.00
3.60	132.30
4.20	148.10
4.80	151.10
5.40	150.80
6.00	159.50
6.60	163.20
7.20	170.80
7.80	151.60
8.40	157.20
9.00	144.70
9.60	151.90
10.20	160.60
10.80	160.80
11.40	152.00
12.00	153.50
12.60	155.40
13.20	172.70
13.80	179.60
14.40	190.30
15.00	184.90
15.60	189.10
16.20	183.50
16.80	168.90
17.40	182.90
18.00	194.60
18.60	181.40
19.20	169.80
19.80	173.50
20.40	162.10
21.00	149.70
21.60	140.40
22.20	140.90
22.80	141.90
23.40	157.40
24.00	159.50
24.60	171.70
25.20	175.80
25.80	173.00
26.40	168.50
27.00	172.50
27.60	169.90
28.20	168.10
28.80	160.60
29.40	174.20
30.00	165.70
30.60	157.70
31.20	147.90
31.80	138.20
32.40	143.40
33.00	142.80
33.60	134.50
34.20	127.20
34.80	119.70
35.40	121.20
36.00	127.90
36.60	124.60
37.20	129.80
37.80	135.60
38.40	128.50
39.00	138.60
39.60	152.00
40.20	136.90
40.80	146.10
41.40	146.10
42.00	147.30
42.60	153.10
43.20	155.80
43.80	139.40
44.40	158.90
45.00	152.80
45.60	153.40
46.20	155.80
46.80	161.90
47.40	159.80
48.00	161.70
48.60	173.30
49.20	171.30
49.80	164.50
50.40	159.20
51.00	158.10
51.60	155.30
52.20	162.60
52.80	153.60
53.40	152.20
54.00	155.40
54.60	167.60
55.20	169.20
55.80	152.10
56.40	139.90
57.00	158.70
57.60	157.00
58.20	155.00
58.80	156.10
59.40	178.20
60.00	179.80
60.60	197.40
61.20	193.00
61.80	180.40
62.40	182.70
63.00	173.60
63.60	183.90
64.20	167.50
64.80	171.40
65.40	163.90
66.00	165.20
66.60	157.30
67.20	148.90
67.80	150.00
68.40	149.50
69.00	148.10
69.60	147.10
70.20	153.00
70.80	151.40
71.40	145.30
72.00	140.80
72.60	149.00
73.20	148.00
73.80	154.10
74.40	149.60
75.00	148.80
75.60	139.10
76.20	136.70
76.80	118.90
77.40	113.90
78.00	124.00
78.60	113.50
79.20	131.30
79.80	134.30
80.40	146.00
81.00	129.30
81.60	125.70
82.20	129.20
82.80	122.60
83.40	131.00
84.00	134.20
84.60	140.50
85.20	148.70
85.80	143.90
86.40	141.70
87.00	139.30
87.60	130.10
88.20	134.60
88.80	146.80
89.40	149.50
90.00	151.70
90.60	150.10
91.20	158.80
91.80	150.70
92.40	148.70
93.00	143.10
93.60	137.10
94.20	140.00
94.80	143.10
95.40	151.10
96.00	143.60
96.60	143.70
97.20	138.40
97.80	125.30
98.40	127.40
99.00	118.60
99.60	119.60
100.20	115.90
100.80	114.10
101.40	121.70
102.00	120.70
102.60	131.70
103.20	123.60
103.80	116.80
104.40	115.30
105.00	107.60
105.60	110.60
106.20	122.30
106.80	122.40
107.40	129.60
108.00	127.50
108.60	141.30
109.20	149.60
109.80	140.00
110.40	139.30
111.00	143.50
111.60	150.60
112.20	136.50
112.80	145.90
113.40	138.50
114.00	134.40
114.60	141.40
115.20	141.50
115.80	145.20
116.40	150.50
117.00	158.60
117.60	176.70
118.20	169.60
118.80	171.60
119.40	179.80
120.00	183.50
120.60	173.20
121.20	158.50
121.80	172.00
122.40	172.70
123.00	188.50
123.60	172.80
124.20	164.40
124.80	161.40
125.40	154.60
126.00	145.00
126.60	142.60
127.20	148.90
127.80	152.40
128.40	140.80
129.00	150.00
129.60	158.40
130.20	159.70
130.80	150.60
131.40	162.00
132.00	165.20
132.60	160.90
133.20	166.50
133.80	167.90
134.40	161.60
135.00	157.80
135.60	161.00
136.20	156.70
136.80	170.50
137.40	162.40
138.00	164.20
138.60	161.90
139.20	167.90
139.80	156.30
140.40	160.50
141.00	157.80
141.60	162.70
142.20	157.90
142.80	151.10
143.40	141.50
144.00	140.10
144.60	140.70
145.20	145.00
145.80	131.10
146.40	141.60
147.00	146.50
147.60	145.90
148.20	138.10
148.80	142.30
149.40	137.30
150.00	143.70
150.60	139.30
151.20	126.20
151.80	134.00
152.40	141.90
153.00	137.50
153.60	144.10
154.20	162.40
154.80	158.20
155.40	147.30
156.00	154.90
156.60	153.60
157.20	145.70
157.80	158.60
158.40	149.10
159.00	145.40
159.60	156.20
160.20	165.20
160.80	166.10
161.40	174.90
162.00	170.40
162.60	173.40
163.20	160.90
163.80	164.80
164.40	143.10
165.00	150.30
165.60	154.80
166.20	153.00
166.80	158.90
167.40	171.60
168.00	156.70
168.60	161.30
169.20	155.60
169.80	167.90
170.40	161.40
171.00	167.10
171.60	164.10
172.20	180.90
172.80	174.80
173.40	172.50
174.00	160.50
174.60	168.10
175.20	161.90
175.80	157.10
176.40	150.10
177.00	149.80
177.60	149.90
178.20	150.50
178.80	150.80
179.40	162.90
180.00	157.70
180.60	152.70
181.20	142.10
181.80	137.60
182.40	134.30
183.00	133.30
183.60	132.80
184.20	138.00
184.80	136.10
185.40	145.80
186.00	146.00
186.60	153.00
187.20	163.70
187.80	143.40
188.40	151.20
189.00	141.90
189.60	155.10
190.20	158.60
190.80	156.60
191.40	162.60
192.00	169.70
192.60	166.20
193.20	170.60
193.80	175.80
194.40	186.10
195.00	184.40
195.60	185.10
196.20	187.00
196.80	185.50
197.40	170.10
198.00	172.30
198.60	165.50
199.20	166.40
199.80	156.60
200.40	143.10
201.00	142.50
201.60	152.70
202.20	135.20
202.80	142.70
203.40	166.00
204.00	172.00
204.60	165.00
205.20	176.20
205.80	171.10
206.40	171.80
207.00	181.40
207.60	177.30
208.20	161.70
208.80	160.60
209.40	160.40
210.00	142.90
210.60	149.90
211.20	155.60
211.80	139.00
212.40	131.40
213.00	138.60
213.60	149.30
214.20	158.30
214.80	154.90
215.40	149.30
216.00	152.30
216.60	132.20
217.20	133.80
217.80	120.50
218.40	131.80
219.00	136.00
219.60	154.30
220.20	139.10
220.80	152.80
221.40	134.90
222.00	143.40
222.60	153.00
223.20	158.50
223.80	163.40
224.40	153.20
225.00	151.50
225.60	149.90
226.20	153.80
226.80	152.30
227.40	151.60
228.00	149.20
228.60	153.70
229.20	152.20
229.80	147.80
230.40	144.50
231.00	151.00
231.60	160.40
232.20	151.90
232.80	151.40
233.40	140.40
234.00	148.10
234.60	156.10
235.20	169.80
235.80	170.50
236.40	159.60
237.00	171.20
237.60	174.40
238.20	164.00
238.80	163.00
239.40	169.80
240.00	173.10
240.60	180.80
241.20	183.70
241.80	181.90
242.40	189.80
243.00	186.00
243.60	190.10
244.20	181.40
244.80	192.90
245.40	173.60
246.00	174.00
246.60	174.60
247.20	182.10
247.80	189.70
248.40	190.30
249.00	191.70
249.60	179.80
250.20	161.70
250.80	163.40
251.40	166.20
252.00	156.70
252.60	157.90
253.20	166.30
253.80	155.90
254.40	143.30
255.00	132.40
255.60	130.00
256.20	142.40
256.80	130.50
257.40	126.80
258.00	121.30
258.60	107.30
259.20	109.50
259.80	113.40
260.40	109.00
261.00	125.40
261.60	127.00
262.20	127.90
262.80	132.10
263.40	136.50
264.00	135.60
264.60	139.70
265.20	132.80
265.80	144.60
266.40	144.30
267.00	133.60
267.60	149.50
268.20	139.30
268.80	132.40
269.40	132.70
270.00	117.50
270.60	121.70
271.20	125.70
271.80	146.00
272.40	149.60
273.00	152.80
273.60	154.50
274.20	167.50
274.80	153.10
275.40	166.60
276.00	160.20
276.60	171.20
277.20	165.80
277.80	164.10
278.40	165.70
279.00	160.30
279.60	151.30
280.20	146.90
280.80	151.90
281.40	147.70
282.00	150.10
282.60	155.90
283.20	150.10
283.80	146.90
284.40	147.80
285.00	144.60
285.60	142.20
286.20	128.50
286.80	139.70
287.40	132.50
288.00	125.60
288.60	137.40
289.20	121.10
289.80	109.50
290.40	115.20
291.00	105.70
291.60	99.70
292.20	96.30
292.80	96.30
293.40	101.30
294.00	98.70
294.60	97.00
295.20	90.40
295.80	80.60
296.40	102.00
297.00	94.30
297.60	93.50
298.20	84.00
298.80	88.70
299.40	86.80
300.00	95.30
300.60	98.60
301.20	91.30
301.80	88.40
302.40	97.90
303.00	93.80
303.60	76.50
304.20	78.20
304.80	92.40
305.40	102.20
306.00	86.30
306.60	87.10
307.20	87.40
307.80	82.30
308.40	92.90
309.00	92.70
309.60	98.70
310.20	91.00
310.80	81.60
311.40	104.60
312.00	105.80
312.60	107.30
313.20	103.60
313.80	111.00
314.40	117.90
315.00	123.40
315.60	119.60
316.20	113.10
316.80	113.00
317.40	107.70
318.00	112.40
318.60	107.10
319.20	115.20
319.80	92.20
320.40	108.90
321.00	105.20
321.60	99.60
322.20	95.00
322.80	126.40
323.40	119.20
324.00	112.00
324.60	111.60
325.20	116.80
325.80	111.40
326.40	118.20
327.00	131.40
327.60	140.70
328.20	144.20
328.80	144.70
329.40	147.00
330.00	149.90
330.60	154.50
331.20	155.90
331.80	159.20
332.40	155.60
333.00	151.00
333.60	141.20
334.20	134.40
334.80	128.90
335.40	129.60
336.00	120.60
336.60	115.00
337.20	115.30
337.80	119.70
338.40	115.60
339.00	122.80
339.60	130.20
340.20	129.20
340.80	123.60
341.40	112.90
342.00	107.60
342.60	122.20
343.20	140.20
343.80	143.40
344.40	148.20
345.00	154.10
345.60	147.30
346.20	138.90
346.80	141.80
347.40	134.00
348.00	125.40
348.60	125.60
349.20	115.80
349.80	120.40
350.40	110.20
351.00	111.50
351.60	104.60
352.20	113.60
352.80	112.90
353.40	115.20
354.00	121.10
354.60	123.50
355.20	129.30
355.80	127.10
356.40	136.20
357.00	134.10
357.60	126.20
358.20	117.10
358.80	124.40
359.40	129.40
360.00	137.60
360.60	135.80
361.20	138.80
361.80	134.20
362.40	129.50
363.00	145.20
363.60	128.10
364.20	134.20
364.80	123.40
365.40	141.50
366.00	134.60
366.60	119.10
367.20	120.10
367.80	132.20
368.40	128.60
