#time	SIM_7.5_10/
0.60	150.80
1.20	150.90
1.80	144.80
2.40	152.20
3.00	144.20
3.60	139.10
4.20	144.70
4.80	130.60
5.40	138.80
6.00	161.30
6.60	165.90
7.20	164.70
7.80	167.90
8.40	175.40
9.00	168.80
9.60	163.30
10.20	167.60
10.80	159.40
11.40	157.40
12.00	148.50
12.60	152.40
13.20	161.60
13.80	166.40
14.40	176.20
15.00	184.50
15.60	188.00
16.20	193.30
16.80	198.40
17.40	196.70
18.00	192.30
18.60	188.00
19.20	189.40
19.80	178.60
20.40	176.50
21.00	181.00
21.60	184.00
22.20	186.80
22.80	180.80
23.40	180.50
24.00	180.00
24.60	180.60
25.20	177.50
25.80	172.00
26.40	166.70
27.00	171.00
27.60	174.50
28.20	185.30
28.80	176.00
29.40	170.20
30.00	173.50
30.60	172.30
31.20	175.60
31.80	176.00
32.40	179.80
33.00	175.30
33.60	178.90
34.20	176.00
34.80	179.30
35.40	177.90
36.00	175.30
36.60	175.10
37.20	187.90
37.80	179.50
38.40	154.90
39.00	157.10
39.60	160.50
40.20	173.80
40.80	170.30
41.40	168.50
42.00	162.30
42.60	174.10
43.20	161.00
43.80	159.60
44.40	173.00
45.00	161.50
45.60	159.10
46.20	152.20
46.80	153.10
47.40	136.00
48.00	131.70
48.60	140.40
49.20	128.70
49.80	135.60
50.40	124.60
51.00	136.10
51.60	145.20
52.20	134.60
52.80	142.00
53.40	137.00
54.00	152.20
54.60	155.30
55.20	164.80
55.80	161.30
56.40	164.10
57.00	160.70
57.60	160.10
58.20	165.60
58.80	156.20
59.40	163.30
60.00	158.30
60.60	165.30
61.20	154.70
61.80	148.70
62.40	146.40
63.00	152.70
63.60	140.90
64.20	146.40
64.80	164.60
65.40	152.80
66.00	154.00
66.60	151.20
67.20	151.80
67.80	145.60
68.40	147.40
69.00	136.30
69.60	129.20
70.20	131.30
70.80	122.70
71.40	137.70
72.00	132.60
72.60	120.90
73.20	131.60
73.80	140.00
74.40	145.10
75.00	155.20
75.60	169.70
76.20	170.30
76.80	177.30
77.40	151.60
78.00	152.60
78.60	163.90
79.20	166.80
79.80	149.30
80.40	153.10
81.00	151.20
81.60	152.60
82.20	156.20
82.80	143.90
83.40	147.00
84.00	150.00
84.60	142.60
85.20	136.90
85.80	140.70
86.40	144.80
87.00	153.60
87.60	143.60
88.20	136.80
88.80	147.10
89.40	155.90
90.00	161.50
90.60	151.80
91.20	148.90
91.80	132.90
92.40	126.60
93.00	122.40
93.60	121.20
94.20	126.10
94.80	140.20
95.40	131.40
96.00	122.90
96.60	141.60
97.20	156.90
97.80	158.50
98.40	158.80
99.00	147.40
99.60	170.60
100.20	168.30
100.80	160.20
101.40	156.90
102.00	158.30
102.60	161.20
103.20	168.50
103.80	167.30
104.40	151.70
105.00	158.00
105.60	158.40
106.20	166.70
106.80	171.40
107.40	173.10
108.00	173.80
108.60	158.20
109.20	163.00
109.80	177.50
110.40	172.30
111.00	188.00
111.60	180.90
112.20	188.20
112.80	186.60
113.40	180.00
114.00	175.00
114.60	167.60
115.20	173.20
115.80	186.10
116.40	178.60
117.00	179.30
117.60	195.20
118.20	196.20
118.80	190.80
119.40	196.70
120.00	192.90
120.60	188.30
121.20	191.60
121.80	174.00
122.40	176.70
123.00	183.00
123.60	179.80
124.20	175.10
124.80	172.50
125.40	175.50
126.00	170.50
126.60	178.00
127.20	180.10
127.80	174.50
128.40	173.70
129.00	169.80
129.60	177.90
130.20	188.40
130.80	188.80
131.40	186.10
132.00	177.40
132.60	174.00
133.20	169.10
133.80	162.20
134.40	168.50
135.00	169.20
135.60	164.70
136.20	171.00
136.80	193.50
137.40	182.90
138.00	190.00
138.60	202.00
139.20	191.00
139.80	193.10
140.40	188.20
141.00	171.60
141.60	168.80
142.20	179.80
142.80	167.80
143.40	175.20
144.00	177.60
144.60	162.60
145.20	157.70
145.80	157.90
146.40	164.00
147.00	163.10
147.60	168.70
148.20	185.50
148.80	184.90
149.40	190.40
150.00	192.80
150.60	190.60
151.20	199.80
151.80	186.50
152.40	187.30
153.00	196.30
153.60	199.10
154.20	200.00
154.80	204.80
155.40	190.50
156.00	200.80
156.60	198.20
157.20	186.80
157.80	190.40
158.40	185.60
159.00	165.00
159.60	163.40
160.20	144.40
160.80	150.10
161.40	141.70
