#time	SIM_7/
0.60	223.70
1.20	223.70
1.80	236.60
2.40	231.80
3.00	235.30
3.60	233.60
4.20	241.40
4.80	238.80
5.40	244.70
6.00	252.00
6.60	249.00
7.20	257.90
7.80	247.70
8.40	243.40
9.00	245.20
9.60	254.80
10.20	247.60
10.80	249.20
11.40	249.30
12.00	245.30
12.60	244.70
13.20	240.00
13.80	252.20
14.40	240.90
15.00	243.30
15.60	243.90
16.20	246.00
16.80	246.00
17.40	250.50
18.00	241.10
18.60	243.40
19.20	234.10
19.80	235.10
20.40	224.90
21.00	235.70
21.60	241.60
22.20	248.00
22.80	241.30
23.40	244.10
24.00	249.00
24.60	242.50
25.20	247.30
25.80	235.50
26.40	238.50
27.00	236.90
27.60	250.80
28.20	241.80
28.80	241.90
29.40	245.90
30.00	238.50
30.60	247.90
31.20	256.40
31.80	253.00
32.40	245.70
33.00	244.00
33.60	242.60
34.20	243.10
34.80	240.10
35.40	239.10
36.00	235.50
36.60	235.80
37.20	243.90
37.80	237.80
38.40	232.80
39.00	236.00
39.60	224.30
40.20	236.90
40.80	246.20
41.40	235.30
42.00	243.60
42.60	238.60
43.20	244.30
43.80	247.80
44.40	233.60
45.00	244.90
45.60	234.70
46.20	229.70
46.80	233.80
47.40	230.90
48.00	233.90
48.60	225.20
49.20	235.40
49.80	242.60
50.40	241.80
51.00	239.20
51.60	227.60
52.20	238.20
52.80	239.40
53.40	237.00
54.00	234.30
54.60	220.80
55.20	228.90
55.80	236.70
56.40	232.80
57.00	239.50
57.60	240.40
58.20	238.30
58.80	236.50
59.40	229.60
60.00	231.20
60.60	229.80
61.20	237.70
61.80	235.30
62.40	224.90
63.00	235.70
63.60	232.80
64.20	237.90
64.80	232.10
65.40	225.80
66.00	231.20
66.60	231.50
67.20	229.30
67.80	224.50
68.40	231.40
69.00	237.40
69.60	240.30
70.20	239.60
70.80	245.50
71.40	240.00
72.00	227.00
72.60	233.60
73.20	241.30
73.80	244.20
74.40	244.00
75.00	234.20
75.60	236.00
76.20	237.70
76.80	234.70
77.40	241.70
78.00	249.80
78.60	242.70
79.20	237.70
79.80	241.90
80.40	235.10
81.00	234.80
81.60	222.60
82.20	233.50
82.80	228.20
83.40	227.80
84.00	232.40
84.60	236.30
85.20	233.60
85.80	231.30
86.40	236.10
87.00	232.60
87.60	232.50
88.20	238.20
88.80	237.50
89.40	234.00
90.00	238.40
90.60	246.30
91.20	243.10
91.80	238.20
92.40	240.20
93.00	238.00
93.60	248.20
94.20	245.70
94.80	244.30
95.40	233.60
96.00	239.90
96.60	244.50
97.20	233.20
97.80	236.70
98.40	235.50
99.00	230.20
99.60	233.80
100.20	233.30
100.80	233.60
101.40	236.20
102.00	240.90
102.60	234.80
103.20	243.10
103.80	246.40
104.40	238.70
105.00	240.20
105.60	242.60
106.20	248.20
106.80	246.20
107.40	238.10
108.00	238.00
108.60	222.30
109.20	231.00
109.80	235.10
110.40	226.00
111.00	227.20
111.60	230.90
112.20	231.30
