#time	SIM_9/
239.40	230.80
240.00	225.70
240.60	225.90
241.20	241.30
241.80	230.30
242.40	243.50
243.00	240.90
243.60	246.30
244.20	247.60
244.80	241.90
245.40	237.90
246.00	237.30
246.60	246.00
247.20	245.40
247.80	242.80
248.40	229.20
249.00	238.10
249.60	241.50
250.20	245.60
250.80	245.00
251.40	241.30
252.00	235.30
252.60	233.70
253.20	232.10
253.80	243.60
254.40	233.60
255.00	246.30
255.60	242.30
256.20	236.50
256.80	241.80
257.40	244.60
258.00	241.70
258.60	239.70
259.20	239.00
259.80	244.00
260.40	239.90
261.00	235.60
261.60	240.80
262.20	237.90
262.80	239.40
263.40	240.00
264.00	237.00
264.60	232.60
265.20	239.60
265.80	244.70
266.40	244.50
267.00	241.80
267.60	244.60
268.20	224.30
268.80	238.30
269.40	232.80
270.00	231.50
270.60	225.80
271.20	234.00
271.80	233.40
272.40	235.00
273.00	221.20
273.60	226.80
274.20	229.20
274.80	234.80
275.40	228.80
276.00	234.30
276.60	239.70
277.20	237.80
277.80	234.10
278.40	243.90
279.00	243.30
279.60	240.90
280.20	238.00
280.80	236.00
281.40	243.20
282.00	241.30
282.60	241.00
283.20	241.40
283.80	240.50
284.40	240.00
285.00	232.70
285.60	226.10
286.20	233.50
286.80	231.50
287.40	232.60
288.00	237.90
288.60	244.90
289.20	243.90
289.80	242.70
290.40	243.80
291.00	247.60
291.60	237.10
292.20	238.00
292.80	236.10
293.40	242.10
294.00	237.30
294.60	236.80
295.20	239.10
295.80	233.40
296.40	245.80
297.00	235.50
297.60	236.20
298.20	243.50
298.80	238.70
299.40	243.30
300.00	236.60
300.60	240.40
301.20	243.40
301.80	240.60
302.40	238.80
303.00	236.00
303.60	239.50
304.20	243.80
304.80	233.70
305.40	236.40
306.00	240.80
306.60	235.40
307.20	233.10
307.80	233.70
308.40	242.40
309.00	235.00
309.60	241.40
310.20	234.30
310.80	238.10
311.40	232.80
312.00	242.70
312.60	240.50
313.20	236.00
313.80	237.70
314.40	237.40
315.00	241.90
315.60	231.00
316.20	234.10
