#time	SIM_20/
0.60	223.70
1.20	223.70
1.80	229.20
2.40	234.50
3.00	241.60
3.60	238.20
4.20	245.20
4.80	239.10
5.40	244.40
6.00	240.80
6.60	244.90
7.20	250.90
7.80	244.60
8.40	232.60
9.00	243.00
9.60	240.60
10.20	239.60
10.80	236.30
11.40	244.30
12.00	241.30
12.60	238.70
13.20	240.50
13.80	234.10
14.40	241.90
15.00	237.70
15.60	247.20
16.20	246.60
16.80	244.60
17.40	247.20
18.00	240.10
18.60	239.50
19.20	235.00
19.80	236.30
20.40	233.40
21.00	233.20
21.60	232.10
22.20	235.00
22.80	237.00
23.40	240.90
24.00	234.10
24.60	241.90
25.20	232.00
25.80	236.60
26.40	242.80
27.00	245.60
27.60	240.80
28.20	241.60
28.80	248.10
29.40	241.20
30.00	235.90
30.60	241.20
31.20	243.80
31.80	245.00
32.40	235.30
33.00	236.00
33.60	239.40
34.20	240.60
34.80	241.70
35.40	236.90
36.00	233.00
36.60	240.20
37.20	240.50
37.80	239.40
38.40	242.90
39.00	244.80
39.60	239.80
40.20	230.60
40.80	235.10
41.40	231.10
42.00	222.40
42.60	229.20
43.20	233.20
43.80	238.80
44.40	241.40
45.00	228.90
45.60	231.90
46.20	224.60
46.80	229.10
47.40	228.70
48.00	226.40
48.60	221.50
49.20	229.30
49.80	222.90
50.40	225.70
51.00	231.40
51.60	226.20
52.20	233.90
52.80	238.00
53.40	233.70
54.00	232.80
54.60	227.90
55.20	229.10
55.80	223.30
56.40	228.70
57.00	231.00
57.60	229.20
58.20	234.40
58.80	233.10
59.40	229.60
60.00	240.30
60.60	236.50
61.20	238.00
61.80	235.50
62.40	229.50
63.00	233.40
63.60	243.40
64.20	239.30
64.80	241.10
65.40	234.00
66.00	229.60
66.60	228.50
67.20	232.60
67.80	239.20
68.40	233.90
69.00	237.80
69.60	239.50
70.20	233.20
70.80	234.70
71.40	230.10
72.00	232.40
72.60	232.40
73.20	243.60
73.80	235.30
74.40	236.50
75.00	243.90
75.60	240.80
76.20	245.80
76.80	249.40
77.40	245.00
78.00	251.10
78.60	242.60
79.20	247.50
79.80	249.10
80.40	243.40
81.00	240.20
81.60	241.60
82.20	243.20
82.80	240.00
83.40	242.80
84.00	240.20
84.60	242.00
85.20	238.00
85.80	234.60
86.40	238.90
87.00	239.30
87.60	234.40
88.20	241.40
88.80	236.20
89.40	243.20
90.00	247.60
90.60	249.10
91.20	235.80
91.80	239.70
92.40	241.40
93.00	246.00
93.60	224.70
94.20	236.50
94.80	230.30
95.40	231.20
96.00	232.70
96.60	225.40
97.20	232.70
97.80	233.30
98.40	235.30
99.00	229.50
99.60	224.40
100.20	233.30
100.80	226.80
101.40	234.20
102.00	238.80
102.60	240.60
103.20	241.20
103.80	235.20
104.40	238.00
105.00	236.20
105.60	240.70
106.20	243.60
106.80	240.40
107.40	223.70
108.00	228.20
108.60	227.30
109.20	234.30
109.80	220.70
110.40	232.90
111.00	235.90
111.60	236.80
112.20	233.20
