0.000000E+00	4.080633E+06	4.080615E+06	4.080664E+06	4.080620E+06
3.030303E-02	2.038292E+06	2.038359E+06	2.038336E+06	2.038182E+06
6.060606E-02	5.043047E+06	5.042966E+06	5.042983E+06	5.043194E+06
9.090909E-02	3.225830E+06	3.225917E+06	3.225960E+06	3.225615E+06
1.212121E-01	4.702915E+06	4.702724E+06	4.702713E+06	4.703309E+06
1.515152E-01	4.297517E+06	4.296757E+06	4.296729E+06	4.299065E+06
1.818182E-01	2.251913E+06	2.252241E+06	2.252257E+06	2.251242E+06
2.121212E-01	2.653417E+06	2.655183E+06	2.655111E+06	2.649956E+06
2.424242E-01	4.670314E+06	4.663912E+06	4.664033E+06	4.682998E+06
2.727273E-01	4.310685E+06	4.311668E+06	4.311672E+06	4.308715E+06
3.030303E-01	-1.631708E+06	-1.540576E+06	-1.542814E+06	-1.811733E+06
3.333333E-01	-9.368543E+06	-8.301212E+06	-8.273553E+06	-1.153086E+07
3.636364E-01	-2.023596E+07	-1.636578E+07	-1.638082E+07	-2.796129E+07
3.939394E-01	-1.987655E+07	-2.136963E+07	-2.102670E+07	-1.723332E+07
4.242424E-01	3.531732E+06	1.981197E+06	2.591944E+06	6.022056E+06
4.545455E-01	1.362779E+07	1.238024E+07	1.263599E+07	1.586714E+07
4.848485E-01	1.587243E+07	1.503087E+07	1.502412E+07	1.756230E+07
5.151515E-01	4.501245E+07	4.400574E+07	4.400740E+07	4.702421E+07
5.454545E-01	1.426564E+07	4.256605E+06	4.325715E+06	3.421460E+07
5.757576E-01	-3.260770E+07	-4.129030E+07	-4.141178E+07	-1.512103E+07
6.060606E-01	-5.257076E+07	-4.320655E+07	-4.259186E+07	-7.191387E+07
6.363636E-01	-3.104316E+07	-1.949013E+07	-1.983129E+07	-5.380805E+07
6.666667E-01	8.516927E+06	8.173091E+06	8.088860E+06	9.288830E+06
6.969697E-01	8.739648E+06	6.845555E+06	6.893564E+06	1.247983E+07
7.272727E-01	5.274728E+06	5.189272E+06	5.193689E+06	5.441221E+06
7.575758E-01	5.997361E+06	5.999271E+06	5.999313E+06	5.993498E+06
7.878788E-01	2.903840E+06	2.903023E+06	2.902975E+06	2.905522E+06
8.181818E-01	5.346114E+06	5.346463E+06	5.346470E+06	5.345408E+06
8.484848E-01	2.831645E+06	2.831380E+06	2.831381E+06	2.832175E+06
8.787879E-01	5.130182E+06	5.130263E+06	5.130252E+06	5.130032E+06
9.090909E-01	2.682096E+06	2.681952E+06	2.681955E+06	2.682381E+06
9.393939E-01	1.141765E+06	1.141655E+06	1.141629E+06	1.142011E+06
9.696970E-01	4.080633E+06	4.080615E+06	4.080664E+06	4.080620E+06
