#	SIM_20_0.05_-0		#	SIM_20_0.05_-10		#	SIM_20_0.05_-15		#	SIM_20_0.05_-2		#	SIM_20_0.05_-4		#	SIM_20_0.05_-5		#	SIM_20_0.05_-6		#	SIM_20_0.05_-7		#	SIM_20_0.05_-8		#	SIM_20_0.05_-9	
1	2745459.06386763	1	22297074.8118729	1	32003299.5633424	1	6526541.06141081	1	10547330.1887341	1	12497822.9325334	1	14448325.6614824	1	16445285.2873118	1	18349361.0750608	1	20299893.7598071
2500	4155447.58832601	2500	17938174.1719474	2500	24339218.7379155	2500	5436223.81217151	2500	10552182.9632498	2500	12016667.3784513	2500	13438255.5628193	2500	14041421.7299092	2500	16178153.4940959	2500	17462045.7471702
5000	3211635.73320305	5000	16203277.1365623	5000	22451044.5627230	5000	6973420.31066546	5000	9229708.71618887	5000	10617770.5692199	5000	12042207.8693113	5000	12529067.9024239	5000	14629272.8184378	5000	15845669.1160481
7500	3305185.36442401	7500	16701635.8584292	7500	22591615.3753244	7500	7190393.77846440	7500	9594848.33592698	7500	11071197.2858030	7500	12489259.6636055	7500	13054363.8789213	7500	14886504.9227505	7500	16066310.2271712
10000	3087035.25461609	10000	17306032.7034526	10000	22661025.2274909	10000	5541310.10392083	10000	9389201.20158015	10000	10790434.9239902	10000	12136674.0860015	10000	13681431.9817305	10000	14786420.2362540	10000	15937216.0234100
12500	2652475.89304107	12500	16741888.5050107	12500	21623043.6717611	12500	6451244.62934983	12500	8977418.65447552	12500	10305591.4184271	12500	11455718.8192592	12500	13069596.2854485	12500	14007999.3247753	12500	15110928.2630215
15000	3560794.96937504	15000	16741161.0617115	15000	22861148.9823377	15000	6741468.24962299	15000	9997731.32460870	15000	11523632.1248855	15000	12945149.7842770	15000	13034077.2779271	15000	15303783.1064027	15000	16552076.6543573
17500	3487871.49604145	17500	16319945.7128624	17500	22302980.1204421	17500	5814300.98913755	17500	9386105.35815206	17500	10453617.6826589	17500	11938144.1299939	17500	12402689.1834652	17500	14433565.1028104	17500	15759533.8950473
20000	3573698.18563152	20000	16528503.0972401	20000	22577510.6951291	20000	6957476.51277879	20000	9958916.77299537	20000	11420137.6961409	20000	12848678.2163274	20000	12956620.1825545	20000	15168288.4766025	20000	16341191.0097294
22500	3016350.91308167	22500	16831817.4217309	22500	21850098.3896740	22500	6493821.34426083	22500	9453445.11339224	22500	10751274.7334086	22500	12231169.6649530	22500	13233558.4780888	22500	14675662.3494231	22500	15941091.7509609
25000	3001652.09559850	25000	16430574.4068507	25000	21850443.3562382	25000	5796617.24441294	25000	8976787.37450458	25000	10482028.5446520	25000	11816291.5153923	25000	13036713.3657621	25000	14291392.5065057	25000	15546418.0829966
27500	3920965.05110037	27500	15802027.8128535	27500	22540485.1813287	27500	4878560.52761369	27500	9050579.78050946	27500	10208064.8659888	27500	11751204.3846283	27500	11912843.6931400	27500	14629248.7807943	27500	15887012.8144016
30000	3307210.76098123	30000	16310345.0338173	30000	22436259.3642930	30000	5918840.97019685	30000	9309083.08747398	30000	11044220.9286243	30000	12635534.8327029	30000	13201769.6464310	30000	14540437.5878527	30000	15732707.2017513
32500	3633137.15726939	32500	17011791.6296259	32500	22696864.9656439	32500	5329472.71514611	32500	9662477.88706316	32500	11294809.6523360	32500	12473444.2873954	32500	13387163.6211043	32500	14936451.8390654	32500	16316097.2406338
35000	2139692.85603110	35000	17023012.4755001	35000	20889558.8900783	35000	5425405.19891002	35000	8372292.15483870	35000	9224350.39497940	35000	10864175.9576589	35000	13373837.8996396	35000	13199852.1419126	35000	14290671.0218799
37500	3583375.98523595	37500	17156285.7929727	37500	22733280.8528430	37500	6111653.79487362	37500	10063488.5726634	37500	11486902.0945581	37500	12339251.9748116	37500	13193956.6477517	37500	15071068.8987947	37500	16345896.2024159
40000	3684612.15853712	40000	17408711.3471295	40000	22625774.8983515	40000	6331601.72503683	40000	9916067.15441741	40000	11628396.3555321	40000	12305020.0201210	40000	13809149.8322079	40000	15316832.1784533	40000	16121628.2924352
42500	3590909.75641718	42500	16861530.2161346	42500	22202977.2594771	42500	6229360.13453886	42500	9588597.34034713	42500	11116479.8372490	42500	12066603.2841004	42500	13064548.6993853	42500	14461562.5997955	42500	15717923.1084782
45000	3598556.82467240	45000	15754993.8677125	45000	22773475.9470174	45000	6748866.79246949	45000	9435264.14715311	45000	11089209.9369163	45000	12257242.7596964	45000	12438915.8648161	45000	14757117.8723206	45000	15904561.2136023
47500	2110946.63684311	47500	15616131.9870722	47500	21472294.1954496	47500	6869749.08195510	47500	8324643.98074091	47500	10226373.4235973	47500	11232510.0477740	47500	12158274.6724653	47500	13550136.7016847	47500	14942375.5490291
50000	2732523.13083318	50000	16971308.7814891	50000	21714857.6671598	50000	6012274.58126338	50000	8481329.66045132	50000	10305576.8747616	50000	11732104.6523444	50000	13568573.7794420	50000	14238748.0493905	50000	15166161.5118585
52500	3005945.70213844	52500	16522606.6429212	52500	21504739.8174847	52500	6728824.59387541	52500	8996151.83035945	52500	10595548.1960070	52500	11640085.5448545	52500	12591486.4016697	52500	14544064.4506687	52500	15749362.9464926
55000	1831460.09027088	55000	16568865.7167014	55000	20723770.4403608	55000	5760226.48732111	55000	8077355.59442493	55000	9821970.45331975	55000	10628751.2280511	55000	12992424.8452995	55000	13759261.6960415	55000	14612079.3397231
57500	2564663.45261991	57500	16564876.0739848	57500	20800271.1303489	57500	6718952.64245686	57500	8590046.49867455	57500	10157690.5395336	57500	11932467.9397485	57500	13120168.7225086	57500	13762462.2154321	57500	15431610.1803444
60000	3096310.33660326	60000	17591872.3465289	60000	22232519.6550223	60000	6613973.19336745	60000	9403982.92616102	60000	10875219.2377638	60000	12466583.8479926	60000	13903178.1298268	60000	14791170.7034037	60000	16081544.8501254
62500	2987590.45680811	62500	16273017.4626357	62500	21806475.0285186	62500	5583636.71939926	62500	8976079.84324721	62500	10292584.1753728	62500	11814497.7915851	62500	13268115.6249225	62500	14443070.4530906	62500	15353525.2167998
65000	2763656.64711348	65000	16186610.1351539	65000	21424260.8534536	65000	5394884.07129629	65000	8457800.60385350	65000	10006137.8967884	65000	10987422.5243704	65000	12639143.8783116	65000	13412505.9876766	65000	14685443.8335256
67500	2385526.67574567	67500	16351433.3516483	67500	21929157.3867174	67500	5582954.31752611	67500	9063999.72202542	67500	10124983.5223403	67500	11506983.1890810	67500	13134728.1582641	67500	14263710.5359257	67500	15286500.9496096
70000	3879429.34706699	70000	16484845.8040751	70000	22447285.8487619	70000	5694711.40367666	70000	9709632.90817243	70000	10836669.1480955	70000	12375251.8712002	70000	12681585.7488802	70000	15268090.5228157	70000	16171638.7372334
72500	1466576.74732983	72500	17428121.8196197	72500	20968126.7383310	72500	6214257.61953002	72500	7530931.93901489	72500	9193862.67423037	72500	10533887.3181733	72500	13617574.7778888	72500	13048837.0198652	72500	14430522.7920328
75000	2340352.74898929	75000	15483195.6636622	75000	21407066.3682121	75000	5205225.62240246	75000	8571412.02831866	75000	10239267.8940740	75000	11096545.0603334	75000	11905712.5278891	75000	13551769.5520878	75000	14979397.9784332
77500	2735624.07477102	77500	15542270.1342009	77500	21651345.8914412	77500	4761519.34767032	77500	8329422.72248717	77500	9728105.58854457	77500	11172873.1284284	77500	11663508.4330306	77500	14407778.8383126	77500	15115264.3692600
80000	1992887.64710876	80000	16275802.8883299	80000	21223090.2895161	80000	6641474.95780707	80000	7567998.21960308	80000	9577571.75162881	80000	11005370.0625726	80000	12419955.8248912	80000	13501030.0933094	80000	14618671.3776815
82500	1729756.07955401	82500	15821317.9485880	82500	20679636.6037620	82500	6578206.51134488	82500	8101300.79745266	82500	9389774.62981871	82500	10719400.8092867	82500	12637104.6491869	82500	13216747.3026273	82500	14269072.2020543
85000	2605091.78921372	85000	16427546.8269371	85000	20923463.7721338	85000	6434334.83677654	85000	8618693.89390086	85000	10207140.0989096	85000	11153887.6474808	85000	13009786.5260323	85000	13615300.5596070	85000	15266722.8808100
87500	2631834.88419009	87500	16979178.4431324	87500	21363480.2285944	87500	6498623.27645639	87500	8327571.82431998	87500	9889848.87748767	87500	11417258.1839074	87500	12857743.4804049	87500	13777993.9321250	87500	15248488.4403394
90000	2173913.45812896	90000	16128063.4480267	90000	21555384.1689898	90000	5764975.48811219	90000	8627689.96890064	90000	9903726.34147716	90000	11066361.0927584	90000	12541752.3645211	90000	13613096.8356740	90000	14828267.6883413
92500	2488415.25624051	92500	16670931.0340791	92500	21991014.4416008	92500	5881601.60817191	92500	8820826.17634066	92500	9919351.44389689	92500	12035429.8703386	92500	14079638.6378634	92500	13872049.8076738	92500	14944503.5153298
95000	2906826.36668293	95000	17170457.6480344	95000	21348210.0561623	95000	5901162.02648212	95000	8650487.00377532	95000	9993548.23570075	95000	10808055.0561781	95000	13054549.6313028	95000	13970196.9488159	95000	15092520.9781064
97500	2659177.84724701	97500	16687764.8381047	97500	21217244.5919934	97500	7106631.64016625	97500	8810918.21941853	97500	10150711.3419489	97500	11358907.9674497	97500	13268993.8577593	97500	13842066.0378069	97500	15726398.7692911
100000	3043850.97229018	100000	16771356.6672656	100000	21728770.1840512	100000	5711076.46547240	100000	9014093.07051951	100000	10291443.1749558	100000	11905893.3507638	100000	12936938.2311986	100000	13945455.5105422	100000	15253200.9314599
102500	3083573.40692607	102500	16593954.1461808	102500	22844000.9137565	102500	5693826.73955088	102500	9453779.18448803	102500	11124054.5696672	102500	12431577.2564385	102500	12396144.1737045	102500	14547084.7226985	102500	16268138.8607998
105000	2462243.72237751	105000	17249585.1157441	105000	21757680.1219901	105000	5690659.41015396	105000	8381715.05333367	105000	10165570.2954348	105000	11452684.6192715	105000	13317434.2085588	105000	13748370.1792332	105000	15313719.8449232
