#	SIM_0		#	SIM_-10		#	SIM_10		#	SIM_15		#	SIM_20		#	SIM_25		#	SIM_30		#	SIM_-5		#	SIM_5	
1	179507831.304076	1	146046820.367780	1	188656074.135166	1	184826338.259644	1	185917658.426017	1	184365391.926443	1	185043663.099253	1	162973127.061078	1	191694757.403975
10000	178570362.563912	10000	145391938.561169	10000	187893465.984758	10000	183747724.641367	10000	185761830.865427	10000	184662670.753506	10000	184286719.619845	10000	162948001.685457	10000	192692528.283129
20000	179024933.964564	20000	145242173.946752	20000	188795272.769200	20000	184956277.387874	20000	185284262.935607	20000	183688398.976720	20000	185256992.883256	20000	163682316.386734	20000	192855705.128953
30000	179263212.666803	30000	146022999.242770	30000	188236961.123118	30000	185379421.105818	30000	185946892.490850	30000	183773941.039740	30000	186256613.129844	30000	162332971.476991	30000	193625945.093472
40000	177752016.256699	40000	145630892.464480	40000	188419899.748290	40000	185830158.807470	40000	186246504.245965	40000	183120222.512384	40000	185592362.436924	40000	161520434.255097	40000	192865465.495865
50000	179068353.721247	50000	146244898.507137	50000	188534989.898628	50000	185195081.526686	50000	186556353.903513	50000	183830154.684946	50000	186201445.398065	50000	162610600.869418	50000	192100404.493571
60000	178285622.430910	60000	145648460.454397	60000	188442392.307427	60000	184577738.200814	60000	185795623.821934	60000	183737703.408173	60000	184951665.137694	60000	162273527.409919	60000	193614366.662651
70000	177423126.843702	70000	146617205.256539	70000	188438914.461748	70000	183261522.982612	70000	185692598.365023	70000	183528164.058188	70000	185320178.417160	70000	163345135.753003	70000	192687748.535904
80000	178274917.364188	80000	145871438.674124	80000	188085761.791920	80000	185533079.382694	80000	186635854.392852	80000	183875234.922141	80000	185277784.784440	80000	161899217.370821	80000	192270235.517968
90000	179231798.872259	90000	147357579.158123	90000	189156836.271786	90000	184079677.937452	90000	185536473.176074	90000	183058041.231488	90000	185929814.028439	90000	162425229.194704	90000	193627611.644411
100000	177750424.693606	100000	146448647.250838	100000	187783923.372666	100000	184322559.543312	100000	185707318.625666	100000	183455216.472386	100000	185792037.845465	100000	162005428.511386	100000	192398104.234356
110000	178955217.190384	110000	146055408.709671	110000	188231466.385615	110000	184954927.239319	110000	186420611.948574	110000	183329426.362866	110000	185816578.639398	110000	163273556.819986	110000	192556417.959657
120000	178665408.450040	120000	145323454.903963	120000	189083990.137618	120000	185584046.328057	120000	185055792.996409	120000	182639463.419029	120000	185437323.606965	120000	162328762.973535	120000	194073415.563128
130000	179232098.694908	130000	147267671.269858	130000	188838442.909553	130000	185613286.539662	130000	185770528.646172	130000	184763830.363536	130000	186376160.745039	130000	162558829.716247	130000	192818037.967685
140000	178246331.628343	140000	144573343.323363	140000	188568983.352930	140000	184990665.117118	140000	185156274.242016	140000	183892557.229092	140000	183493446.556199	140000	162805009.747759	140000	191969191.637079
150000	179534881.712575	150000	145659944.713422	150000	187264745.416311	150000	185486161.267354	150000	184892671.905075	150000	183396855.393949	150000	184875747.512037	150000	162392493.518268	150000	193240759.256573
