#	SIM_0		#	SIM_-10		#	SIM_10		#	SIM_15		#	SIM_20		#	SIM_25		#	SIM_30		#	SIM_-5		#	SIM_5	
1	178813071.306747	1	145907512.957898	1	188970406.177420	1	185037865.411285	1	185909720.003739	1	183986067.239486	1	185474217.218438	1	162778224.749400	1	192496014.075090
10000	178765192.522192	10000	145598685.140292	10000	187829512.613050	10000	184563570.042631	10000	186059719.469834	10000	183839069.187782	10000	185383937.815248	10000	162901126.813074	10000	192988095.325614
20000	178883818.625749	20000	146032742.426160	20000	188339911.241392	20000	185159424.944017	20000	185480319.790958	20000	183623623.160375	20000	185620764.857420	20000	162551901.828201	20000	193051950.001669
30000	179308522.813409	30000	146047083.435955	30000	188308370.782654	30000	184683456.120802	30000	185533018.771410	30000	183737206.570257	30000	185653834.495942	30000	162359456.911847	30000	193436996.124214
40000	178755128.137501	40000	146242210.911144	40000	187960468.713865	40000	185775960.567430	40000	186201344.511613	40000	183468102.320257	40000	186088482.882897	40000	162122664.084836	40000	192653783.813876
50000	179094905.399128	50000	146456641.367929	50000	188784474.094117	50000	185045130.120783	50000	186334571.268347	50000	183608476.434034	50000	186069453.869168	50000	163096973.328079	50000	193099790.409337
60000	178524633.903523	60000	146047838.414423	60000	188904921.908394	60000	185120274.271020	60000	185980474.212945	60000	183466021.271573	60000	185328250.442488	60000	162306596.296746	60000	193383455.548569
70000	178067785.240878	70000	146353184.977090	70000	189168536.025570	70000	184464225.852255	70000	185360291.908709	70000	184320643.034095	70000	185442826.860502	70000	162869528.608197	70000	193247387.620635
80000	178706775.956628	80000	145885037.857448	80000	188534671.806994	80000	185302371.712791	80000	186094866.347367	80000	183709906.038114	80000	185540416.756736	80000	162644128.593869	80000	193100892.091386
90000	178645365.321993	90000	146338640.328507	90000	189205230.567302	90000	184669663.508048	90000	185678590.849996	90000	183530533.079606	90000	185844593.141186	90000	161943004.289662	90000	193376275.364790
100000	178276567.212250	100000	146158122.568814	100000	188319041.656122	100000	184806153.897140	100000	185873503.246733	100000	184008185.589698	100000	185892350.140188	100000	162203095.931421	100000	192467107.398390
110000	179125241.400761	110000	145839107.821961	110000	188631521.283398	110000	185005249.896714	110000	185912259.756716	110000	183927016.028472	110000	185694204.717974	110000	162718099.620438	110000	192980860.301835
120000	178646972.602523	120000	145589665.689882	120000	188635345.861558	120000	185601411.425299	120000	186111099.915585	120000	182941618.934819	120000	185926170.580673	120000	162670746.335690	120000	193574262.578261
130000	178450094.269919	130000	146217348.939150	130000	188984078.244213	130000	184700202.583541	130000	185961876.484840	130000	183888965.657017	130000	185556211.973465	130000	162403531.153731	130000	192476922.058751
140000	178384762.470573	140000	145782020.524232	140000	188549598.030585	140000	184929267.817001	140000	185891950.443012	140000	183559560.446919	140000	184971192.704517	140000	162868642.707886	140000	192215327.697756
150000	179308325.573531	150000	145867267.866883	150000	187692224.236851	150000	185072180.570816	150000	185377545.354018	150000	183979779.549295	150000	185968129.114116	150000	162393990.842301	150000	193477583.485203
160000	179012163.515715	160000	146387756.203484	160000	189512849.610798	160000	184990460.486839	160000	185458954.564179	160000	183001241.316764	160000	185082216.748908	160000	163035794.677557	160000	193108383.558532
170000	178407395.066664	170000	146670105.833170	170000	189247095.201792	170000	185322270.855512	170000	186164860.083926	170000	183709772.761513	170000	186625233.703520	170000	163092414.927518	170000	193766756.699287
180000	178785022.647897	180000	146167388.667915	180000	189265687.231720	180000	184981707.425041	180000	185740681.390011	180000	184094512.790993	180000	186280662.585496	180000	162917786.004874	180000	193022767.508416
