#	SIM_0.03_20		#	SIM_0.05_20		#	SIM_0.10_20	
1	1095.42652093617	1	1095.42652093617	1	1095.42652093617
100	1092.16602288487	100	1093.55231632806	100	1094.59279075495
200	1088.54407170679	200	1091.21847105001	200	1093.31722227116
300	1085.06307646486	300	1088.90926572425	300	1092.02012721598
400	1081.73587646699	400	1086.67031043671	400	1090.72019871627
500	1078.53211705600	500	1084.48403886070	500	1089.44279156721
600	1075.46224635303	600	1082.36095746426	600	1088.18314280286
700	1072.51792964760	700	1080.29333190912	700	1086.94745502346
800	1069.67569996725	800	1078.30782781773	800	1085.73681361279
900	1066.97692397180	900	1076.35419135039	900	1084.50803986779
1000	1064.38183931856	1000	1074.44464734043	1000	1083.31011371289
1100	1061.89525354914	1100	1072.58344945326	1100	1082.13040642931
1200	1059.50371427713	1200	1070.77178501751	1200	1080.96496723369
1300	1057.21141572563	1300	1069.01051600335	1300	1079.83537559972
1400	1054.98556378838	1400	1067.29116544362	1400	1078.72671784672
1500	1052.85978226810	1500	1065.61518479457	1500	1077.63948138087
1600	1050.81834411713	1600	1063.97241866463	1600	1076.55424556464
1700	1048.85510142944	1700	1062.38016700990	1700	1075.48145225776
1800	1046.95010029511	1800	1060.83142377127	1800	1074.43729610574
1900	1045.13535307633	1900	1059.30262381021	1900	1073.38514460863
2000	1043.39940703687	2000	1057.83261898288	2000	1072.36332334416
2100	1041.71357492723	2100	1056.39898553657	2100	1071.35145580654
2200	1040.07868731069	2200	1055.01194591082	2200	1070.34778188684
2300	1038.53223317398	2300	1053.63853437577	2300	1069.35682971109
2400	1037.03188604896	2400	1052.31204488550	2400	1068.36719461232
2500	1035.57370193851	2500	1051.01756467758	2500	1067.40726068409
2600	1034.17943806331	2600	1049.75499633547	2600	1066.47994394331
2700	1032.84032502742	2700	1048.53281861349	2700	1065.56698058085
2800	1031.54534589578	2800	1047.31385878943	2800	1064.65990867734
2900	1030.31414540062	2900	1046.12620685731	2900	1063.75242114104
3000	1029.11883974259	3000	1044.98849842753	3000	1062.88342779975
3100	1027.95377710397	3100	1043.87484850250	3100	1062.01312553985
3200	1026.85510870066	3200	1042.77455700200	3200	1061.14152596219
3300	1025.77276763944	3300	1041.70650890878	3300	1060.29335497272
3400	1024.72332323441	3400	1040.64505405237	3400	1059.45390723294
3500	1023.70945917755	3500	1039.62467956567	3500	1058.62694066265
3600	1022.73945027507	3600	1038.62205946277	3600	1057.82654808243
3700	1021.79988846382	3700	1037.64495825269	3700	1057.03499968718
3800	1020.89733552140	3800	1036.69532134557	3800	1056.23978662527
3900	1020.05326389330	3900	1035.78158706611	3900	1055.47093034903
4000	1019.22918777913	4000	1034.88675459510	4000	1054.70598331570
4100	1018.43415417519	4100	1034.01493601767	4100	1053.94130607229
4200	1017.65907165643	4200	1033.15758358752	4200	1053.18179878084
4300	1016.91373657873	4300	1032.31563197045	4300	1052.43808691850
4400	1016.19841301632	4400	1031.48189321187	4400	1051.69783963270
4500	1015.49662018987	4500	1030.68364480877	4500	1050.95720101976
4600	1014.82216059797	4600	1029.90389951398	4600	1050.24631239448
4700	1014.18249466072	4700	1029.13769485204	4700	1049.55158549051
4800	1013.56273872100	4800	1028.39165230695	4800	1048.86596605663
4900	1012.96364291575	4900	1027.66780807729	4900	1048.18724338577
5000	1012.39568259984	5000	1026.93506007769	5000	1047.50985754904
5100	1011.83228861360	5100	1026.22659367964	5100	1046.84119490989
5200	1011.28447789576	5200	1025.55192644578	5200	1046.18951115444
5300	1010.75249041408	5300	1024.87099163910	5300	1045.53716990438
5400	1010.25129477688	5400	1024.19556948436	5400	1044.89131629913
5500	1009.75333458756	5500	1023.53890433928	5500	1044.26600240364
5600	1009.29478147381	5600	1022.89049952959	5600	1043.64554994970
5700	1008.84198319513	5700	1022.27287771716	5700	1043.02733573507
5800	1008.39655710905	5800	1021.66905438765	5800	1042.42993940210
5900	1007.96971100555	5900	1021.08115949773	5900	1041.85123224622
6000	1007.55787220755	6000	1020.51323526912	6000	1041.25119666697
6100	1007.16372734462	6100	1019.95187855292	6100	1040.68246431673
6200	1006.78330418678	6200	1019.42118468940	6200	1040.10581087642
6300	1006.40698366495	6300	1018.91128992877	6300	1039.55211109133
6400	1006.05280018716	6400	1018.40678821777	6400	1039.00024703247
6500	1005.70658675743	6500	1017.90224763478	6500	1038.43029756316
6600	1005.37465911167	6600	1017.40208439380	6600	1037.87670315075
6700	1005.05734620682	6700	1016.90245088120	6700	1037.33913892207
6800	1004.73869407495	6800	1016.43200595475	6800	1036.82455383442
6900	1004.43596221492	6900	1015.97455562120	6900	1036.32174513219
7000	1004.14342264134	7000	1015.54431112111	7000	1035.82335156632
7100	1003.85198048099	7100	1015.09951255702	7100	1035.32695331127
7200	1003.56720572344	7200	1014.65850424213	7200	1034.84352045484
7300	1003.29451307589	7300	1014.24042064055	7300	1034.35493119830
7400	1003.02995718241	7400	1013.84586893365	7400	1033.86817376831
7500	1002.79656321793	7500	1013.44413752129	7500	1033.38922815201
7600	1002.56513497956	7600	1013.05717034661	7600	1032.91639151777
7700	1002.34346945999	7700	1012.65805624995	7700	1032.45573060206
7800	1002.12194664301	7800	1012.28410681371	7800	1031.98724598756
7900	1001.90588908538	7900	1011.90590765028	7900	1031.53270458880
8000	1001.69195740971	8000	1011.54120722304	8000	1031.08402180308
8100	1001.50083427697	8100	1011.16924632612	8100	1030.64058807021
8200	1001.30064308504	8200	1010.82122030823	8200	1030.18445715197
8300	1001.12282570555	8300	1010.47789398583	8300	1029.74329648901
