#	SIM_0		#	SIM_-10		#	SIM_-12		#	SIM_-15		#	SIM_-2		#	SIM_-4		#	SIM_-5		#	SIM_-6		#	SIM_-7		#	SIM_-8		#	SIM_-9	
1	175983768.993390	1	190680506.145345	1	192382927.275965	1	193134443.871855	1	181601874.391120	1	182092789.579838	1	185854249.550298	1	185248245.646485	1	187777164.195928	1	187579941.727691	1	189084264.539145
500	174131805.690182	500	188485639.482956	500	191088198.967075	500	190762347.424815	500	179532303.484410	500	181549275.998565	500	184306734.258724	500	185845848.356570	500	185240206.169051	500	185958999.426504	500	189487355.501408
1000	175459472.110031	1000	189959690.576870	1000	191466815.734979	1000	193630811.500771	1000	179214022.791857	1000	183307715.427397	1000	185440253.686045	1000	186336785.909679	1000	187414617.993952	1000	187645235.236191	1000	189670197.758389
1500	176187844.814814	1500	190215155.210372	1500	191677247.230399	1500	193299866.706038	1500	178935663.620929	1500	182298812.889687	1500	184957024.082817	1500	184222603.297466	1500	185668743.739634	1500	187512777.006541	1500	188223950.861599
2000	174117709.026586	2000	189746910.806685	2000	191222269.682102	2000	191588392.871174	2000	179513758.431371	2000	183278238.916611	2000	185248172.700769	2000	185601557.666402	2000	187488586.302931	2000	188148652.130754	2000	190030366.999672
2500	174445732.180025	2500	189657392.713271	2500	191012838.164615	2500	191677269.508094	2500	178647328.207624	2500	183640264.422975	2500	183244195.673640	2500	186022980.120216	2500	185946441.099057	2500	188268798.130284	2500	189731092.619450
3000	174956592.000994	3000	189517716.536350	3000	191164604.477478	3000	191344603.088642	3000	179138390.378685	3000	182939875.207671	3000	184581281.099473	3000	186454518.387034	3000	187457525.942720	3000	188859049.545799	3000	188697941.675998
3500	174706967.263445	3500	190716080.204251	3500	190363746.808871	3500	190956386.172149	3500	179063603.230513	3500	181809528.839904	3500	184627866.469789	3500	184602728.500692	3500	185534280.658527	3500	188731264.309991	3500	190038798.996134
4000	173292843.242257	4000	190559004.340476	4000	191119395.150661	4000	191522083.060106	4000	179038779.100470	4000	182652654.028487	4000	183776293.872426	4000	185757763.533752	4000	187385455.026405	4000	188250708.373929	4000	190717737.281554
4500	176517164.148287	4500	190441407.497441	4500	191352935.603316	4500	192637126.832610	4500	179674524.311856	4500	181740666.484831	4500	182466274.591518	4500	186130173.333989	4500	186089347.524085	4500	188285493.696630	4500	189337293.764970
5000	175102976.396998	5000	189902288.771872	5000	190055348.138905	5000	192385712.485603	5000	178592771.774393	5000	183193238.418875	5000	182842255.859931	5000	186113754.304605	5000	186468173.312383	5000	189436331.846345	5000	188314512.713877
5500	176616759.600754	5500	190238691.861513	5500	190691900.940659	5500	191133864.067426	5500	178907136.802554	5500	182398349.651957	5500	183731750.083565	5500	185018087.531423	5500	186418871.486379	5500	188007394.174503	5500	189324949.957759
6000	174821882.471692	6000	190179968.347030	6000	191061338.723931	6000	191748087.383592	6000	178976298.061737	6000	181268069.072731	6000	183527084.656056	6000	185365641.784590	6000	186724807.057248	6000	187445158.781452	6000	189406251.923064
6500	174018500.378688	6500	189571723.094934	6500	190943151.064253	6500	191770381.722904	6500	179890054.233941	6500	183059016.355812	6500	185190703.139746	6500	183874416.711969	6500	187274937.128241	6500	187284468.000643	6500	190269527.143039
7000	174377961.638476	7000	190315028.415479	7000	191069299.329846	7000	193051676.121453	7000	179552255.890430	7000	183697927.034505	7000	186012225.756727	7000	185331225.484787	7000	187976179.378257	7000	189910795.722963	7000	189137049.342620
7500	175331936.062498	7500	188700100.512731	7500	191189022.203671	7500	191858743.053807	7500	177813242.883682	7500	181451617.444442	7500	184639672.142371	7500	186144016.646140	7500	186045019.665323	7500	188270909.095215	7500	189969084.864488
8000	175388487.649234	8000	189298803.467346	8000	192887555.193064	8000	192959951.263689	8000	180105202.655597	8000	182703003.107531	8000	183696112.477468	8000	184863543.094196	8000	188025230.167371	8000	188064099.897857	8000	189233607.514839
8500	175004663.952222	8500	187574716.404563	8500	191234792.150384	8500	190819512.684281	8500	177498910.865724	8500	182651686.663731	8500	183637728.441230	8500	184560957.219846	8500	187064668.791150	8500	188370838.506211	8500	189029199.893751
9000	175468216.757536	9000	189237788.512638	9000	191898753.129302	9000	192026189.694801	9000	178893976.036204	9000	182079596.374294	9000	185315629.984066	9000	185679853.623331	9000	185219748.076697	9000	188833600.033320	9000	189818849.568469
9500	176167734.854812	9500	189926829.588630	9500	189726349.893695	9500	192711202.330316	9500	178961290.713294	9500	183858732.899225	9500	184592793.528522	9500	186478314.954024	9500	185974009.190475	9500	187578982.975414	9500	188263227.551994
10000	176010748.724839	10000	191068811.394079	10000	191139867.752092	10000	193373460.805420	10000	178994339.995878	10000	183181981.878668	10000	184775312.054065	10000	186408107.897306	10000	186786026.699292	10000	187800281.455612	10000	188942378.733914
10500	174548099.344071	10500	189699789.116902	10500	190874635.681390	10500	191358516.574998	10500	179117334.098366	10500	182495917.613126	10500	183418595.153851	10500	184305662.918951	10500	187705276.718745	10500	188753717.391411	10500	189058224.069217
11000	175904083.991326	11000	190130256.732646	11000	191043855.369058	11000	193296574.108554	11000	179962809.496160	11000	181876468.977893	11000	183903274.116040	11000	185566838.198212	11000	187152441.701563	11000	188763690.469218	11000	189152808.194548
11500	173744913.762179	11500	189695168.291291	11500	189728084.457955	11500	193458688.635515	11500	179232315.180114	11500	182281981.166413	11500	184189740.530860	11500	186178631.333688	11500	185173640.472063	11500	188873449.736524	11500	189472428.343101
12000	176238573.303524	12000	189923358.234238	12000	192227994.061448	12000	193354742.625354	12000	178807329.085491	12000	181513269.102876	12000	183968775.957008	12000	185881761.280620	12000	186627450.447036	12000	188122870.334320	12000	189754093.129065
12500	175113357.144565	12500	189475330.417517	12500	191704445.706269	12500	192613869.415940	12500	179250814.610531	12500	182423621.816952	12500	184104581.562503	12500	186188713.602398	12500	187070561.044139	12500	188235425.216471	12500	188605233.578939
13000	175477908.401853	13000	189284635.630989	13000	191123596.388560	13000	192043337.390257	13000	180013249.701652	13000	183313090.859628	13000	185525063.393903	13000	184744519.515097	13000	186555722.511153	13000	187906236.007584	13000	189584073.036357
13500	176458092.458385	13500	188330356.506296	13500	191500625.878808	13500	192864416.251852	13500	178226710.250863	13500	182038505.908589	13500	183683954.889942	13500	186459379.653560	13500	186658612.825275	13500	188454307.605481	13500	190211812.029841
14000	174664786.290412	14000	188508350.977925	14000	191567274.802590	14000	192489026.165535	14000	179475507.695602	14000	182487650.422945	14000	184149551.054094	14000	185358053.829067	14000	187115451.142420	14000	187564921.889232	14000	189049626.102218
14500	174885145.982458	14500	188522241.619543	14500	191108465.473980	14500	191918491.636390	14500	179807655.445596	14500	182385693.911001	14500	183138817.078866	14500	185492560.239330	14500	185800030.268559	14500	187887826.535689	14500	188736386.401468
