-3,2392767144272265 0,13422684399216678
-2,7796877551952663 0,052376628634647204
-2,311654707232167 0,23616415348539022
-1,8436216592690675 0,4199516783362469
-1,3837285776772932 7,550870096574499
-0,92744366383591 29,108076701411278
-0,45750703517619407 74,43845308099111
0,007807684533752912 110,15255553518341
0,46588729575774135 74,27400173086932
0,9320054992331244 29,0440608219688
1,3991149163256766 7,322402867010339
1,854183340727805 0,028534937464030463
2,3179549210564687 -0,8554849343665865
2,7859767052284647 -0,9388369885379007
3,2455656644604236 -1,0206872038953634
