-3,239276714427226 0,13422684399216678
-2,7796652276130582 0,5866557866788185
-2,3153191939380777 13,326754444973517
-1,849767934614944 54,650788058629246
-1,383980135678621 101,58475283174829
-0,9269255294451129 41,39649733642625
-0,4601878174590017 10,859233273739505
0,003234585345433416 1,6938864522248878
0,4632177772660411 10,961921502639825
0,9282959573627974 41,06609279736875
1,3946131544810196 100,55561778452494
1,8606525114186683 53,455699822470194
2,318529374402787 12,768633595758843
2,785987969019571 -0,6716974095159003
3,2455656644604236 -1,0206872038953634
