-3,2392767144272265 0,13422684399210993
-2,7712436664641267 0,31801436884285295
-2,324258889477804 1,30697522779451
-1,8552796830619487 23,930487390498683
-1,3794370732665806 109,33104970398139
-0,9193562618230682 220,91429443925404
-0,45122183974003205 223,50233817530332
0,010623632309809672 176,9374502906996
0,47638890366392417 223,33713590577455
0,9400816374548597 220,58313898078953
1,3991674806841639 108,56905423577996
1,859368439232787 23,00178781395482
2,3222614438553206 1,2808807784030591
2,7859767052284647 -0,9388369885379007
3,249782076930443 -1,0214381233022891
