-3,243493126897244 0,13497776339897882
-2,779237203551097 10,737959789517276
-2,3140351217521946 43,78066645348906
-1,8442449223768342 85,6382283057817
-1,382500824446931 36,66908420997959
-0,9240382443253945 9,873276092415608
-0,4606383691031697 0,17365011285698984
0,007360887486616896 -0,44398109935855246
0,4669723743007852 0,008447843328099225
0,9269780938036014 9,810762051787208
1,387704695937087 36,71000931765826
1,8577539625078465 84,71178148745867
2,319802182797562 42,955406025252046
2,7822108444026146 9,747497091751598
3,2413717795726136 -0,48565712644420955
