-3,2261318702085866 311,8861155627421
-2,7671286281140466 297,9130072382373
-2,305080407824329 256,15663177603074
-1,8424314520090537 128,64770052833444
-1,382624726149078 33,73054884073679
-0,9284799326174968 4,531235431381333
-0,46064963289427396 -0,09348946616518106
0,003133211225494925 -0,7103697589735702
0,46694984671857664 -0,5258313147160152
0,9351969067126564 4,733608211553928
1,3960023553838745 33,50283253057938
1,8595786966667331 127,98839328903318
2,332973309195448 255,3306204283869
2,798547096100789 297,1889332000868
3,258710508679064 310,73120151485466
