#	SIM_0.2_-7.55		#	SIM_200_-7.55		#	SIM_20_-7.55		#	SIM_2_-7.55	
1	110485.341617452	1	110523.676761129	1	111975.639228775	1	111158.133563629
500	110735.255329397	500	110094.385032629	500	110232.233552202	500	110202.916179057
1000	109466.824307036	1000	110285.036986365	1000	109454.131032061	1000	109016.232222124
1500	110314.554019687	1500	110382.112958652	1500	110801.622112812	1500	109526.908514155
2000	109860.642123620	2000	109262.263300162	2000	109491.146555427	2000	108907.719443602
2500	110147.071172636	2500	109660.037063669	2500	108825.516594280	2500	109412.574696519
3000	109711.332414155	3000	109627.960529848	3000	109928.716516339	3000	108011.827961989
3500	110675.748088340	3500	108191.326841674	3500	109373.043190286	3500	110966.759646272
4000	111132.209388230	4000	109015.658837147	4000	110161.442807571	4000	109738.676448553
4500	110301.976982115	4500	109918.358515633	4500	110591.983980016	4500	109577.828120175
5000	109937.409431705	5000	109679.031905383	5000	108229.779657181	5000	109375.664685485
5500	109718.989843210	5500	109047.817056027	5500	109734.870292597	5500	110258.595184853
6000	109720.297393010	6000	109467.600637102	6000	109381.621847779	6000	109682.132206976
6500	109701.307682771	6500	109615.793162494	6500	110243.314260215	6500	110197.053102907
7000	110178.001380318	7000	108726.953741161	7000	109436.656654794	7000	110501.185812391
7500	109289.012403419	7500	109455.907065098	7500	109457.827711091	7500	109214.749044663
8000	110657.643550240	8000	110290.567011399	8000	110111.304579933	8000	110025.446728287
8500	109649.214061936	8500	109699.369933269	8500	110140.048538011	8500	110378.615569380
9000	109979.573206648	9000	109812.564097159	9000	109443.662780548	9000	109475.177866180
9500	110283.946165119	9500	109431.622094619	9500	110165.895213304	9500	110588.277094532
10000	108201.837589709	10000	109939.285012296	10000	110336.764553459	10000	110039.016207936
10500	110581.594779338	10500	109542.399965012	10500	109003.688183703	10500	109413.370556549
11000	109611.871189850	11000	109119.041039196	11000	109480.059107412	11000	109997.241746289
11500	109979.225852430	11500	108553.761604967	11500	109631.077235501	11500	109176.424362512
12000	109854.942586623	12000	110104.677493105	12000	110564.335004496	12000	109703.551181781
12500	108743.981809176	12500	109980.259857610	12500	110449.672844605	12500	110135.213857005
13000	109583.004537166	13000	110349.430245071	13000	110296.567402366	13000	110093.879509989
13500	110447.641390195	13500	110543.546049089	13500	110090.709294539	13500	110112.764368789
14000	109733.546083955	14000	110852.768737612	14000	110053.643795930	14000	109250.818856434
14500	109533.758363515	14500	110123.302337793	14500	109537.172595631	14500	110215.754491156
15000	109308.651432835	15000	110025.127326103	15000	110348.262138428	15000	109166.209964142
15500	110527.147313654	15500	109364.660909737	15500	109247.378357501	15500	109269.343855298
16000	110057.524535976	16000	109523.530718041	16000	109716.380609587	16000	109197.350303377
16500	109954.912050749	16500	109685.462744726	16500	109039.633424329	16500	109455.569809519
17000	109677.747264349	17000	110027.214387863	17000	109978.955630312	17000	109501.617375145
17500	110418.775945543	17500	110350.502708829	17500	110568.220285041	17500	109305.852702436
18000	109710.313496796	18000	110165.392114273	18000	108517.358725085	18000	111732.435398321
18500	109617.269754389	18500	110575.895993689	18500	110071.240918743	18500	109075.637017872
19000	109526.818696533	19000	109086.450063410	19000	110109.753850315	19000	110411.228521906
19500	109768.886947690	19500	110449.034941603	19500	109332.289434289	19500	110154.302310980
20000	109338.342428343	20000	109632.525785736	20000	109495.159021675	20000	109170.987846126
20500	110258.146654254	20500	108724.071979221	20500	109341.776638228	20500	109500.410668297
21000	109979.282854354	21000	109410.034840496	21000	110443.661994565	21000	109932.674692674
21500	110178.772844736	21500	108945.255903874	21500	109685.815847366	21500	109484.844376842
22000	110440.941502078	22000	108491.909543405	22000	109088.251471334	22000	109279.392239821
22500	110392.025815701	22500	110962.865542335	22500	110008.808056626	22500	109626.715616215
23000	110129.413054226	23000	109425.995172725	23000	109297.373963347	23000	110044.492506179
