#	SIM_0.2_-7.55		#	SIM_200_-7.55		#	SIM_20_-7.55		#	SIM_2_-7.55	
1	12.9618290000000	1	13.0012190000000	1	13.0077650000000	1	13.0079170000000
500	12.9661009876718	500	13.0012243474095	500	13.0072506376204	500	13.0086878467149
1000	12.9898925431404	1000	13.0011868321659	1000	13.0069187419420	1000	13.0069160185026
1500	12.9775066009118	1500	13.0011999651295	1500	13.0072878844080	1500	13.0067688475538
2000	12.9624823676217	2000	13.0011981548083	2000	13.0076147740655	2000	13.0047685465342
2500	12.9666132522432	2500	13.0011774754811	2500	13.0075932039774	2500	13.0070808014966
3000	12.9710089719354	3000	13.0011966010211	3000	13.0077030385890	3000	13.0063089624134
3500	12.9645748631961	3500	13.0012074694895	3500	13.0071690189772	3500	13.0076414175271
4000	12.9511406995634	4000	13.0012245241814	4000	13.0064550625871	4000	13.0071139038011
4500	12.9865519115317	4500	13.0011866875328	4500	13.0064012934460	4500	13.0075179560524
5000	12.9794423808883	5000	13.0012218549155	5000	13.0068405975315	5000	13.0083024691548
5500	13.0184741365508	5500	13.0012272694131	5500	13.0069682451555	5500	13.0105214692489
6000	13.0265169195819	6000	13.0012414902625	6000	13.0073551543482	6000	13.0075238690080
6500	13.0061879828601	6500	13.0012215773305	6500	13.0072085374954	6500	13.0100666779153
7000	13.0000001030613	7000	13.0012133916729	7000	13.0068031126206	7000	13.0110643114144
7500	12.9840534501158	7500	13.0012009701107	7500	13.0068427995418	7500	13.0129367153366
8000	12.9920808194630	8000	13.0011801108806	8000	13.0073157455336	8000	13.0126527271038
8500	13.0132706141849	8500	13.0011974556722	8500	13.0078171127364	8500	13.0106443711794
9000	13.0232440228823	9000	13.0012233317170	9000	13.0078758747035	9000	13.0134629351752
9500	13.0124830738591	9500	13.0012497097979	9500	13.0083925725269	9500	13.0150916265106
10000	13.0164614550792	10000	13.0012623148193	10000	13.0084718803820	10000	13.0119901787755
10500	13.0603016468103	10500	13.0012448502233	10500	13.0086715058700	10500	13.0150506001285
11000	13.0699931520224	11000	13.0012801084046	11000	13.0087212695170	11000	13.0178846102278
11500	13.0775423778284	11500	13.0012685133021	11500	13.0089222850876	11500	13.0223244228045
12000	13.0828071885679	12000	13.0012293722605	12000	13.0090341422236	12000	13.0265313632533
12500	13.0731471802718	12500	13.0012206433236	12500	13.0089991859185	12500	13.0237491002905
13000	13.0874300269878	13000	13.0012547842699	13000	13.0089887021467	13000	13.0272176432279
13500	13.1024638782461	13500	13.0012893221845	13500	13.0090291425338	13500	13.0232087284278
14000	13.1006313922949	14000	13.0013426878290	14000	13.0092362653146	14000	13.0250539040972
14500	13.0872620872956	14500	13.0013833382023	14500	13.0096906271329	14500	13.0256759724844
15000	13.0944862510935	15000	13.0014296406840	15000	13.0097461966272	15000	13.0177161922396
15500	13.1054220441406	15500	13.0014259723345	15500	13.0099715143945	15500	13.0135849881794
16000	13.0924017472292	16000	13.0014334134177	16000	13.0098370102165	16000	13.0152063440040
16500	13.0932949905971	16500	13.0014672705209	16500	13.0095664864897	16500	13.0142392141262
17000	13.0882445353223	17000	13.0014713339112	17000	13.0095718724087	17000	13.0181203125821
17500	13.0551400638957	17500	13.0014868234226	17500	13.0097244100271	17500	13.0208618814314
18000	13.0661023795284	18000	13.0015099809383	18000	13.0095704851941	18000	13.0262246298282
18500	13.0784175311728	18500	13.0015100870922	18500	13.0090048496844	18500	13.0252929539313
19000	13.0673328361037	19000	13.0014746782026	19000	13.0092790953662	19000	13.0275868691748
19500	13.0690332162473	19500	13.0014688121218	19500	13.0090541341177	19500	13.0287493172469
20000	13.0711531842558	20000	13.0014016890894	20000	13.0086213422975	20000	13.0302602427198
20500	13.0663923008127	20500	13.0014112292367	20500	13.0084798313867	20500	13.0312768332218
21000	13.0424277842174	21000	13.0014113384450	21000	13.0088382101817	21000	13.0319225270921
21500	13.0081682639713	21500	13.0014162947937	21500	13.0088281553348	21500	13.0324894563061
22000	13.0169581605636	22000	13.0014282365185	22000	13.0087632787022	22000	13.0296183271796
22500	12.9882519264994	22500	13.0014314802848	22500	13.0093142644758	22500	13.0324248410455
23000	13.0186140963706	23000	13.0014136588655	23000	13.0089206171702	23000	13.0315403754253
23500	13.0135963017714	23500	13.0014037144074	23500	13.0090593535454	23500	13.0326005595239
24000	13.0068536271847	24000	13.0013875532612	24000	13.0090897262266	24000	13.0304271647894
24500	12.9960396693328	24500	13.0014457088691	24500	13.0092417550821	24500	13.0336988524351
25000	13.0121740591612	25000	13.0014950314776	25000	13.0092845075104	25000	13.0328170791455
25500	13.0261516538778	25500	13.0015091495014	25500	13.0094059805090	25500	13.0325776651088
26000	13.0300574220122	26000	13.0015189288597	26000	13.0098355645850	26000	13.0334298225063
26500	13.0455857054573	26500	13.0015625504929	26500	13.0102015509881	26500	13.0345543995708
27000	13.0550644576767	27000	13.0015421853975	27000	13.0105309689183	27000	13.0347805345308
27500	13.0912467365250	27500	13.0015487252662	27500	13.0103843610942	27500	13.0389162956779
28000	13.1079043408607	28000	13.0015448533677	28000	13.0106410451117	28000	13.0380761166627
28500	13.0916120221701	28500	13.0015253133475	28500	13.0102904935870	28500	13.0391395807704
29000	13.0589188686323	29000	13.0015056037188	29000	13.0103700809569	29000	13.0389414425619
29500	13.0720820482260	29500	13.0014848885828	29500	13.0103265703608	29500	13.0361144751978
30000	13.0676229412768	30000	13.0015174772917	30000	13.0098583409659	30000	13.0382308531219
30500	13.0732302335485	30500	13.0014795687504	30500	13.0102781099599	30500	13.0383975443277
