#	SIM_0		#	SIM_-10		#	SIM_-12		#	SIM_-15		#	SIM_-2		#	SIM_-4		#	SIM_-5		#	SIM_-6		#	SIM_-7		#	SIM_-8		#	SIM_-9	
1	161684852.559742	1	173864454.877281	1	174319788.567454	1	175051840.037964	1	162437027.822358	1	167381189.365428	1	167602109.442716	1	170221184.258859	1	170627913.828741	1	171909383.966944	1	173001820.798879
500	158713212.079485	500	172852500.207018	500	172639758.877433	500	175290530.541488	500	162116076.680678	500	165861960.597016	500	164953698.152504	500	169944239.562028	500	168426525.584350	500	169650700.567027	500	171017862.547950
1000	158749566.194615	1000	172425734.214135	1000	171404901.809535	1000	174020807.401194	1000	162810776.287085	1000	166242588.112760	1000	166799861.706901	1000	167249740.781747	1000	168791190.750022	1000	171409280.710593	1000	170043318.014779
1500	160009792.972155	1500	171865335.276442	1500	173173468.031717	1500	174460846.542318	1500	162487444.844738	1500	167615920.737112	1500	166193049.824928	1500	169195283.648091	1500	169540809.286688	1500	171358730.498976	1500	171749622.749175
2000	157876877.051253	2000	172131764.744061	2000	172079153.558964	2000	174480111.423790	2000	162635258.063880	2000	166348915.868038	2000	166347082.073767	2000	169013695.358171	2000	170590049.753107	2000	170465427.282686	2000	170985652.007325
2500	158794873.992791	2500	173017352.187314	2500	174443902.388690	2500	174069046.235067	2500	163834733.411259	2500	165708659.444586	2500	166127244.129252	2500	170224448.020333	2500	167947348.534676	2500	170177212.825233	2500	169322231.906971
3000	157992001.162741	3000	173280289.353713	3000	171694680.969261	3000	173881416.618354	3000	161001290.539208	3000	165053235.570682	3000	167008498.669059	3000	169761281.627635	3000	170864489.542663	3000	169813812.823835	3000	170699013.325964
3500	159674415.968325	3500	170750816.062953	3500	172294500.490204	3500	172196884.930539	3500	164229273.635879	3500	165705663.208205	3500	167503131.468074	3500	168764182.299148	3500	169567730.266929	3500	170251669.373451	3500	171098990.968707
4000	158362516.949793	4000	173228633.444817	4000	172636633.730070	4000	175419513.064218	4000	162017783.363359	4000	167020699.913754	4000	167756268.280457	4000	169752105.269509	4000	169965375.178169	4000	171360226.227591	4000	173006241.424221
4500	159952851.852271	4500	172581038.945681	4500	173928917.728934	4500	173950607.825342	4500	164533415.013494	4500	165123345.552247	4500	167028789.880976	4500	168367062.149042	4500	169436620.643630	4500	171242451.937832	4500	170912487.759624
5000	159988023.604575	5000	171825575.915126	5000	172765460.520093	5000	176250652.760436	5000	161026730.847925	5000	165955009.572357	5000	168431630.019998	5000	168328775.026694	5000	168928753.266217	5000	167609612.052612	5000	172012775.597224
5500	158608672.922012	5500	172222304.164527	5500	172517049.239580	5500	172394189.771213	5500	163513170.887098	5500	166018474.210763	5500	167231397.162778	5500	167857971.838377	5500	168440895.675773	5500	170494082.356241	5500	170305358.981015
6000	159652368.588631	6000	172621113.474411	6000	171113057.290121	6000	174045220.565259	6000	162920407.291746	6000	164909162.435952	6000	165918952.338721	6000	167305676.280331	6000	170376092.034316	6000	169651147.696716	6000	170997276.265963
6500	158577847.887594	6500	171931774.083220	6500	173193303.825457	6500	175973945.617630	6500	162739789.263708	6500	166904599.428957	6500	168370569.667264	6500	167258823.454494	6500	169174501.799330	6500	169647236.639383	6500	172416111.152869
7000	159284203.823725	7000	174064463.507497	7000	173352886.043243	7000	174144766.937345	7000	161979100.325393	7000	166851535.898138	7000	167798601.049411	7000	169646004.114294	7000	169215749.618113	7000	169265925.875540	7000	171436595.624713
