#	SIM_0		#	SIM_-10		#	SIM_-20		#	SIM_2		#	SIM_-30		#	SIM_4		#	SIM_-5	
1	183681921.862664	1	193293194.771004	1	202947488.430351	1	181773518.754831	1	212608597.708899	1	179800732.369964	1	188557551.439307
10000	174855347.287022	10000	182851987.688143	10000	188968974.334741	10000	172991909.951337	10000	193536991.836234	10000	170885458.387979	10000	178947461.849443
20000	174624401.664467	20000	182632964.697186	20000	188355534.004935	20000	173024783.803533	20000	192731558.742643	20000	171214336.959532	20000	178938383.329854
30000	174807334.342023	30000	182319333.599975	30000	188345785.861138	30000	172830585.319296	30000	192377118.421132	30000	171056834.887422	30000	178779572.500829
40000	174634859.268575	40000	182437623.773812	40000	188090783.175531	40000	172868917.466615	40000	192382960.810108	40000	171095512.034918	40000	178789114.223812
50000	174878108.371538	50000	182337008.892391	50000	187950356.921552	50000	172986956.827391	50000	192314543.324449	50000	170845895.964872	50000	178866150.577490
60000	174709401.124550	60000	182396485.886483	60000	187935702.869488	60000	172999558.873019	60000	192332351.561493	60000	170868799.608222	60000	178814005.681637
70000	174756705.048575	70000	182197720.560571	70000	187834994.502652	70000	172993842.764683	70000	192352849.058776	70000	171145000.563591	70000	178799318.932001
80000	174643125.026136	80000	182193570.313072	80000	187740339.537858	80000	172871556.195474	80000	192123088.669924	80000	170968558.437537	80000	178771285.343559
90000	174846367.595531	90000	182170127.405638	90000	187953260.701615	90000	172939776.619495	90000	192172452.410935	90000	170926915.853897	90000	178800538.106448
100000	174903417.503555	100000	182209935.970297	100000	187751247.637365	100000	173004499.105265	100000	192003168.232737	100000	170974337.323796	100000	178633748.869984
110000	174791070.430789	110000	182255438.248485	110000	187845224.648314	110000	172974367.923041	110000	191901874.027939	110000	170965931.902474	110000	178729198.216936
120000	174633700.642707	120000	182185100.517132	120000	187868966.160447	120000	172898232.600944	120000	191941788.121481	120000	170898194.356687	120000	178825485.238455
130000	174786537.476567	130000	182329910.179862	130000	187730000.726861	130000	173004185.506516	130000	191846627.717067	130000	171107297.138210	130000	178672177.249689
140000	174717797.302276	140000	182239595.772926	140000	187798801.724799	140000	172945857.703718	140000	191979064.465485	140000	170757544.227243	140000	178772137.699883
150000	174643176.337549	150000	182087465.503015	150000	187698571.011040	150000	172897358.829520	150000	191798292.344283	150000	171042483.599012	150000	178577273.336682
160000	174656439.079492	160000	182212064.498387	160000	187593354.462039	160000	172756031.559986	160000	191830485.900648	160000	171009874.347953	160000	178761502.907770
170000	174669579.348004	170000	182117318.460797	170000	187673270.835465	170000	172803978.093605	170000	191832118.785338	170000	171058277.470860	170000	178568389.839700
180000	174729048.896160	180000	181938635.191647	180000	187696616.478253	180000	173047986.168094	180000	191847832.635098	180000	170971329.565244	180000	178692826.984707
190000	174539051.532126	190000	182120048.651734	190000	187579148.321380	190000	172863733.373372	190000	191756415.053441	190000	170901173.585022	190000	178854772.633279
200000	174671157.541028	200000	182038419.896418	200000	187541683.436649	200000	172953625.560630	200000	191814007.459183	200000	170996243.148957	200000	178698141.867248
210000	174811619.636691	210000	182118010.017611	210000	187551188.957985	210000	172951824.257323	210000	191750485.556952	210000	170968011.533896	210000	178565681.457369
220000	174654552.875818	220000	181916211.732130	220000	187479476.047562	220000	173068481.827288	220000	191852542.196795	220000	170957342.382276	220000	178658430.028755
230000	174792483.350667	230000	181876382.822587	230000	187576149.685787	230000	172921127.830882	230000	191733060.453712	230000	171071529.059588	230000	178646067.290339
240000	174642198.915925	240000	181991687.580044	240000	187490555.170184	240000	173085408.727621	240000	191731635.682283	240000	171031691.514640	240000	178434165.638413
250000	174585237.209920	250000	182122504.476456	250000	187465111.055683	250000	172870814.007610	250000	191542339.784707	250000	171027231.106062	250000	178641243.620964
260000	174703734.769964	260000	182140315.230223	260000	187439860.443324	260000	172795470.937693	260000	191671831.163709	260000	171079360.590158	260000	178637905.574484
270000	174648894.451770	270000	182132462.430848	270000	187434898.286590	270000	172970786.468629	270000	191859019.926740	270000	170863351.830773	270000	178861548.398476
280000	174662223.767242	280000	182052097.658607	280000	187397669.590820	280000	172904482.214503	280000	191573926.586106	280000	171070106.436187	280000	178443574.763926
