#	SIM_0		#	SIM_-10		#	SIM_-20		#	SIM_2		#	SIM_-30		#	SIM_4		#	SIM_-5	
1	181988191.038757	1	198206607.558895	1	214354355.272102	1	178808740.288898	1	230786883.922739	1	175459746.402939	1	190185070.561454
10000	171343829.801351	10000	184687993.748799	10000	194804455.885643	10000	168514726.730543	10000	201362081.648989	10000	165106726.316882	10000	178387732.476756
20000	171377180.322894	20000	184584826.994625	20000	193605652.972237	20000	168263473.141017	20000	200227621.330955	20000	165556172.719076	20000	178335821.517259
30000	171490628.675592	30000	184016044.384008	30000	193285839.731738	30000	168074235.741173	30000	200058442.706156	30000	165272259.855539	30000	177927918.600201
40000	171472501.868852	40000	183932839.702402	40000	193051570.753447	40000	168409191.664868	40000	199367034.625310	40000	165149918.665548	40000	178230753.588692
50000	171274457.616511	50000	183728831.254982	50000	192774747.401143	50000	168670054.247701	50000	199729833.462508	50000	164962278.786281	50000	178720389.039181
60000	171623423.259661	60000	183846486.493673	60000	193136946.546835	60000	168384868.044586	60000	199596744.307547	60000	164885968.580995	60000	177995550.453385
70000	171300877.670958	70000	183676176.145032	70000	193003508.702200	70000	168410714.835218	70000	199498754.856637	70000	165536324.168190	70000	178030043.285380
80000	171308386.214605	80000	183616393.459488	80000	192873931.199103	80000	168231444.650428	80000	199694467.993077	80000	164862620.658771	80000	178186477.632212
90000	171536253.051072	90000	183561970.977472	90000	192938358.067183	90000	168313541.502597	90000	199562017.106326	90000	165534351.365837	90000	178402546.318500
100000	171659925.516423	100000	183712727.399949	100000	192804874.649120	100000	168809315.358247	100000	199426504.559076	100000	165539585.839958	100000	177704188.441493
110000	171327871.346170	110000	183789146.449695	110000	193187900.340883	110000	168536687.312576	110000	198721854.866640	110000	165230092.351349	110000	177723572.711310
120000	171226885.292543	120000	183498422.790590	120000	192936970.879697	120000	168634367.297350	120000	198814828.185690	120000	165252408.379224	120000	178180527.572700
130000	171113553.088679	130000	183831401.423734	130000	192911305.211737	130000	168544741.904686	130000	198971237.764813	130000	165369835.983456	130000	177763267.995590
140000	171144393.112966	140000	184038122.360752	140000	192858548.070435	140000	168609659.780254	140000	199136916.948399	140000	165103241.625002	140000	178080998.652534
150000	170925102.701326	150000	183343456.268621	150000	192431881.917288	150000	168470933.949555	150000	199303604.795421	150000	165370053.992248	150000	177564711.028837
160000	171328860.933255	160000	184218002.961344	160000	192705074.772613	160000	168027627.674334	160000	198856132.066642	160000	165396066.215046	160000	178224659.196737
170000	171153022.388993	170000	183138051.254670	170000	192395217.712203	170000	167942622.861214	170000	199225480.373040	170000	165468570.850388	170000	177938950.632900
180000	171547709.690361	180000	183335616.977015	180000	192614063.537004	180000	168370413.428051	180000	199109515.704260	180000	165784731.617371	180000	177965919.768297
190000	171066871.098935	190000	183493742.922062	190000	192332542.049951	190000	167962759.806293	190000	199079227.906110	190000	165544310.467771	190000	178106442.620099
200000	171263531.954181	200000	183096258.251385	200000	192666286.120978	200000	168340534.648723	200000	199050998.372433	200000	165382748.064007	200000	177917054.269314
210000	171484710.053582	210000	183539523.717610	210000	192313889.670436	210000	168046188.652943	210000	199294360.918681	210000	165598127.230754	210000	177920706.208686
220000	170932484.833739	220000	183474824.331065	220000	192301394.831066	220000	168648831.878989	220000	199138649.035085	220000	165203196.415053	220000	177615218.418421
230000	171220091.925207	230000	183241936.956526	230000	192264755.658845	230000	168285241.098673	230000	198898524.630384	230000	165580111.843164	230000	177513939.291226
240000	171068514.511960	240000	183357697.552166	240000	192533947.112094	240000	168523323.115185	240000	198754036.165186	240000	165606942.342931	240000	177801843.537561
250000	171225604.941636	250000	183503384.359132	250000	192317414.133753	250000	168168352.279128	250000	198747931.597917	250000	165499284.659387	250000	178014641.178163
260000	171316460.595157	260000	183727686.750275	260000	192321353.095230	260000	168080221.212795	260000	198595870.592829	260000	165153142.265829	260000	177939016.013918
270000	171220386.371739	270000	183479298.873404	270000	192305499.729985	270000	168302270.476119	270000	198990522.206025	270000	165403062.891654	270000	178234434.726936
280000	170776900.019780	280000	183056693.323051	280000	192268246.254601	280000	167913261.031163	280000	198821048.710224	280000	165673501.110301	280000	177390083.027351
290000	171483794.320209	290000	183681525.397889	290000	192171527.509394	290000	168568003.027146	290000	198999273.633543	290000	165349025.232626	290000	177979615.142264
300000	171417374.381931	300000	183420754.498828	300000	192286127.311970	300000	168129000.553761	300000	198177603.000299	300000	165603478.365141	300000	177634248.355844
310000	170961999.227601	310000	183340427.999852	310000	192216069.725870	310000	168223822.606660	310000	198670245.425555	310000	165747553.440572	310000	177823330.436897
320000	171272052.373985	320000	183289757.407525	320000	192164547.776753	320000	168384558.570889	320000	198763084.551216	320000	165292733.021051	320000	177653764.253593
330000	170756326.072800	330000	183852513.810608	330000	192019693.765147	330000	168437361.576540	330000	198661945.350868	330000	165270132.781316	330000	177751845.773719
340000	170795241.171730	340000	183737998.182451	340000	192487554.951986	340000	168636759.838339	340000	198694101.080742	340000	165879994.278051	340000	177263616.817019
350000	171244473.844090	350000	182999192.758967	350000	191888848.678132	350000	168229753.375823	350000	198470293.014437	350000	165774850.471920	350000	177463806.708527
360000	171206690.971078	360000	183404398.286384	360000	191874313.533207	360000	167888218.669043	360000	198478002.686469	360000	165910728.423115	360000	177984666.583411
370000	171077502.062358	370000	183516151.187646	370000	192313897.670555	370000	168394789.166088	370000	198318112.435320	370000	166124718.224733	370000	177855958.139609
380000	171098844.031889	380000	183484367.012993	380000	192259730.744016	380000	168538902.709461	380000	198568210.384614	380000	166220910.434142	380000	177950322.451451
