#	SIM_0		#	SIM_-12		#	SIM_-20		#	SIM_-2		#	SIM_2		#	SIM_-30		#	SIM_-4		#	SIM_4		#	SIM_-6		#	SIM_-8	
1	184478157.956464	1	192020704.330576	1	197196674.551911	1	185587402.196615	1	183167652.284909	1	203595487.620735	1	186979552.505121	1	181711942.688766	1	188191191.443076	1	189434223.324980
10000	175840792.675657	10000	182346349.536955	10000	185535180.653722	10000	177016174.787453	10000	174655462.328717	10000	189450999.550000	10000	178339837.654136	10000	173346472.412467	10000	179229098.312509	10000	180584239.914962
20000	175801778.691602	20000	181984703.530678	20000	185199107.489646	20000	177048406.934983	20000	174870412.164857	20000	188682469.510150	20000	177904445.079928	20000	173504577.056894	20000	179179139.045741	20000	180240166.037772
30000	175605199.339079	30000	182145542.565082	30000	185349990.931246	30000	177077372.165509	30000	174545627.830550	30000	188727481.774186	30000	178141369.761321	30000	173268662.790123	30000	179199360.328592	30000	180170940.220917
40000	175996438.547156	40000	182130383.038514	40000	185112158.383525	40000	177291942.310087	40000	174671740.030181	40000	188528976.140421	40000	178184538.034159	40000	173593330.428017	40000	179298029.813373	40000	180106314.599674
50000	175897533.646757	50000	182008882.063512	50000	185217134.813703	50000	176964544.796141	50000	174591991.281294	50000	188477946.070783	50000	178040354.808777	50000	173578798.921761	50000	179510650.148693	50000	180376239.191188
60000	175958295.125647	60000	181888928.938842	60000	184790829.389875	60000	176951520.608502	60000	174585975.567615	60000	188620284.462193	60000	178327031.758790	60000	173187177.565463	60000	179253344.201745	60000	180221261.386267
70000	175922815.092701	70000	182036071.576873	70000	185019440.699370	70000	177162216.117109	70000	174791472.259252	70000	188216869.619721	70000	178236949.489968	70000	173591093.181735	70000	179159787.564277	70000	179814715.798614
80000	175936179.747759	80000	181556135.522908	80000	185005701.352352	80000	176880009.307149	80000	174663454.825371	80000	188127048.256707	80000	178131026.565656	80000	173249052.496541	80000	178848459.572664	80000	180177370.214297
90000	175927828.474571	90000	181587352.252216	90000	185048149.259271	90000	177257192.930621	90000	174925219.162526	90000	188037600.496009	90000	178277257.778017	90000	173293489.932126	90000	178941168.799365	90000	180102293.289480
100000	176230576.978214	100000	182236279.254776	100000	185082336.724414	100000	177234168.391449	100000	174842059.874181	100000	188118129.447374	100000	178188553.972942	100000	173572913.092862	100000	178996365.032879	100000	180227037.454975
110000	175729643.380431	110000	181798046.730400	110000	184864394.058771	110000	177092303.854695	110000	174371160.574986	110000	188144783.937865	110000	178088149.581440	110000	173150941.372532	110000	179370546.223983	110000	180102886.823338
120000	175818174.971383	120000	181997600.299283	120000	185057772.056045	120000	177221786.319797	120000	174614838.586810	120000	187926443.875822	120000	178064392.268219	120000	173658548.111433	120000	179162924.606800	120000	180374409.142359
130000	175872980.381767	130000	182130765.363730	130000	184738192.580363	130000	176816037.748248	130000	174862698.837525	130000	188248839.628054	130000	178061543.602955	130000	173074016.649122	130000	179299349.466971	130000	180351366.706542
140000	175786989.514618	140000	181722760.687474	140000	184910111.225613	140000	176912283.227130	140000	174651219.448930	140000	187875740.516355	140000	177754099.205651	140000	173631123.781617	140000	178914611.911238	140000	179962451.817435
150000	175961613.606382	150000	181908852.753857	150000	184719323.951162	150000	177165665.996504	150000	174477079.524916	150000	187707535.408541	150000	178322255.859166	150000	173181920.358846	150000	179233382.032014	150000	180053204.346096
160000	175749531.918678	160000	182064684.622196	160000	184766729.007711	160000	177024479.939064	160000	174538642.305648	160000	188229407.564393	160000	177841002.661529	160000	172914382.044832	160000	179293230.988612	160000	180059766.378964
170000	176233501.875846	170000	181671635.015824	170000	184730533.809389	170000	176893496.520599	170000	174406120.371715	170000	187995114.405413	170000	178072980.440984	170000	173203941.693360	170000	179234182.116109	170000	180066862.135945
180000	176186820.460072	180000	182015391.124604	180000	184975611.003931	180000	177219953.643783	180000	174924893.894060	180000	187846774.277555	180000	178075173.696697	180000	172885952.610388	180000	179294271.295684	180000	180114474.705680
190000	175513091.493659	190000	181560265.592356	190000	184801063.960854	190000	177132191.184822	190000	174613757.083057	190000	188042212.837094	190000	178173268.050864	190000	173308104.513694	190000	178947111.538455	190000	180130658.409712
200000	175674304.539952	200000	181784007.829860	200000	184879292.481959	200000	177330715.695554	200000	174309319.193364	200000	187897645.881739	200000	177921802.470282	200000	173262454.866781	200000	179353079.843975	200000	180201004.934490
210000	175963725.361507	210000	181917828.710299	210000	184777705.416490	210000	176892758.960711	210000	174581732.440555	210000	188071779.580584	210000	178059222.842294	210000	173159044.115201	210000	179385856.182431	210000	179992822.888010
220000	176089417.939982	220000	181907962.656846	220000	184800691.665226	220000	177209931.624105	220000	174557479.735990	220000	187643422.030939	220000	178370834.430760	220000	173102507.107457	220000	178992113.750577	220000	180058390.192582
230000	176185382.344760	230000	181846131.076575	230000	184486160.268514	230000	177298312.435371	230000	174615499.693307	230000	188173741.266793	230000	178209465.363322	230000	172976026.286328	230000	178930067.682693	230000	180137530.424747
240000	176186456.036099	240000	181936569.618901	240000	184442066.813022	240000	176982031.304530	240000	174633359.624632	240000	187982088.825665	240000	178128425.790965	240000	173110543.664217	240000	178840564.816032	240000	180097744.937960
250000	175807789.547358	250000	181774192.726571	250000	184762474.528087	250000	176947551.289391	250000	174857253.428177	250000	187762666.312160	250000	178404205.649041	250000	173118256.544976	250000	178831780.096781	250000	179913077.973446
260000	175731444.452213	260000	181808398.338355	260000	184344107.229236	260000	177307524.602174	260000	174845710.708496	260000	187599441.584985	260000	178118543.219954	260000	173138996.925371	260000	179235645.990307	260000	179724082.326217
270000	175719294.800795	270000	181393872.696018	270000	184773504.040977	270000	176946697.298650	270000	174776613.486054	270000	187668993.479250	270000	177912998.440206	270000	173075524.379202	270000	179367493.492281	270000	179888931.972935
280000	176002544.528131	280000	181832995.952334	280000	184610708.943822	280000	177332091.322286	280000	174722380.526000	280000	188054274.238400	280000	178195570.498101	280000	173248149.669288	280000	179320145.040718	280000	179796792.088248
290000	176036986.777748	290000	181840697.046510	290000	184751932.591381	290000	177154277.594681	290000	174564815.139900	290000	188048588.437339	290000	177928298.024524	290000	172835012.227513	290000	178870289.256488	290000	179960583.459225
300000	176226482.404424	300000	181499961.939654	300000	184579296.072413	300000	177027206.354788	300000	174569119.970481	300000	187496892.964703	300000	178187806.151277	300000	172979267.803664	300000	179276266.946324	300000	179964356.004941
310000	175787437.875865	310000	181940103.175892	310000	184844774.906954	310000	177061163.620660	310000	174320577.295145	310000	187985939.101664	310000	178130593.997022	310000	173054431.184553	310000	179356305.184054	310000	179890039.288017
320000	176211071.615700	320000	181718681.807464	320000	184739199.446000	320000	177085598.284551	320000	175050015.829103	320000	187906404.027055	320000	178158238.911072	320000	172742433.376211	320000	178799704.505352	320000	179844006.697472
330000	175817781.001491	330000	181973149.267829	330000	184618745.254741	330000	177221673.015160	330000	174624898.516415	330000	187940458.979785	330000	178135535.823786	330000	173102609.460844	330000	179162703.444627	330000	180009523.632615
340000	176120572.150979	340000	181738957.826215	340000	184755568.840722	340000	177403530.335972	340000	174727243.263592	340000	187482834.563674	340000	178021996.046054	340000	172973651.061223	340000	179051592.429310	340000	179794333.775350
350000	175810621.111740	350000	181567001.125469	350000	184611901.901236	350000	177004521.171224	350000	175049788.126553	350000	187734357.578811	350000	178220749.539927	350000	172922398.204391	350000	179302104.109310	350000	180015662.644878
360000	175947518.583573	360000	181612451.859636	360000	184828788.255935	360000	177056410.991396	360000	174499918.912694	360000	187573112.781533	360000	178179764.239760	360000	172841044.096962	360000	179073962.010452	360000	180111253.718526
370000	175984831.537404	370000	181667443.489476	370000	184530814.553577	370000	176922972.468320	370000	174333578.912827	370000	187350750.393851	370000	178107471.492173	370000	172766022.118524	370000	179241222.310288	370000	180094955.374988
380000	175989339.073447	380000	181852831.962616	380000	184688709.175904	380000	177063420.572661	380000	174899699.162044	380000	187657743.501879	380000	178363001.879127	380000	172811995.082806	380000	179018370.164663	380000	180027854.316919
390000	175875925.981575	390000	181527668.139279	390000	184502492.843968	390000	177311278.880362	390000	174934101.403591	390000	187737325.097471	390000	178173753.163201	390000	172642288.396530	390000	179003148.470109	390000	180052430.369552
400000	175936133.990502	400000	181730780.340726	400000	184533997.422711	400000	176717505.209419	400000	174917343.295388	400000	187466066.327434	400000	178173720.529830	400000	172841209.087968	400000	178982642.585281	400000	180073522.795807
410000	176237670.373808	410000	181523394.983025	410000	184802149.056530	410000	176825909.450288	410000	174615307.140498	410000	187943662.621383	410000	177740150.999156	410000	172406973.900659	410000	179654190.190244	410000	180231457.238447
420000	176066376.247969	420000	181390335.796575	420000	184781902.258360	420000	177030958.083860	420000	174750707.172824	420000	187841218.944809	420000	178007532.350062	420000	172805435.194792	420000	179302073.148001	420000	179539417.562078
430000	175876883.899719	430000	181431473.626928	430000	184728713.480790	430000	177153613.953497	430000	174498784.748924	430000	187546916.257899	430000	177836338.703700	430000	172457233.298012	430000	179213937.531457	430000	179914281.227323
440000	175948078.437157	440000	181778696.968844	440000	184675522.884886	440000	177178115.651514	440000	174901521.246304	440000	187639312.550246	440000	177777049.180914	440000	172689724.886799	440000	179207328.193974	440000	179952772.606796
450000	176085520.961199	450000	181542594.352601	450000	184730740.111308	450000	176970743.415292	450000	174733021.450362	450000	187488264.708731	450000	178134788.095334	450000	172689595.637781	450000	179097978.534557	450000	180237238.544084
460000	175925643.862337	460000	181714252.757925	460000	184299991.637856	460000	176857720.600323	460000	174610594.955175	460000	187369452.147829	460000	178253193.939325	460000	172458707.842446	460000	179331454.484077	460000	179911053.995558
470000	176350366.585217	470000	181832335.970065	470000	184784429.285347	470000	177380876.589194	470000	174939014.859043	470000	187659212.402509	470000	178262459.127845	470000	172575062.652003	470000	178960749.937398	470000	179823240.029052
480000	175734379.914447	480000	181836699.216538	480000	184678487.854534	480000	176973531.494277	480000	174671595.063293	480000	187669921.645512	480000	178143261.304812	480000	172702664.049710	480000	178794134.422743	480000	180136719.717012
490000	176105119.115457	490000	181481003.745432	490000	184334145.692309	490000	177312356.351561	490000	174511295.835962	490000	187779902.678182	490000	178218582.135278	490000	172503701.478961	490000	179281743.484984	490000	179785622.503695
500000	176042636.782567	500000	181757015.091504	500000	184527301.217742	500000	176648589.632153	500000	174696483.222393	500000	187364685.205108	500000	178114755.367836	500000	172468641.274883	500000	178942195.769162	500000	179902651.864745
510000	175977114.726613	510000	181848412.312247	510000	184558856.460974	510000	177088540.420092	510000	174550676.582318	510000	187619535.713584	510000	178139917.127595	510000	172493110.551706	510000	178960921.218724	510000	179859295.180119
520000	176105234.463932	520000	181713486.461469	520000	184433599.919914	520000	176960654.889613	520000	174558091.483365	520000	187941929.794928	520000	178063637.424281	520000	172253892.995705	520000	178948792.540953	520000	179948804.256306
530000	176226472.903936	530000	181466142.756831	530000	184650908.820680	530000	177249502.749409	530000	174523175.139767	530000	188045530.183827	530000	178121764.448598	530000	172267434.453395	530000	179227259.063360	530000	180058612.731644
540000	176175745.904346	540000	181494156.189642	540000	184842067.328837	540000	177060760.064803	540000	174511435.448271	540000	187303589.768111	540000	178161704.592942	540000	172583431.389833	540000	179185589.995714	540000	179721137.222861
550000	175915735.035951	550000	181541958.158001	550000	184559825.034805	550000	176872535.976378	550000	174719409.142103	550000	187728004.539373	550000	178001981.040073	550000	172282119.186305	550000	179053509.426290	550000	179736253.493729
560000	176051376.407813	560000	181474399.765857	560000	184452409.453484	560000	177115758.533053	560000	174888882.714033	560000	187552666.711771	560000	178156159.590331	560000	172516170.380619	560000	179032835.010339	560000	179889837.448159
570000	175706867.484823	570000	181648973.981356	570000	184905213.958808	570000	176990128.828389	570000	174803851.858133	570000	187335447.067140	570000	177956653.741248	570000	172568805.051807	570000	178976422.103507	570000	179929264.434175
580000	175545080.268750	580000	181519989.529600	580000	184602123.035753	580000	176853491.117768	580000	174867838.956813	580000	187505030.133516	580000	177762133.623235	580000	172329392.795379	580000	179341783.700242	580000	180194121.114587
590000	175945743.552701	590000	181572199.385575	590000	184559858.542859	590000	176977107.949586	590000	174767613.772521	590000	187566954.747645	590000	178233633.898503	590000	172324619.210179	590000	178848520.711168	590000	179618244.572100
600000	175979323.477980	600000	181532050.821613	600000	184328721.337218	600000	177015331.092131	600000	174797054.399430	600000	187676951.469225	600000	178382979.133447	600000	172592419.624719	600000	179014619.428574	600000	180119655.378015
610000	176230344.171993	610000	181699785.283610	610000	184297148.126552	610000	177087453.274869	610000	174864352.708331	610000	187521416.812454	610000	178495320.189721	610000	172294303.696205	610000	179318635.144516	610000	179838650.829560
620000	176039619.317120	620000	181951323.622960	620000	184566994.208084	620000	177045439.035779	620000	174689961.511828	620000	187801701.105514	620000	178283126.385227	620000	172396921.422383	620000	179181890.509976	620000	180049384.381780
630000	175912380.253456	630000	181623348.272461	630000	184710162.485367	630000	177008276.100041	630000	174629004.943270	630000	187700341.836549	630000	178012035.568181	630000	172451382.374151	630000	178967372.233674	630000	179904778.267619
640000	175722045.668156	640000	181629551.050704	640000	184548646.254536	640000	176813471.405050	640000	174838774.903918	640000	187677327.237204	640000	177963448.066494	640000	172035490.550366	640000	179191580.221206	640000	179740004.740228
650000	176165046.002601	650000	181619016.608174	650000	184571873.144548	650000	177263854.591186	650000	174602409.261077	650000	187825691.095827	650000	178077591.671201	650000	172058816.267495	650000	179105750.638865	650000	179844425.141276
660000	176124093.192702	660000	181684063.849757	660000	184330702.113463	660000	177076535.795733	660000	174501584.284980	660000	187604209.217992	660000	178132380.294978	660000	172026427.743565	660000	179290662.883668	660000	179877677.838588
670000	175855112.301243	670000	181635207.483594	670000	184506450.687941	670000	177236016.242980	670000	174930170.547946	670000	187747079.452652	670000	178248685.399386	670000	172054981.081900	670000	179033548.533430	670000	179885439.755796
