#time	SIM_5/
0.60	223.70
1.20	223.70
1.80	226.10
2.40	233.10
3.00	226.30
3.60	228.70
4.20	221.10
4.80	218.40
5.40	230.80
6.00	234.90
6.60	226.00
7.20	222.80
7.80	223.20
8.40	220.70
9.00	224.40
9.60	211.90
10.20	213.10
10.80	222.30
11.40	221.00
12.00	227.50
12.60	213.50
13.20	216.00
13.80	219.20
14.40	221.30
15.00	227.30
15.60	228.30
16.20	226.30
16.80	222.50
17.40	230.20
18.00	223.60
18.60	222.80
19.20	228.70
19.80	230.20
20.40	226.40
21.00	229.90
21.60	225.70
22.20	219.10
22.80	223.20
23.40	213.30
24.00	222.40
24.60	217.40
25.20	212.60
25.80	214.70
26.40	216.90
27.00	210.40
27.60	216.50
28.20	212.30
28.80	208.50
29.40	213.60
30.00	222.70
30.60	221.40
31.20	223.80
31.80	214.40
32.40	212.10
33.00	196.60
33.60	196.60
34.20	186.20
34.80	185.50
35.40	196.70
36.00	186.10
36.60	194.40
37.20	207.40
37.80	210.20
38.40	204.70
39.00	202.60
39.60	212.30
40.20	207.30
40.80	197.90
41.40	201.80
42.00	208.10
42.60	210.20
43.20	204.90
43.80	201.90
44.40	202.00
45.00	202.70
45.60	207.30
46.20	200.20
46.80	191.90
47.40	194.90
48.00	206.00
48.60	203.30
49.20	209.20
49.80	207.90
50.40	199.00
51.00	193.10
51.60	190.50
52.20	204.00
52.80	187.80
53.40	179.80
54.00	182.50
54.60	186.20
55.20	179.40
55.80	182.70
56.40	192.00
57.00	175.10
57.60	178.20
58.20	190.20
58.80	182.90
59.40	187.20
60.00	171.40
60.60	177.40
61.20	176.80
61.80	181.30
62.40	186.20
63.00	192.00
63.60	181.60
64.20	180.30
64.80	184.00
65.40	179.90
66.00	173.80
66.60	168.30
67.20	163.30
67.80	150.30
68.40	138.40
69.00	146.50
69.60	146.60
70.20	147.10
70.80	143.90
71.40	139.90
72.00	147.90
72.60	145.30
73.20	148.10
73.80	147.50
74.40	144.70
75.00	146.50
75.60	145.20
76.20	135.30
76.80	134.80
77.40	138.60
78.00	138.40
78.60	132.30
79.20	134.30
79.80	135.00
80.40	148.70
81.00	143.70
81.60	135.10
82.20	135.50
82.80	137.50
83.40	125.00
84.00	123.60
84.60	130.70
85.20	124.30
85.80	125.20
86.40	134.50
87.00	123.90
87.60	125.30
88.20	124.10
88.80	108.90
89.40	115.20
90.00	121.00
90.60	113.70
91.20	117.40
91.80	132.00
92.40	126.20
93.00	134.40
93.60	139.30
94.20	135.80
94.80	141.00
95.40	130.00
96.00	135.50
96.60	119.60
97.20	110.20
97.80	110.30
98.40	107.00
99.00	114.40
99.60	123.40
100.20	122.30
100.80	105.40
101.40	107.60
102.00	108.40
102.60	107.60
103.20	103.20
103.80	94.80
104.40	93.30
105.00	91.80
105.60	83.30
106.20	78.00
106.80	75.30
107.40	75.70
108.00	80.70
108.60	72.90
109.20	80.00
109.80	82.40
110.40	83.50
111.00	77.50
111.60	87.20
112.20	74.70
