#time	SIM_15/
239.40	239.40
240.00	239.10
240.60	235.10
241.20	240.40
241.80	243.20
242.40	248.10
243.00	240.00
243.60	240.70
244.20	236.70
244.80	243.30
245.40	235.80
246.00	237.50
246.60	238.30
247.20	231.00
247.80	229.80
248.40	236.70
249.00	234.90
249.60	234.50
250.20	236.80
250.80	231.50
251.40	234.30
252.00	239.00
252.60	236.70
253.20	245.70
253.80	237.10
254.40	234.10
255.00	236.10
255.60	246.40
256.20	225.40
256.80	229.40
257.40	226.40
258.00	232.10
258.60	242.90
259.20	226.80
259.80	228.30
260.40	240.60
261.00	245.50
261.60	246.70
262.20	244.60
262.80	230.90
263.40	230.40
264.00	232.40
264.60	236.50
265.20	240.30
265.80	237.80
266.40	236.50
267.00	226.00
267.60	232.50
268.20	237.20
268.80	235.10
269.40	239.50
270.00	233.70
270.60	235.20
271.20	243.40
271.80	237.80
272.40	241.60
273.00	240.30
273.60	239.30
274.20	235.20
274.80	231.10
275.40	241.10
276.00	232.20
276.60	233.90
277.20	231.20
277.80	236.40
278.40	237.80
279.00	238.20
279.60	240.00
280.20	231.50
280.80	231.40
281.40	230.20
282.00	224.50
282.60	232.10
283.20	238.60
283.80	238.70
284.40	232.10
285.00	244.10
285.60	245.90
286.20	237.80
286.80	234.30
287.40	231.30
288.00	239.30
288.60	230.70
289.20	227.90
289.80	234.70
290.40	237.10
291.00	233.20
291.60	234.90
292.20	243.70
292.80	241.50
293.40	239.70
294.00	238.20
294.60	241.60
295.20	236.50
295.80	237.70
296.40	238.60
297.00	245.50
297.60	241.90
298.20	247.00
298.80	242.40
299.40	237.50
300.00	233.10
300.60	238.90
301.20	234.50
301.80	241.90
302.40	236.50
303.00	235.70
303.60	239.20
304.20	237.10
304.80	243.30
305.40	241.80
306.00	239.00
306.60	236.40
307.20	237.20
307.80	232.00
308.40	231.80
309.00	233.80
309.60	236.90
310.20	235.60
310.80	240.10
311.40	230.80
312.00	233.40
312.60	235.80
313.20	242.40
313.80	239.30
314.40	241.90
315.00	245.20
315.60	251.10
316.20	240.50
316.80	238.00
317.40	243.30
318.00	239.00
318.60	239.80
319.20	237.70
319.80	239.70
320.40	236.60
321.00	242.50
321.60	232.50
322.20	235.80
322.80	236.50
323.40	234.40
324.00	232.90
324.60	235.90
325.20	231.70
325.80	239.90
326.40	234.60
327.00	241.90
327.60	234.50
328.20	241.20
328.80	240.20
329.40	241.30
330.00	241.10
330.60	235.40
331.20	237.20
331.80	239.10
332.40	241.60
333.00	239.60
333.60	242.30
334.20	239.20
334.80	228.20
335.40	237.50
336.00	239.90
336.60	236.00
337.20	235.20
337.80	233.90
338.40	229.90
339.00	236.00
339.60	234.10
340.20	230.50
340.80	235.00
341.40	229.90
342.00	236.50
342.60	236.50
343.20	230.10
343.80	239.80
344.40	237.20
345.00	235.80
345.60	241.90
346.20	235.20
346.80	245.20
347.40	241.50
348.00	245.70
348.60	244.80
349.20	242.30
349.80	240.30
350.40	233.40
351.00	238.10
351.60	237.60
352.20	238.90
352.80	238.70
353.40	238.30
354.00	233.30
354.60	234.60
355.20	236.20
355.80	236.90
356.40	240.20
357.00	233.70
357.60	240.90
358.20	237.50
358.80	245.70
359.40	241.60
360.00	237.30
360.60	236.20
361.20	242.40
361.80	242.10
362.40	235.90
363.00	233.50
363.60	232.60
364.20	240.00
364.80	233.70
365.40	239.90
366.00	248.40
366.60	242.30
367.20	239.10
367.80	241.40
368.40	241.30
369.00	242.40
369.60	246.10
370.20	242.50
370.80	241.00
371.40	243.50
372.00	239.80
372.60	247.70
373.20	239.80
373.80	239.20
374.40	238.00
375.00	240.80
375.60	241.00
376.20	240.80
376.80	239.90
377.40	242.20
378.00	234.90
378.60	233.50
379.20	241.80
379.80	241.30
380.40	245.00
381.00	240.60
381.60	238.30
382.20	239.00
382.80	242.10
383.40	233.60
384.00	235.40
384.60	221.70
385.20	225.70
385.80	230.90
386.40	233.40
387.00	227.90
387.60	236.00
388.20	234.00
388.80	237.70
389.40	237.50
390.00	244.60
390.60	245.50
391.20	236.90
391.80	238.90
392.40	242.20
393.00	238.30
393.60	241.50
394.20	245.40
394.80	234.50
395.40	241.00
396.00	243.80
396.60	236.40
397.20	244.40
397.80	240.00
398.40	237.30
399.00	232.50
399.60	236.30
400.20	235.50
400.80	243.70
401.40	241.00
402.00	231.20
402.60	233.80
403.20	228.90
403.80	237.00
404.40	226.50
405.00	234.90
405.60	235.60
406.20	230.00
406.80	239.30
407.40	231.40
408.00	231.10
408.60	237.10
409.20	235.90
409.80	240.60
410.40	242.50
411.00	243.40
411.60	237.80
412.20	237.50
412.80	245.40
413.40	242.00
414.00	239.70
414.60	240.60
415.20	242.00
415.80	246.60
416.40	235.20
417.00	241.80
417.60	246.50
418.20	241.50
418.80	238.00
419.40	240.50
420.00	237.10
420.60	241.10
421.20	235.10
421.80	247.30
422.40	243.80
423.00	245.40
423.60	240.20
424.20	243.90
424.80	243.00
425.40	240.10
426.00	236.40
426.60	232.50
427.20	230.30
427.80	231.70
428.40	229.50
429.00	231.60
429.60	238.30
430.20	242.70
430.80	247.40
431.40	247.30
432.00	242.20
432.60	233.90
433.20	235.20
433.80	237.80
434.40	234.80
435.00	234.60
435.60	233.20
436.20	233.30
436.80	236.80
437.40	238.90
438.00	244.70
438.60	233.20
439.20	244.70
439.80	237.20
440.40	240.80
441.00	235.80
441.60	242.60
442.20	229.80
442.80	231.10
443.40	231.20
444.00	234.80
444.60	232.60
445.20	232.50
445.80	233.10
446.40	234.60
447.00	230.20
447.60	236.10
448.20	238.80
448.80	239.10
449.40	237.60
450.00	240.40
450.60	244.80
451.20	246.30
451.80	239.50
452.40	236.80
453.00	230.20
453.60	230.80
454.20	221.70
454.80	242.00
455.40	246.10
456.00	238.80
456.60	239.20
457.20	238.20
457.80	233.70
458.40	236.50
459.00	239.70
459.60	239.30
460.20	244.10
460.80	237.10
461.40	232.60
462.00	242.60
462.60	241.90
463.20	244.70
463.80	235.80
464.40	242.10
465.00	237.30
465.60	244.20
466.20	240.20
466.80	238.10
467.40	239.90
468.00	241.40
468.60	232.90
469.20	249.70
469.80	245.00
470.40	241.60
471.00	245.50
471.60	248.80
472.20	241.50
472.80	240.50
473.40	235.70
474.00	235.60
474.60	237.80
475.20	238.10
475.80	237.50
476.40	236.20
477.00	232.30
477.60	231.70
478.20	237.10
478.80	236.10
479.40	239.70
480.00	231.90
480.60	237.80
481.20	244.60
481.80	241.60
482.40	241.80
483.00	232.80
483.60	240.90
484.20	247.00
484.80	243.40
485.40	242.80
486.00	239.10
486.60	242.90
487.20	243.90
487.80	240.30
488.40	235.70
489.00	238.70
489.60	242.40
490.20	238.90
490.80	238.00
