#time	SIM_8/
0.60	223.70
1.20	223.70
1.80	224.90
2.40	233.60
3.00	231.10
3.60	240.50
4.20	226.80
4.80	229.20
5.40	225.50
6.00	222.80
6.60	231.60
7.20	241.00
7.80	238.90
8.40	247.40
9.00	236.80
9.60	242.70
10.20	239.80
10.80	238.70
11.40	234.70
12.00	242.50
12.60	238.40
13.20	236.70
13.80	241.00
14.40	235.00
15.00	238.00
15.60	235.20
16.20	238.60
16.80	241.50
17.40	234.00
18.00	229.00
18.60	228.50
19.20	225.90
19.80	229.00
20.40	231.30
21.00	222.40
21.60	229.50
22.20	226.90
22.80	225.80
23.40	220.70
24.00	218.70
24.60	233.20
25.20	227.00
25.80	235.40
26.40	221.10
27.00	240.80
27.60	234.70
28.20	238.20
28.80	248.40
29.40	243.80
30.00	236.10
30.60	225.20
31.20	227.40
31.80	231.80
32.40	230.90
33.00	217.40
33.60	220.80
34.20	225.90
34.80	221.20
35.40	234.00
36.00	231.20
36.60	231.80
37.20	238.20
37.80	230.40
38.40	225.30
39.00	240.60
39.60	240.60
40.20	239.30
40.80	235.70
41.40	235.60
42.00	234.20
42.60	229.00
43.20	230.60
43.80	235.70
44.40	228.50
45.00	239.90
45.60	236.90
46.20	238.20
46.80	239.90
47.40	240.00
48.00	237.40
48.60	244.20
49.20	238.50
49.80	244.70
50.40	237.40
51.00	239.30
51.60	237.20
52.20	248.90
52.80	247.50
53.40	243.70
54.00	249.30
54.60	249.30
55.20	249.00
55.80	246.60
56.40	244.30
57.00	244.40
57.60	241.10
58.20	249.90
58.80	245.80
59.40	249.60
60.00	249.10
60.60	247.80
61.20	251.50
61.80	243.40
62.40	257.80
63.00	247.80
63.60	243.60
64.20	245.60
64.80	248.90
65.40	248.60
66.00	253.10
66.60	239.20
67.20	242.80
67.80	251.50
68.40	237.70
69.00	246.20
69.60	247.60
70.20	241.20
70.80	236.70
71.40	240.40
72.00	243.00
72.60	245.80
73.20	248.90
73.80	247.10
74.40	242.50
75.00	257.40
75.60	259.30
76.20	252.60
76.80	256.90
77.40	256.30
78.00	251.20
78.60	255.00
79.20	259.00
79.80	259.90
80.40	259.10
81.00	247.60
81.60	248.00
82.20	254.80
82.80	249.60
83.40	243.00
84.00	255.10
84.60	245.60
85.20	239.70
85.80	241.40
86.40	248.70
87.00	245.20
87.60	247.80
88.20	240.40
88.80	243.50
89.40	251.10
90.00	252.80
90.60	245.70
91.20	248.60
91.80	248.80
92.40	248.40
93.00	247.40
93.60	246.10
94.20	242.30
94.80	248.40
95.40	248.30
96.00	239.90
96.60	244.50
97.20	240.30
97.80	239.10
98.40	234.40
99.00	239.60
99.60	237.90
100.20	243.80
100.80	243.10
101.40	244.20
102.00	235.30
102.60	241.90
103.20	238.80
103.80	238.30
104.40	242.50
105.00	233.70
105.60	235.00
106.20	241.30
106.80	248.40
107.40	246.10
108.00	238.90
108.60	237.50
109.20	236.60
109.80	232.00
110.40	230.40
111.00	230.70
111.60	237.30
112.20	230.00
