-3,2309282045824954 310,1335627754846
-2,7718357425692663 297,11759797030504
-2,309214837383575 252,74553483917583
-1,8489126234255018 130,40747917938492
-1,3876946944536237 38,860340858811924
-0,929240712633506 4,375479560232748
-0,46095749626152926 0,3986300679365513
-0,0014953878207091265 -0,1879736094853115
0,46246968619258677 0,6376400875950026
0,9265187707576086 4,288108586438398
1,387022610039823 38,729704450879126
1,8581537841152844 130,51543273835196
2,325722910797598 252,5273174310694
2,786529188066024 297,13839058185715
3,25531646774835 310,11066990013956
