-3,244613523458546 -0,03528443172473317
-2,7806568505004225 0,507843785179432
-2,31637253639057 12,067905728959488
-1,8555242538462826 58,09140628062897
-1,386232910853603 88,01281440948986
-0,9233179687368724 53,52774308453138
-0,46507401329607045 11,980744781544672
0,0030411819724571743 2,3541856857222
0,46279732734431445 11,65457381447112
0,9279889554128022 53,72306761729266
1,3884843936398417 87,88217800155701
1,8515337526393338 57,91687435941964
2,314104251493988 11,849898347232397
2,7821522383211343 -0,03654459000051702
3,241631148872302 -0,05817730706968405
