-3,249040879534469 1,094867515360022
-2,780161188245243 17,174487115581826
-2,3153644097698667 45,966163350116744
-1,8558350928876663 47,63944351410538
-1,3882407630398381 20,49878464735167
-0,9292491136886776 4,092994080056428
-0,4609574962615284 0,3986300679365513
0,002973973531076979 0,09430184431164434
0,4624696861925859 0,6376400875950026
0,9265103697024362 4,005623106262192
1,3864765414536082 20,36814823941876
1,855683873894563 47,464701566516794
2,3195817394664777 46,03043142218661
2,7782037423900467 17,19527972713371
3,246134114444777 1,3540400674326634
