-3,2401441621067604 0,2469910220723932
-2,7804048188452466 8,982408190468675
-2,3108950484180806 46,24843880391393
-1,8506096365703528 73,34541218377035
-1,387400657522583 48,74733266498271
-0,9246033301782686 10,307464617555922
-0,46094909520635863 0,6811155481128139
0,0029907756414218056 0,6592728046643401
0,4624696861925859 0,6376400875950026
0,9266951929162328 10,220303670140993
1,3872998448605172 48,05172529669716
1,856448369915264 73,17088026256101
2,315120779169864 46,03064144856597
2,78242947314183 9,285476255817684
3,2416311488723 -0,05817730706968405
