5 0.08 1.326 2.258 3.028 5.528 0.218 61.093 89.2955 122.06 179.917
10 0.031 0.956 2.153 2.825 4.9 0.152 70.698 103.5265 132.9955 179.877
15 0.639 2.176 2.833 3.201 4.734 7.893 87.302 116.9225 140.254 179.828
20 0.014 0.731 1.094 1.615 2.941 0.502 56.283500000000004 93.839 131.651 179.858
25 0.043 1.709 2.717 3.28 5.302 0.052 73.938 109.576 136.7235 179.897
