15 0.031 0.847 1.865 2.656 4.406 0.487 75.469 106.9625 132.829 179.74
1,80 0.037 1.173 1.619 2.203 3.746 0.387 42.965 66.168 101.15925000000001 179.666
1,80,2 0.035 0.548 0.722 0.92 1.478 74.952 122.7495 139.80149999999998 154.619 179.964
80 0.026 0.972 1.894 2.891 5.693 0.528 71.818 108.8255 142.813 179.833
