0.001 8.333000e+00 9.944900e-02 1.001815e-10
0.005 8.333000e+00 3.976218e-01 4.005506e-10
0.01  8.333000e+00 7.218360e-01 7.271529e-10
0.015 8.333000e+00 1.009156e+00 1.016589e-09
0.02  8.333000e+00 1.270101e+00 1.279456e-09
0.03  8.333000e+00 1.728499e+00 1.741231e-09
0.05  8.333000e+00 2.458359e+00 2.476467e-09
0.075 8.333000e+00 3.137828e+00 3.160941e-09
0.1   8.333000e+00 3.673290e+00 3.700347e-09
0.2   8.333000e+00 4.940198e+00 4.976587e-09
0.3   8.333000e+00 5.657672e+00 5.699345e-09
0.5   8.333000e+00 6.447556e+00 6.495048e-09
