#      frame   r(ang.)
           1   103.29302688587067     
           2   103.29270995078410     
           3   104.90708542299207     
           4   105.50772240548760     
           5   105.62498033694561     
           6   105.61763244148167     
           7   105.70914245961040     
           8   105.81081707584570     
           9   105.82238140756581     
          10   105.85518832209020     
          11   105.69824236813959     
          12   105.75684026043784     
          13   105.77522061517701     
          14   105.83869012557018     
          15   105.69536970141640     
          16   105.75089949704225     
          17   105.78965915757587     
          18   105.85707388160414     
          19   105.92646608167462     
          20   106.00103994915698     
          21   105.87431319425093     
          22   105.75348884616116     
          23   105.74154555035410     
          24   105.85150963387514     
          25   105.72131507210307     
          26   105.77846953091399     
          27   105.72931046735197     
